,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACME,0.0022,0.0083,0.0187,0.0300,0.0382,0.0438,0.0489,0.0518,0.0546
ACPA,0.0005,0.0047,0.0162,0.0362,0.0527,0.0689,0.0680,0.0665,0.0652
CICA,0.0006,0.0025,0.0080,0.0200,0.0314,0.0438,0.0561,0.0668,0.0748
EUGL,0.0003,0.0098,0.0243,0.0409,0.0549,0.0652,0.0748,0.0799,0.0826
FRVE,0.0006,0.0116,0.0242,0.0395,0.0501,0.0592,0.0669,0.0710,0.0742
GIBI,0.0023,0.0120,0.0232,0.0381,0.0375,0.0370,0.0365,0.0357,0.0350
LIST,0.0006,0.0080,0.0267,0.0530,0.0721,0.0892,0.1043,0.1178,0.1152
LITU,0.0007,0.0072,0.0190,0.0346,0.0471,0.0563,0.0556,0.0544,0.0532
MAGR,0.0005,0.0052,0.0157,0.0319,0.0434,0.0538,0.0627,0.0689,0.0728
PICH,0.0018,0.0090,0.0234,0.0233,0.0229,0.0226,0.0224,0.0219,0.0215
PIRA,0.0012,0.0070,0.0202,0.0370,0.0499,0.0582,0.0630,0.0645,0.0617
PIUN,0.0007,0.0030,0.0102,0.0262,0.0256,0.0253,0.0250,0.0244,0.0241
PLAC,0.0016,0.0119,0.0251,0.0399,0.0484,0.0532,0.0542,0.0526,0.0490
PRCE,0.0011,0.0065,0.0139,0.0230,0.0298,0.0294,0.0290,0.0284,0.0279
PYCA,0.0029,0.0125,0.0228,0.0334,0.0328,0.0324,0.0320,0.0313,0.0308
PYKA,0.0030,0.0095,0.0178,0.0291,0.0371,0.0448,0.0442,0.0432,0.0426
QUAG,0.0013,0.0087,0.0235,0.0399,0.0486,0.0532,0.0531,0.0485,0.0420
ROPS,0.0021,0.0129,0.0259,0.0435,0.0550,0.0649,0.0641,0.0627,0.0613
SESE,0.0019,0.0107,0.0240,0.0428,0.0569,0.0750,0.0940,0.1140,0.1361
ULAM,0.0009,0.0047,0.0110,0.0269,0.0442,0.0648,0.0862,0.1072,0.1283
ULPA,0.0008,0.0150,0.0238,0.0327,0.0377,0.0391,0.0379,0.0370,0.0364
PIBR2,0.0011,0.0031,0.0118,0.0335,0.0563,0.0541,0.0548,0.0536,0.0526
PICO5,0.0004,0.0029,0.0134,0.0332,0.0325,0.0313,0.0316,0.0309,0.0304
PHCA,0.0020,0.0090,0.0145,0.0146,0.0159,0.0170,0.0167,0.0161,0.0155
PHDA4,0.0007,0.0020,0.0035,0.0053,0.0065,0.0062,0.0064,0.0060,0.0058
WARO,0.0002,0.0018,0.0041,0.0061,0.0084,0.0101,0.0110,0.0112,0.0108
BDL OTHER,0.0009,0.0047,0.0110,0.0269,0.0442,0.0648,0.0862,0.1072,0.1283
BDM OTHER,0.0006,0.0116,0.0242,0.0395,0.0501,0.0592,0.0669,0.0710,0.0742
BDS OTHER,0.0011,0.0065,0.0139,0.0230,0.0298,0.0294,0.0290,0.0284,0.0279
CEL OTHER,0.0012,0.0070,0.0202,0.0370,0.0499,0.0582,0.0630,0.0645,0.0617
CEM OTHER,0.0011,0.0031,0.0118,0.0335,0.0563,0.0541,0.0548,0.0536,0.0526
CES OTHER,0.0004,0.0029,0.0134,0.0332,0.0325,0.0313,0.0316,0.0309,0.0304
BEL OTHER,0.0013,0.0087,0.0235,0.0399,0.0486,0.0532,0.0531,0.0485,0.0420
BEM OTHER,0.0006,0.0025,0.0080,0.0200,0.0314,0.0438,0.0561,0.0668,0.0748
BES OTHER,0.0030,0.0095,0.0178,0.0291,0.0371,0.0448,0.0442,0.0432,0.0426
PEL OTHER,0.0020,0.0090,0.0145,0.0146,0.0159,0.0170,0.0167,0.0161,0.0155
PEM OTHER,0.0007,0.0020,0.0035,0.0053,0.0065,0.0062,0.0064,0.0060,0.0058
PES OTHER,0.0002,0.0018,0.0041,0.0061,0.0084,0.0101,0.0110,0.0112,0.0108
