,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACME,0.000,0.000,0.003,0.017,0.048,0.100,0.169,0.249,0.330
ACPA,0.000,0.000,0.004,0.024,0.069,0.139,0.139,0.139,0.139
CICA,0.000,0.001,0.006,0.025,0.058,0.104,0.162,0.232,0.312
EUGL,0.000,0.000,0.003,0.014,0.041,0.091,0.167,0.270,0.398
FRVE,0.000,0.001,0.005,0.019,0.043,0.075,0.117,0.166,0.222
GIBI,0.000,0.003,0.020,0.062,0.062,0.062,0.062,0.062,0.062
LIST,0.000,0.000,0.005,0.025,0.067,0.125,0.184,0.227,0.227
LITU,0.000,0.002,0.008,0.030,0.070,0.070,0.070,0.070,0.070
MAGR,0.000,0.001,0.008,0.029,0.064,0.111,0.169,0.236,0.313
PICH,0.000,0.005,0.054,0.054,0.054,0.054,0.054,0.054,0.054
PIRA,0.000,0.001,0.003,0.013,0.034,0.073,0.135,0.225,0.349
PIUN,0.000,0.004,0.022,0.067,0.067,0.067,0.067,0.067,0.067
PLAC,0.000,0.001,0.009,0.035,0.078,0.139,0.215,0.304,0.406
PRCE,0.000,0.002,0.012,0.031,0.055,0.055,0.055,0.055,0.055
PYCA,0.000,0.003,0.023,0.077,0.077,0.077,0.077,0.077,0.077
PYKA,0.000,0.002,0.017,0.068,0.131,0.163,0.163,0.163,0.163
QUAG,0.000,0.000,0.003,0.016,0.051,0.114,0.211,0.340,0.496
ROPS,0.000,0.004,0.018,0.042,0.070,0.100,0.100,0.100,0.100
SESE,0.000,0.001,0.004,0.013,0.028,0.051,0.080,0.115,0.153
ULAM,0.000,0.002,0.012,0.037,0.072,0.113,0.160,0.212,0.267
ULPA,0.000,0.002,0.016,0.057,0.123,0.211,0.318,0.318,0.318
PIBR2,0.000,0.001,0.007,0.031,0.069,0.069,0.069,0.069,0.069
PICO5,0.000,0.001,0.011,0.058,0.058,0.058,0.058,0.058,0.058
PHCA,0.000,0.007,0.040,0.134,0.134,0.134,0.134,0.134,0.134
PHDA4,0.000,0.004,0.013,0.021,0.029,0.029,0.029,0.029,0.029
WARO,0.000,0.000,0.002,0.006,0.012,0.018,0.024,0.027,0.027
BDL OTHER,0.000,0.002,0.012,0.037,0.072,0.113,0.160,0.212,0.267
BDM OTHER,0.000,0.001,0.005,0.019,0.043,0.075,0.117,0.166,0.222
BDS OTHER,0.000,0.002,0.012,0.031,0.055,0.055,0.055,0.055,0.055
CEL OTHER,0.000,0.001,0.003,0.013,0.034,0.073,0.135,0.225,0.349
CEM OTHER,0.000,0.001,0.007,0.031,0.069,0.069,0.069,0.069,0.069
CES OTHER,0.000,0.001,0.011,0.058,0.058,0.058,0.058,0.058,0.058
BEL OTHER,0.000,0.000,0.003,0.016,0.051,0.114,0.211,0.340,0.496
BEM OTHER,0.000,0.001,0.006,0.025,0.058,0.104,0.162,0.232,0.312
BES OTHER,0.000,0.002,0.017,0.068,0.131,0.163,0.163,0.163,0.163
PEL OTHER,0.000,0.007,0.040,0.134,0.134,0.134,0.134,0.134,0.134
PEM OTHER,0.000,0.004,0.013,0.021,0.029,0.029,0.029,0.029,0.029
PES OTHER,0.000,0.000,0.002,0.006,0.012,0.018,0.024,0.027,0.027
