,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACME,0.0005,0.0021,0.0047,0.0075,0.0098,0.0113,0.0129,0.0139,0.0147
ACPA,0.0001,0.0012,0.0040,0.0090,0.0133,0.0177,0.0174,0.0171,0.0167
CICA,0.0002,0.0008,0.0023,0.0052,0.0080,0.0110,0.0142,0.0170,0.0193
EUGL,0.0001,0.0023,0.0058,0.0096,0.0131,0.0157,0.0185,0.0202,0.0213
FRVE,0.0002,0.0028,0.0058,0.0096,0.0123,0.0148,0.0170,0.0183,0.0194
GIBI,0.0005,0.0029,0.0058,0.0094,0.0093,0.0092,0.0091,0.0089,0.0087
LIST,0.0001,0.0020,0.0065,0.0128,0.0176,0.0221,0.0262,0.0297,0.0290
LITU,0.0002,0.0018,0.0047,0.0084,0.0115,0.0138,0.0136,0.0134,0.0130
MAGR,0.0001,0.0014,0.0041,0.0081,0.0111,0.0138,0.0162,0.0180,0.0192
PICH,0.0004,0.0023,0.0059,0.0059,0.0058,0.0057,0.0057,0.0055,0.0054
PIRA,0.0003,0.0019,0.0052,0.0092,0.0123,0.0143,0.0157,0.0165,0.0162
PIUN,0.0002,0.0009,0.0027,0.0066,0.0065,0.0064,0.0063,0.0062,0.0061
PLAC,0.0004,0.0030,0.0062,0.0099,0.0122,0.0137,0.0144,0.0144,0.0140
PRCE,0.0003,0.0017,0.0035,0.0058,0.0076,0.0076,0.0075,0.0073,0.0072
PYCA,0.0007,0.0031,0.0056,0.0083,0.0082,0.0081,0.0080,0.0079,0.0077
PYKA,0.0007,0.0024,0.0045,0.0074,0.0097,0.0115,0.0113,0.0111,0.0109
QUAG,0.0003,0.0021,0.0058,0.0099,0.0124,0.0141,0.0147,0.0144,0.0135
ROPS,0.0005,0.0032,0.0062,0.0105,0.0133,0.0158,0.0157,0.0153,0.0149
SESE,0.0005,0.0027,0.0059,0.0103,0.0136,0.0180,0.0225,0.0274,0.0326
ULAM,0.0003,0.0014,0.0031,0.0069,0.0112,0.0163,0.0218,0.0273,0.0330
ULPA,0.0002,0.0037,0.0060,0.0083,0.0099,0.0106,0.0107,0.0105,0.0102
PIBR2,0.0003,0.0009,0.0031,0.0084,0.0137,0.0131,0.0133,0.0131,0.0128
PICO5,0.0001,0.0008,0.0034,0.0083,0.0082,0.0079,0.0080,0.0078,0.0077
PHCA,0.0004,0.0025,0.0041,0.0044,0.0044,0.0044,0.0042,0.0039,0.0038
PHDA4,0.0002,0.0006,0.0010,0.0014,0.0016,0.0015,0.0015,0.0014,0.0014
WARO,0.0001,0.0005,0.0010,0.0015,0.0020,0.0024,0.0025,0.0026,0.0025
BDL OTHER,0.0003,0.0014,0.0031,0.0069,0.0112,0.0163,0.0218,0.0273,0.0330
BDM OTHER,0.0002,0.0028,0.0058,0.0096,0.0123,0.0148,0.0170,0.0183,0.0194
BDS OTHER,0.0003,0.0017,0.0035,0.0058,0.0076,0.0076,0.0075,0.0073,0.0072
CEL OTHER,0.0003,0.0019,0.0052,0.0092,0.0123,0.0143,0.0157,0.0165,0.0162
CEM OTHER,0.0003,0.0009,0.0031,0.0084,0.0137,0.0131,0.0133,0.0131,0.0128
CES OTHER,0.0001,0.0008,0.0034,0.0083,0.0082,0.0079,0.0080,0.0078,0.0077
BEL OTHER,0.0003,0.0021,0.0058,0.0099,0.0124,0.0141,0.0147,0.0144,0.0135
BEM OTHER,0.0002,0.0008,0.0023,0.0052,0.0080,0.0110,0.0142,0.0170,0.0193
BES OTHER,0.0007,0.0024,0.0045,0.0074,0.0097,0.0115,0.0113,0.0111,0.0109
PEL OTHER,0.0004,0.0025,0.0041,0.0044,0.0044,0.0044,0.0042,0.0039,0.0038
PEM OTHER,0.0002,0.0006,0.0010,0.0014,0.0016,0.0015,0.0015,0.0014,0.0014
PES OTHER,0.0001,0.0005,0.0010,0.0015,0.0020,0.0024,0.0025,0.0026,0.0025
