,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACME,0.000,0.001,0.007,0.029,0.072,0.137,0.224,0.324,0.424
ACPA,0.000,0.001,0.008,0.034,0.088,0.171,0.171,0.171,0.171
CICA,0.000,0.002,0.012,0.040,0.083,0.141,0.215,0.302,0.401
EUGL,0.000,0.002,0.007,0.025,0.064,0.128,0.223,0.353,0.511
FRVE,0.000,0.002,0.009,0.029,0.060,0.101,0.152,0.213,0.281
GIBI,0.000,0.004,0.027,0.077,0.077,0.077,0.077,0.077,0.077
LIST,0.000,0.002,0.010,0.041,0.097,0.174,0.252,0.309,0.309
LITU,0.001,0.003,0.012,0.038,0.086,0.086,0.086,0.086,0.086
MAGR,0.000,0.003,0.014,0.045,0.091,0.149,0.223,0.307,0.402
PICH,0.001,0.007,0.068,0.068,0.068,0.068,0.068,0.068,0.068
PIRA,0.001,0.002,0.007,0.023,0.053,0.104,0.181,0.295,0.448
PIUN,0.000,0.006,0.030,0.086,0.086,0.086,0.086,0.086,0.086
PLAC,0.000,0.003,0.017,0.057,0.117,0.195,0.293,0.409,0.540
PRCE,0.000,0.004,0.016,0.039,0.068,0.068,0.068,0.068,0.068
PYCA,0.000,0.006,0.030,0.095,0.095,0.095,0.095,0.095,0.095
PYKA,0.000,0.004,0.026,0.091,0.170,0.210,0.210,0.210,0.210
QUAG,0.000,0.001,0.007,0.029,0.079,0.161,0.282,0.444,0.637
ROPS,0.001,0.008,0.025,0.055,0.090,0.127,0.127,0.127,0.127
SESE,0.001,0.003,0.008,0.020,0.040,0.069,0.106,0.150,0.197
ULAM,0.000,0.005,0.022,0.058,0.103,0.158,0.220,0.287,0.358
ULPA,0.000,0.005,0.028,0.087,0.175,0.292,0.433,0.433,0.433
PIBR2,0.000,0.002,0.011,0.042,0.089,0.089,0.089,0.089,0.089
PICO5,0.000,0.002,0.015,0.075,0.075,0.075,0.075,0.075,0.075
PHCA,0.001,0.012,0.055,0.172,0.172,0.172,0.172,0.172,0.172
PHDA4,0.000,0.006,0.017,0.027,0.037,0.037,0.037,0.037,0.037
WARO,0.000,0.001,0.004,0.009,0.016,0.024,0.030,0.035,0.034
BDL OTHER,0.000,0.005,0.022,0.058,0.103,0.158,0.220,0.287,0.358
BDM OTHER,0.000,0.002,0.009,0.029,0.060,0.101,0.152,0.213,0.281
BDS OTHER,0.000,0.004,0.016,0.039,0.068,0.068,0.068,0.068,0.068
CEL OTHER,0.001,0.002,0.007,0.023,0.053,0.104,0.181,0.295,0.448
CEM OTHER,0.000,0.002,0.011,0.042,0.089,0.089,0.089,0.089,0.089
CES OTHER,0.000,0.002,0.015,0.075,0.075,0.075,0.075,0.075,0.075
BEL OTHER,0.000,0.001,0.007,0.029,0.079,0.161,0.282,0.444,0.637
BEM OTHER,0.000,0.002,0.012,0.040,0.083,0.141,0.215,0.302,0.401
BES OTHER,0.000,0.004,0.026,0.091,0.170,0.210,0.210,0.210,0.210
PEL OTHER,0.001,0.012,0.055,0.172,0.172,0.172,0.172,0.172,0.172
PEM OTHER,0.000,0.006,0.017,0.027,0.037,0.037,0.037,0.037,0.037
PES OTHER,0.000,0.001,0.004,0.009,0.016,0.024,0.030,0.035,0.034
