,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACME,0.000,0.000,0.001,0.003,0.009,0.019,0.033,0.049,0.064
ACPA,0.000,0.000,0.001,0.005,0.013,0.026,0.026,0.026,0.026
CICA,0.000,0.000,0.001,0.005,0.011,0.020,0.032,0.045,0.061
EUGL,0.000,0.000,0.001,0.003,0.008,0.018,0.033,0.053,0.078
FRVE,0.000,0.000,0.001,0.004,0.008,0.014,0.022,0.031,0.042
GIBI,0.000,0.000,0.004,0.012,0.012,0.012,0.012,0.012,0.012
LIST,0.000,0.000,0.001,0.005,0.013,0.025,0.037,0.045,0.045
LITU,0.000,0.000,0.002,0.006,0.013,0.013,0.013,0.013,0.013
MAGR,0.000,0.000,0.001,0.006,0.012,0.022,0.033,0.046,0.061
PICH,0.000,0.001,0.010,0.010,0.010,0.010,0.010,0.010,0.010
PIRA,0.000,0.000,0.001,0.002,0.007,0.014,0.026,0.044,0.068
PIUN,0.000,0.001,0.004,0.013,0.013,0.013,0.013,0.013,0.013
PLAC,0.000,0.000,0.002,0.007,0.016,0.028,0.043,0.060,0.080
PRCE,0.000,0.000,0.002,0.006,0.010,0.010,0.010,0.010,0.010
PYCA,0.000,0.001,0.004,0.015,0.015,0.015,0.015,0.015,0.015
PYKA,0.000,0.000,0.003,0.013,0.026,0.032,0.032,0.032,0.032
QUAG,0.000,0.000,0.001,0.003,0.010,0.022,0.041,0.066,0.097
ROPS,0.000,0.001,0.003,0.008,0.013,0.019,0.019,0.019,0.019
SESE,0.000,0.000,0.001,0.002,0.005,0.010,0.016,0.023,0.030
ULAM,0.000,0.000,0.003,0.008,0.015,0.023,0.033,0.044,0.055
ULPA,0.000,0.000,0.003,0.011,0.025,0.042,0.064,0.064,0.064
PIBR2,0.000,0.000,0.001,0.006,0.014,0.014,0.014,0.014,0.014
PICO5,0.000,0.000,0.002,0.011,0.011,0.011,0.011,0.011,0.011
PHCA,0.000,0.001,0.008,0.026,0.026,0.026,0.026,0.026,0.026
PHDA4,0.000,0.001,0.002,0.004,0.006,0.006,0.006,0.006,0.006
WARO,0.000,0.000,0.000,0.001,0.002,0.004,0.005,0.005,0.005
BDL OTHER,0.000,0.000,0.003,0.008,0.015,0.023,0.033,0.044,0.055
BDM OTHER,0.000,0.000,0.001,0.004,0.008,0.014,0.022,0.031,0.042
BDS OTHER,0.000,0.000,0.002,0.006,0.010,0.010,0.010,0.010,0.010
CEL OTHER,0.000,0.000,0.001,0.002,0.007,0.014,0.026,0.044,0.068
CEM OTHER,0.000,0.000,0.001,0.006,0.014,0.014,0.014,0.014,0.014
CES OTHER,0.000,0.000,0.002,0.011,0.011,0.011,0.011,0.011,0.011
BEL OTHER,0.000,0.000,0.001,0.003,0.010,0.022,0.041,0.066,0.097
BEM OTHER,0.000,0.000,0.001,0.005,0.011,0.020,0.032,0.045,0.061
BES OTHER,0.000,0.000,0.003,0.013,0.026,0.032,0.032,0.032,0.032
PEL OTHER,0.000,0.001,0.008,0.026,0.026,0.026,0.026,0.026,0.026
PEM OTHER,0.000,0.001,0.002,0.004,0.006,0.006,0.006,0.006,0.006
PES OTHER,0.000,0.000,0.000,0.001,0.002,0.004,0.005,0.005,0.005
