,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACME,0.0003,0.0011,0.0024,0.0039,0.0050,0.0058,0.0066,0.0071,0.0075
ACPA,0.0001,0.0006,0.0021,0.0046,0.0068,0.0091,0.0089,0.0087,0.0086
CICA,0.0001,0.0004,0.0011,0.0027,0.0041,0.0057,0.0073,0.0087,0.0099
EUGL,0.0001,0.0012,0.0030,0.0050,0.0068,0.0082,0.0095,0.0104,0.0109
FRVE,0.0001,0.0014,0.0030,0.0050,0.0064,0.0076,0.0087,0.0094,0.0099
GIBI,0.0003,0.0015,0.0030,0.0049,0.0048,0.0047,0.0047,0.0046,0.0045
LIST,0.0001,0.0010,0.0034,0.0066,0.0091,0.0114,0.0135,0.0153,0.0149
LITU,0.0001,0.0009,0.0024,0.0043,0.0059,0.0071,0.0070,0.0069,0.0067
MAGR,0.0001,0.0007,0.0021,0.0041,0.0057,0.0071,0.0083,0.0092,0.0098
PICH,0.0002,0.0012,0.0030,0.0030,0.0030,0.0029,0.0029,0.0028,0.0028
PIRA,0.0001,0.0010,0.0027,0.0047,0.0063,0.0074,0.0081,0.0085,0.0083
PIUN,0.0001,0.0005,0.0014,0.0034,0.0033,0.0033,0.0032,0.0032,0.0031
PLAC,0.0002,0.0015,0.0032,0.0051,0.0063,0.0070,0.0073,0.0073,0.0070
PRCE,0.0001,0.0009,0.0018,0.0030,0.0039,0.0039,0.0038,0.0037,0.0037
PYCA,0.0004,0.0016,0.0029,0.0043,0.0042,0.0042,0.0041,0.0040,0.0040
PYKA,0.0004,0.0012,0.0023,0.0038,0.0050,0.0059,0.0058,0.0057,0.0056
QUAG,0.0002,0.0011,0.0030,0.0051,0.0064,0.0072,0.0075,0.0072,0.0067
ROPS,0.0003,0.0016,0.0032,0.0054,0.0069,0.0082,0.0081,0.0079,0.0077
SESE,0.0002,0.0014,0.0030,0.0053,0.0071,0.0093,0.0117,0.0142,0.0169
ULAM,0.0001,0.0007,0.0015,0.0036,0.0057,0.0084,0.0112,0.0140,0.0169
ULPA,0.0001,0.0019,0.0031,0.0043,0.0051,0.0054,0.0054,0.0053,0.0052
PIBR2,0.0001,0.0005,0.0016,0.0043,0.0071,0.0068,0.0069,0.0068,0.0066
PICO5,0.0000,0.0004,0.0018,0.0043,0.0042,0.0041,0.0041,0.0040,0.0039
PHCA,0.0002,0.0013,0.0021,0.0022,0.0022,0.0023,0.0022,0.0020,0.0020
PHDA4,0.0001,0.0003,0.0005,0.0007,0.0008,0.0008,0.0008,0.0007,0.0007
WARO,0.0000,0.0002,0.0005,0.0008,0.0010,0.0012,0.0013,0.0014,0.0013
BDL OTHER,0.0001,0.0007,0.0015,0.0036,0.0057,0.0084,0.0112,0.0140,0.0169
BDM OTHER,0.0001,0.0014,0.0030,0.0050,0.0064,0.0076,0.0087,0.0094,0.0099
BDS OTHER,0.0001,0.0009,0.0018,0.0030,0.0039,0.0039,0.0038,0.0037,0.0037
CEL OTHER,0.0001,0.0010,0.0027,0.0047,0.0063,0.0074,0.0081,0.0085,0.0083
CEM OTHER,0.0001,0.0005,0.0016,0.0043,0.0071,0.0068,0.0069,0.0068,0.0066
CES OTHER,0.0000,0.0004,0.0018,0.0043,0.0042,0.0041,0.0041,0.0040,0.0039
BEL OTHER,0.0002,0.0011,0.0030,0.0051,0.0064,0.0072,0.0075,0.0072,0.0067
BEM OTHER,0.0001,0.0004,0.0011,0.0027,0.0041,0.0057,0.0073,0.0087,0.0099
BES OTHER,0.0004,0.0012,0.0023,0.0038,0.0050,0.0059,0.0058,0.0057,0.0056
PEL OTHER,0.0002,0.0013,0.0021,0.0022,0.0022,0.0023,0.0022,0.0020,0.0020
PEM OTHER,0.0001,0.0003,0.0005,0.0007,0.0008,0.0008,0.0008,0.0007,0.0007
PES OTHER,0.0000,0.0002,0.0005,0.0008,0.0010,0.0012,0.0013,0.0014,0.0013
