,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACME,2.8,11.1,28.6,44.7,60.3,69.9,80.9,88.7,94.5
ACPA,0.6,6.0,23.5,53.7,81.5,112.7,111.3,108.9,106.4
CICA,0.9,4.4,13.9,31.2,48.9,67.5,89.3,107.5,124.0
EUGL,0.9,11.6,33.9,56.5,80.0,96.8,115.9,129.0,137.7
FRVE,0.9,15.7,34.3,58.0,74.4,92.1,107.2,117.1,124.7
GIBI,2.8,16.5,34.4,56.6,56.0,55.3,54.7,53.5,52.3
LIST,0.8,9.8,38.9,77.0,107.7,139.5,165.7,190.8,186.1
LITU,1.1,10.2,26.9,49.1,69.6,84.0,83.0,81.2,79.2
MAGR,0.6,8.3,24.9,48.7,68.3,85.6,103.2,115.8,124.2
PICH,2.5,12.9,34.6,34.4,34.0,33.6,33.2,32.5,31.8
PIRA,1.5,11.1,31.6,54.1,74.9,87.3,98.4,104.1,104.2
PIUN,1.0,5.0,16.4,39.1,38.7,38.2,37.8,37.0,36.2
PLAC,2.2,16.7,36.7,59.7,75.8,86.8,92.1,93.0,92.3
PRCE,1.6,9.5,21.5,34.8,46.1,45.5,45.0,44.0,43.1
PYCA,4.0,17.5,33.5,50.2,49.7,49.1,48.5,47.5,46.4
PYKA,4.5,13.7,26.8,45.1,59.4,70.6,69.7,68.3,66.7
QUAG,1.7,10.9,34.1,59.5,76.3,89.7,96.5,96.3,93.2
ROPS,2.5,17.2,36.7,63.3,81.1,96.6,95.4,93.3,91.0
SESE,2.5,13.5,34.7,62.1,80.2,108.3,138.4,169.4,200.4
ULAM,1.5,7.0,17.5,41.0,67.8,101.5,138.9,175.6,213.4
ULPA,1.6,21.1,35.9,50.5,61.5,67.0,69.3,67.8,66.1
PIBR2,1.6,4.8,18.9,51.1,82.7,80.3,80.6,78.9,77.1
PICO5,0.5,4.4,20.9,50.3,49.8,48.5,48.6,47.5,46.5
PHCA,2.5,15.2,25.3,26.2,25.7,25.2,24.1,22.8,22.0
PHDA4,0.9,2.9,5.4,7.5,8.7,8.1,8.1,7.6,7.4
WARO,0.2,2.7,5.1,7.4,11.5,13.6,14.7,14.8,14.3
BDL OTHER,1.5,7.0,17.5,41.0,67.8,101.5,138.9,175.6,213.4
BDM OTHER,0.9,15.7,34.3,58.0,74.4,92.1,107.2,117.1,124.7
BDS OTHER,1.6,9.5,21.5,34.8,46.1,45.5,45.0,44.0,43.1
CEL OTHER,1.5,11.1,31.6,54.1,74.9,87.3,98.4,104.1,104.2
CEM OTHER,1.6,4.8,18.9,51.1,82.7,80.3,80.6,78.9,77.1
CES OTHER,0.5,4.4,20.9,50.3,49.8,48.5,48.6,47.5,46.5
BEL OTHER,1.7,10.9,34.1,59.5,76.3,89.7,96.5,96.3,93.2
BEM OTHER,0.9,4.4,13.9,31.2,48.9,67.5,89.3,107.5,124.0
BES OTHER,4.5,13.7,26.8,45.1,59.4,70.6,69.7,68.3,66.7
PEL OTHER,2.5,15.2,25.3,26.2,25.7,25.2,24.1,22.8,22.0
PEM OTHER,0.9,2.9,5.4,7.5,8.7,8.1,8.1,7.6,7.4
PES OTHER,0.2,2.7,5.1,7.4,11.5,13.6,14.7,14.8,14.3
