,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACME,2.3,16.9,62.4,141.4,234.6,324.4,416.8,480.7,494.4
ACPA,3.1,14.8,43.1,95.5,163.7,249.4,0.0,0.0,0.0
CICA,1.4,6.2,20.2,51.0,93.8,143.9,195.2,250.2,302.8
EUGL,5.2,34.3,108.6,234.5,384.7,526.4,651.4,766.8,860.3
FRVE,2.1,10.3,29.1,62.7,110.9,170.1,244.0,331.1,428.0
GIBI,1.0,5.9,17.9,39.8,0.0,0.0,0.0,0.0,0.0
LIST,1.9,13.0,30.8,57.0,77.8,94.8,108.3,119.3,0.0
LITU,1.4,6.5,14.5,24.3,31.7,0.0,0.0,0.0,0.0
MAGR,0.7,5.4,19.3,49.2,90.9,139.5,201.3,261.8,339.8
PICH,0.8,4.3,11.7,0.0,0.0,0.0,0.0,0.0,0.0
PIRA,1.4,7.1,25.0,58.9,101.3,154.6,205.0,254.5,299.0
PIUN,4.0,14.5,30.5,24.4,0.0,0.0,0.0,0.0,0.0
PLAC,1.5,13.4,40.9,76.9,112.1,142.4,171.5,198.2,220.3
PRCE,2.7,17.1,54.6,135.4,252.0,0.0,0.0,0.0,0.0
PYCA,1.1,8.8,24.2,45.8,0.0,0.0,0.0,0.0,0.0
PYKA,1.2,8.0,21.2,46.2,86.6,143.5,0.0,0.0,0.0
QUAG,5.2,28.3,72.2,130.1,188.3,251.2,312.3,366.0,422.6
ROPS,5.3,25.3,65.3,133.8,195.5,235.8,0.0,0.0,0.0
SESE,1.2,12.5,37.0,85.0,153.2,220.1,289.9,368.6,440.9
ULAM,2.4,10.5,36.1,87.5,162.7,253.6,381.0,524.2,695.9
ULPA,2.2,13.1,28.7,45.6,57.1,64.9,70.0,0.0,0.0
PIBR2,3.6,15.9,47.0,77.0,67.9,0.0,0.0,0.0,0.0
PICO5,1.0,7.6,19.3,18.3,0.0,0.0,0.0,0.0,0.0
PHCA,7.9,7.3,6.6,5.9,5.0,3.9,2.4,0.1,0.1
PHDA4,5.7,6.9,7.6,7.7,7.3,6.3,3.7,2.2,0.0
WARO,14.2,14.1,13.8,13.3,12.6,11.6,10.4,8.8,6.8
BDL OTHER,2.4,10.5,36.1,87.5,162.7,253.6,381.0,524.2,695.9
BDM OTHER,2.1,10.3,29.1,62.7,110.9,170.1,244.0,331.1,428.0
BDS OTHER,2.7,17.1,54.6,135.4,252.0,0.0,0.0,0.0,0.0
CEL OTHER,1.4,7.1,25.0,58.9,101.3,154.6,205.0,254.5,299.0
CEM OTHER,3.6,15.9,47.0,77.0,67.9,0.0,0.0,0.0,0.0
CES OTHER,1.0,7.6,19.3,18.3,0.0,0.0,0.0,0.0,0.0
BEL OTHER,5.2,28.3,72.2,130.1,188.3,251.2,312.3,366.0,422.6
BEM OTHER,1.4,6.2,20.2,51.0,93.8,143.9,195.2,250.2,302.8
BES OTHER,1.2,8.0,21.2,46.2,86.6,143.5,0.0,0.0,0.0
PEL OTHER,7.9,7.3,6.6,5.9,5.0,3.9,2.4,0.1,0.1
PEM OTHER,5.7,6.9,7.6,7.7,7.3,6.3,3.7,2.2,0.0
PES OTHER,14.2,14.1,13.8,13.3,12.6,11.6,10.4,8.8,6.8
