,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACME,0.29,1.20,2.89,5.58,8.61,11.79,15.00,18.15,21.12
ACPA,0.06,0.46,1.59,3.82,6.59,9.59,9.59,9.59,9.59
CICA,0.09,0.67,2.11,4.73,7.93,11.58,15.48,19.60,23.89
EUGL,0.14,1.23,3.25,6.59,10.57,15.06,19.98,25.24,30.74
FRVE,0.07,0.83,2.27,4.38,6.55,8.74,10.94,13.14,15.36
GIBI,0.16,0.86,2.21,3.91,3.91,3.91,3.91,3.91,3.91
LIST,0.09,0.75,2.55,5.78,9.40,12.99,16.30,19.13,19.13
LITU,0.17,0.62,1.57,3.08,4.68,4.68,4.68,4.68,4.68
MAGR,0.10,1.01,3.15,6.48,9.97,13.49,16.98,20.43,23.81
PICH,0.17,0.91,2.98,2.98,2.98,2.98,2.98,2.98,2.98
PIRA,0.31,1.28,3.17,6.10,9.29,12.67,16.20,19.85,23.53
PIUN,0.15,0.71,2.16,4.97,4.97,4.97,4.97,4.97,4.97
PLAC,0.15,1.20,3.36,6.45,9.52,12.49,15.36,18.12,20.79
PRCE,0.13,0.67,1.53,2.56,3.48,3.48,3.48,3.48,3.48
PYCA,0.18,1.03,2.45,4.27,4.27,4.27,4.27,4.27,4.27
PYKA,0.39,1.44,3.48,6.50,9.44,11.86,11.86,11.86,11.86
QUAG,0.19,1.21,3.49,7.26,11.48,15.96,20.52,24.97,29.28
ROPS,0.23,1.11,2.44,4.02,5.43,6.71,6.71,6.71,6.71
SESE,0.41,1.46,3.05,5.37,8.02,11.02,14.41,18.25,22.46
ULAM,0.18,0.94,2.50,5.00,7.91,11.09,14.61,18.50,22.77
ULPA,0.15,1.58,3.82,6.88,9.85,12.72,15.46,15.46,15.46
PIBR2,0.15,0.60,1.93,4.71,8.26,8.26,8.26,8.26,8.26
PICO5,0.08,0.59,2.13,5.33,5.33,5.33,5.33,5.33,5.33
PHCA,0.34,1.89,3.92,5.35,5.35,5.36,5.36,5.36,5.37
PHDA4,0.12,0.48,0.82,1.08,1.33,1.48,1.63,1.63,1.63
WARO,0.03,0.17,0.41,0.71,1.02,1.31,1.39,1.43,1.43
BDL OTHER,0.18,0.94,2.50,5.00,7.91,11.09,14.61,18.50,22.77
BDM OTHER,0.07,0.83,2.27,4.38,6.55,8.74,10.94,13.14,15.36
BDS OTHER,0.13,0.67,1.53,2.56,3.48,3.48,3.48,3.48,3.48
CEL OTHER,0.31,1.28,3.17,6.10,9.29,12.67,16.20,19.85,23.53
CEM OTHER,0.15,0.60,1.93,4.71,8.26,8.26,8.26,8.26,8.26
CES OTHER,0.08,0.59,2.13,5.33,5.33,5.33,5.33,5.33,5.33
BEL OTHER,0.19,1.21,3.49,7.26,11.48,15.96,20.52,24.97,29.28
BEM OTHER,0.09,0.67,2.11,4.73,7.93,11.58,15.48,19.60,23.89
BES OTHER,0.39,1.44,3.48,6.50,9.44,11.86,11.86,11.86,11.86
PEL OTHER,0.34,1.89,3.92,5.35,5.35,5.36,5.36,5.36,5.37
PEM OTHER,0.12,0.48,0.82,1.08,1.33,1.48,1.63,1.63,1.63
PES OTHER,0.03,0.17,0.41,0.71,1.02,1.31,1.39,1.43,1.43
