SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment,Compatibility Names,,1,A,Hydro interception,,,,,copied from
ACME,Acacia melanoxylon,Black acacia,BEM,ACME,0.00,,2,B,Property Value,,,,,
ACPA,Acer palmatum,Japanese maple,BDS,ACPA,0.00,x,3,C,AQ Ozone dep,,,,,
CICA,Cinnamomum camphora,Camphor tree,BEM,CICA,0.00,x,4,D,AQ NOx dep,,,,,
EUGL,Eucalyptus globulus,Blue gum eucalyptus,BEL,EUGL,0.00,x,5,E,AQ PM10 dep,,,,,
FRVE,Fraxinus velutina,Velvet ash,BDM,FRVE,0.00,n/a,6,F,AQ SOx dep,,,,,
GIBI,Ginkgo biloba,Ginkgo,BDM,GIBI,0.00,x,7,G,AQ NOx avoided,,,,,
LIST,Liquidambar styraciflua,Sweetgum,BDM,LIST,0.00,x,8,H,AQ PM10 avoided,,,,,
LITU,Liriodendron tulipifera,Tulip tree,BDL,LITU,0.00,x,9,I,AQ VOC avoided,net (avoided-emissions),,,,
MAGR,Magnolia grandiflora,Southern magnolia,BEM,MAGR,0.00,n/a,10,J,AQ SOx avoided,,,,,
PICH,Pistacia chinensis,Chinese pistache,BDM,PICH,0.00,,11,K,CO2 sequestered,net (sequestered-release-program),,,,
PIRA,Pinus radiata,Montery pine,CEL,PIRA,0.00,x,12,L,CO2 avoided,,,,,
PIUN,Pittosporum undulatum,Victorian box,BEM,PIUN,0.00,,13,M,Natural Gas,,,,,
PLAC,Platanus hybrida,London planetree,BDL,PLAC,0.00,x,14,N,Electricity,,,,,
PRCE,Prunus cerasifera,Cherry plum,BDS,PRCE,0.00,x,15,O,LSA,,,,,
PYCA,Pyrus calleryana,Callery pear,BDM,PYCA,0.00,,16,P,DBH BY AGE CLASS,,,,,
PYKA,Pyrus kawakamii,Evergreen pear,BES,PYKA,0.00,,17,Q,Numbers,,,,,
QUAG,Quercus agrifolia,Coast live oak,BEL,QUAG,0.00,,,R,Species Codes,,,,,
ROPS,Robinia pseudoacacia,Black locust,BDM,ROPS,0.00,,,S,Interpolation range,,,,,
SESE,Sequoia sempervirens,Coast redwood,CEL,SESE,0.00,,,,,,,,,
ULAM,Ulmus americana,American elm,BDL,ULAM,0.00,,,,,,,,,
ULPA,Ulmus parvifolia,Chinese elm,BDL,ULPA,0.00,,,,,,,,,
PIBR2,Pinus brutia,Turkish pine; east mediterranean pine,CEM,PIBR2,0.00,,,,,,,,,
PICO5,Pinus contorta var. bolanderi,Bolander beach pine,CES,PICO5,0.00,,,,,,,,,
PHCA,Phoenix canariensis,Canary island date palm,PEL,PHCA,0.00,,,,,,,,,
PHDA4,Phoenix dactylifera,Date palm,PEM,PHDA4,0.00,,,,,,,,,
WARO,Washingtonia robusta,Mexican fan palm,PES,WARO,0.00,,,,,,,,,
BDL OTHER,Broadleaf Deciduous Large Other,BDL OTHER,BDL,ULAM,0.00,,,,,,,,,
BDM OTHER,Broadleaf Deciduous Medium Other,BDM OTHER,BDM,FRVE,0.00,,,,,,,,,
BDS OTHER,Broadleaf Deciduous Small Other,BDS OTHER,BDS,PRCE,0.00,,,,,,,,,
CEL OTHER,Conifer Evergreen Large Other,CEL OTHER,CEL,PIRA,0.00,x,12,L,CO2 avoided,,,,,
CEM OTHER,Conifer Evergreen Medium Other,CEM OTHER,CEM,PIBR2,0.00,,,,,,,,,
CES OTHER,Conifer Evergreen Small Other,CES OTHER,CES,PICO5,0.00,0.67,,,,,,,,
BEL OTHER,Broadleaf Evergreen Large Other,BEL OTHER,BEL,QUAG,0.00,0.33,,,,,,,,
BEM OTHER,Broadleaf Evergreen Medium Other,BEM OTHER,BEM,CICA,0.00,0.33,,,,,,,,
BES OTHER,Broadleaf Evergreen Small Other,BES OTHER,BES,PYKA,0.00,0.33,,,,,,,,
PEL OTHER,Palm Evergreen Large Other,PEL OTHER,PEL,PHCA,0.00,0.33,,,,,,,,
PEM OTHER,Palm Evergreen Medium Other,PEM OTHER,PEM,PHDA4,0.00,0.33,,,,,,,,
PES OTHER,Palm Evergreen Small Other,PES OTHER,PES,WARO,0.00,0.33,,,,,,,,
