#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.000,0.001,0.002,0.004,0.005,0.007,0.008,0.009,0.011
CICA,0.000,0.001,0.002,0.005,0.007,0.009,0.012,0.014,0.016
ERJA,0.000,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003
JUSI,0.000,0.000,0.002,0.003,0.005,0.006,0.008,0.010,0.011
KOELFO,0.000,0.001,0.002,0.003,0.005,0.006,0.007,0.008,0.008
LAIN,0.000,0.000,0.001,0.001,0.002,0.002,0.002,0.002,0.002
LIST,0.000,0.000,0.002,0.004,0.006,0.008,0.010,0.012,0.014
MAGR,0.000,0.000,0.002,0.004,0.006,0.008,0.011,0.013,0.015
PIEL2,0.000,0.001,0.002,0.003,0.005,0.007,0.009,0.010,0.012
PLOC,0.000,0.000,0.002,0.004,0.006,0.008,0.011,0.014,0.016
PRCA,0.000,0.001,0.003,0.005,0.007,0.009,0.009,0.009,0.009
QULA2,0.000,0.001,0.002,0.004,0.007,0.009,0.011,0.013,0.015
QUSH,0.000,0.001,0.002,0.004,0.006,0.009,0.011,0.013,0.015
QUVI,0.000,0.001,0.003,0.007,0.011,0.015,0.019,0.023,0.028
SAPA,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
SYRO,0.000,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003
THOR,0.000,0.000,0.001,0.001,0.002,0.002,0.002,0.002,0.002
TRSE6,0.000,0.001,0.001,0.002,0.003,0.004,0.004,0.004,0.004
ULPA,0.000,0.001,0.003,0.006,0.009,0.012,0.012,0.012,0.012
WARO,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
BDL OTHER,0.000,0.001,0.002,0.004,0.007,0.009,0.011,0.013,0.015
BDM OTHER,0.000,0.001,0.003,0.006,0.009,0.012,0.012,0.012,0.012
BDS OTHER,0.000,0.000,0.001,0.001,0.002,0.002,0.002,0.002,0.002
CEL OTHER,0.000,0.001,0.002,0.003,0.005,0.007,0.009,0.010,0.012
CEM OTHER,0.000,0.000,0.002,0.003,0.005,0.006,0.008,0.010,0.011
CES OTHER,0.000,0.000,0.001,0.001,0.002,0.002,0.002,0.002,0.002
BEL OTHER,0.000,0.000,0.002,0.004,0.006,0.008,0.011,0.013,0.015
BEM OTHER,0.000,0.001,0.002,0.005,0.007,0.009,0.012,0.014,0.016
BES OTHER,0.000,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003
PEL OTHER,0.000,0.001,0.002,0.003,0.003,0.003,0.003,0.003,0.003
PEM OTHER,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
PES OTHER,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
