#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.0004,0.0042,0.0124,0.0239,0.0333,0.0422,0.0507,0.0582,0.0656
CICA,0.0004,0.0039,0.0131,0.0268,0.0394,0.0517,0.0625,0.0740,0.0853
ERJA,0.0006,0.0035,0.0096,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183
JUSI,0.0003,0.0028,0.0093,0.0195,0.0287,0.0377,0.0459,0.0459,0.0459
KOELFO,0.0007,0.0050,0.0140,0.0265,0.0381,0.0488,0.0585,0.0679,0.0679
LAIN,0.0003,0.0020,0.0054,0.0106,0.0155,0.0155,0.0155,0.0155,0.0155
LIST,0.0003,0.0037,0.0129,0.0276,0.0399,0.0516,0.0617,0.0723,0.0830
MAGR,0.0001,0.0023,0.0091,0.0216,0.0333,0.0454,0.0571,0.0685,0.0798
PIEL2,0.0003,0.0033,0.0110,0.0224,0.0304,0.0370,0.0420,0.0462,0.0502
PLOC,0.0003,0.0049,0.0175,0.0373,0.0565,0.0750,0.0934,0.1110,0.1279
PRCA,0.0005,0.0050,0.0143,0.0272,0.0386,0.0492,0.0492,0.0492,0.0492
QULA2,0.0004,0.0049,0.0160,0.0328,0.0485,0.0631,0.0781,0.0921,0.1061
QUSH,0.0003,0.0045,0.0156,0.0328,0.0489,0.0640,0.0795,0.0324,0.0324
QUVI,0.0003,0.0045,0.0175,0.0388,0.0593,0.0803,0.1001,0.1198,0.1390
SAPA,0.0009,0.0038,0.0063,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066
SYRO,0.0022,0.0152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
THOR,0.0001,0.0009,0.0030,0.0068,0.0105,0.0105,0.0105,0.0105,0.0105
TRSE6,0.0007,0.0050,0.0125,0.0220,0.0289,0.0350,0.0350,0.0350,0.0350
ULPA,0.0004,0.0067,0.0228,0.0480,0.0720,0.0960,0.1196,0.1196,0.1196
WARO,0.0005,0.0049,0.0057,0.0056,0.0055,0.0054,0.0053,0.0051,0.0050
BDL OTHER,0.0004,0.0049,0.0160,0.0328,0.0485,0.0631,0.0781,0.0921,0.1061
BDM OTHER,0.0004,0.0067,0.0228,0.0480,0.0720,0.0960,0.1196,0.1196,0.1196
BDS OTHER,0.0003,0.0020,0.0054,0.0106,0.0155,0.0155,0.0155,0.0155,0.0155
CEL OTHER,0.0003,0.0033,0.0110,0.0224,0.0304,0.0370,0.0420,0.0462,0.0502
CEM OTHER,0.0003,0.0028,0.0093,0.0195,0.0287,0.0377,0.0459,0.0459,0.0459
CES OTHER,0.0001,0.0009,0.0030,0.0068,0.0105,0.0105,0.0105,0.0105,0.0105
BEL OTHER,0.0001,0.0023,0.0091,0.0216,0.0333,0.0454,0.0571,0.0685,0.0798
BEM OTHER,0.0004,0.0039,0.0131,0.0268,0.0394,0.0517,0.0625,0.0740,0.0853
BES OTHER,0.0006,0.0035,0.0096,0.0183,0.0183,0.0183,0.0183,0.0183,0.0183
PEL OTHER,0.0022,0.0152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0009,0.0038,0.0063,0.0066,0.0066,0.0066,0.0066,0.0066,0.0066
PES OTHER,0.0005,0.0049,0.0057,0.0056,0.0055,0.0054,0.0053,0.0051,0.0050
