#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,-0.010,-0.033,-0.086,-0.178,-0.289,-0.402,-0.503,-0.589,-0.636
CICA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
ERJA,0.000,-0.001,-0.003,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009
JUSI,-0.009,-0.028,-0.061,-0.117,-0.170,-0.239,-0.314,-0.406,-0.492
KOELFO,-0.033,-0.119,-0.281,-0.751,-1.349,-2.153,-3.092,-4.265,-4.265
LAIN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIST,-0.022,-0.113,-0.540,-1.374,-2.794,-4.441,-6.686,-9.377,-12.538
MAGR,-0.039,-0.102,-0.254,-0.543,-0.888,-1.274,-1.780,-2.352,-2.973
PIEL2,0.000,-0.001,-0.005,-0.013,-0.025,-0.040,-0.059,-0.082,-0.108
PLOC,-0.003,-0.023,-0.241,-0.813,-1.634,-2.739,-4.260,-6.282,-8.364
PRCA,0.000,-0.002,-0.005,-0.008,-0.013,-0.018,-0.018,-0.018,-0.018
QULA2,-0.022,-0.078,-0.208,-0.468,-0.809,-1.152,-1.512,-1.862,-2.221
QUSH,-0.005,-0.084,-0.436,-1.123,-1.803,-2.413,-2.893,-3.246,-3.685
QUVI,-0.050,-0.176,-0.515,-1.327,-2.232,-3.395,-4.453,-5.489,-6.842
SAPA,-0.037,-0.124,-0.234,-0.234,-0.234,-0.234,-0.234,-0.234,-0.234
SYRO,-0.007,-0.034,-0.073,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114
THOR,0.000,-0.005,-0.013,-0.033,-0.068,-0.068,-0.068,-0.068,-0.068
TRSE6,-0.016,-0.049,-0.108,-0.234,-0.458,-0.761,-0.761,-0.761,-0.761
ULPA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
WARO,-0.004,-0.022,-0.048,-0.083,-0.083,-0.083,-0.083,-0.083,-0.083
BDL OTHER,-0.022,-0.078,-0.208,-0.468,-0.809,-1.152,-1.512,-1.862,-2.221
BDM OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDS OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CEL OTHER,0.000,-0.001,-0.005,-0.013,-0.025,-0.040,-0.059,-0.082,-0.108
CEM OTHER,-0.009,-0.028,-0.061,-0.117,-0.170,-0.239,-0.314,-0.406,-0.492
CES OTHER,0.000,-0.005,-0.013,-0.033,-0.068,-0.068,-0.068,-0.068,-0.068
BEL OTHER,-0.039,-0.102,-0.254,-0.543,-0.888,-1.274,-1.780,-2.352,-2.973
BEM OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BES OTHER,0.000,-0.001,-0.003,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009
PEL OTHER,-0.007,-0.034,-0.073,-0.114,-0.114,-0.114,-0.114,-0.114,-0.114
PEM OTHER,-0.037,-0.124,-0.234,-0.234,-0.234,-0.234,-0.234,-0.234,-0.234
PES OTHER,-0.004,-0.022,-0.048,-0.083,-0.083,-0.083,-0.083,-0.083,-0.083
