#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.1,5.6,16.6,32.1,44.8,56.7,67.9,78.0,87.9
CICA,0.5,5.3,17.6,36.0,52.8,69.0,83.3,98.5,113.4
ERJA,0.8,4.5,12.7,24.4,24.4,24.4,24.4,24.4,24.4
JUSI,0.3,3.7,12.4,26.2,38.6,50.6,61.5,61.5,61.5
KOELFO,0.8,6.7,18.7,35.4,50.8,64.9,77.8,90.3,90.3
LAIN,0.3,2.5,7.2,14.1,20.6,20.6,20.6,20.6,20.6
LIST,0.4,5.0,17.3,37.1,53.5,68.8,82.2,96.0,109.9
MAGR,0.1,3.0,12.2,28.9,44.6,60.8,76.3,91.4,106.3
PIEL2,0.4,4.4,14.9,30.3,40.9,49.4,55.8,61.0,66.0
PLOC,0.4,6.6,23.6,50.3,75.7,100.1,124.3,147.3,169.5
PRCA,0.6,6.7,19.2,36.5,51.8,65.9,65.9,65.9,65.9
QULA2,0.5,6.6,21.4,43.9,64.6,83.8,103.5,121.9,140.2
QUSH,0.4,6.0,20.9,43.8,65.3,85.3,105.6,43.3,43.3
QUVI,0.3,6.0,23.4,51.9,79.2,106.9,133.0,158.8,184.0
SAPA,1.1,5.0,8.4,8.8,8.8,8.8,8.8,8.8,8.8
SYRO,2.8,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THOR,0.1,1.2,3.9,9.0,14.0,14.0,14.0,14.0,14.0
TRSE6,0.9,6.7,16.8,29.5,38.9,47.0,47.0,47.0,47.0
ULPA,0.5,8.8,30.4,64.0,95.7,127.3,158.3,158.3,158.3
WARO,0.6,6.6,7.7,7.6,7.4,7.2,7.0,6.8,6.7
BDL OTHER,0.5,6.6,21.4,43.9,64.6,83.8,103.5,121.9,140.2
BDM OTHER,0.5,8.8,30.4,64.0,95.7,127.3,158.3,158.3,158.3
BDS OTHER,0.3,2.5,7.2,14.1,20.6,20.6,20.6,20.6,20.6
CEL OTHER,0.4,4.4,14.9,30.3,40.9,49.4,55.8,61.0,66.0
CEM OTHER,0.3,3.7,12.4,26.2,38.6,50.6,61.5,61.5,61.5
CES OTHER,0.1,1.2,3.9,9.0,14.0,14.0,14.0,14.0,14.0
BEL OTHER,0.1,3.0,12.2,28.9,44.6,60.8,76.3,91.4,106.3
BEM OTHER,0.5,5.3,17.6,36.0,52.8,69.0,83.3,98.5,113.4
BES OTHER,0.8,4.5,12.7,24.4,24.4,24.4,24.4,24.4,24.4
PEL OTHER,2.8,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEM OTHER,1.1,5.0,8.4,8.8,8.8,8.8,8.8,8.8,8.8
PES OTHER,0.6,6.6,7.7,7.6,7.4,7.2,7.0,6.8,6.7
