#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,1.1,11.6,34.5,66.7,92.9,117.8,141.2,162.2,182.8
CICA,1.0,11.0,36.6,74.8,109.8,143.7,173.8,205.6,237.1
ERJA,1.7,9.5,26.6,50.9,50.9,50.9,50.9,50.9,50.9
JUSI,0.7,7.9,25.8,54.4,80.1,104.9,127.8,127.8,127.8
KOELFO,1.8,14.0,39.0,73.7,105.7,135.5,162.5,188.6,188.6
LAIN,0.7,5.4,15.0,29.5,43.1,43.1,43.1,43.1,43.1
LIST,0.9,10.4,36.0,76.9,111.1,143.4,171.4,200.7,230.3
MAGR,0.3,6.4,25.3,60.0,92.7,126.5,159.0,190.6,222.0
PIEL2,0.9,9.2,30.8,62.7,84.8,102.8,116.5,127.9,138.8
PLOC,0.8,13.8,48.8,104.1,157.3,208.6,259.8,308.2,355.1
PRCA,1.4,14.0,39.9,75.8,107.6,137.0,137.0,137.0,137.0
QULA2,1.1,13.7,44.7,91.2,134.9,175.1,216.6,255.6,294.1
QUSH,1.0,12.6,43.5,91.1,136.1,178.0,220.7,90.0,90.0
QUVI,0.7,12.7,48.8,107.9,165.0,223.2,278.2,332.6,385.6
SAPA,2.4,10.6,17.4,18.3,18.4,18.3,18.3,18.3,18.3
SYRO,6.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THOR,0.3,2.7,8.2,18.7,29.3,29.3,29.3,29.3,29.3
TRSE6,2.0,14.0,35.0,61.3,80.7,97.4,97.4,97.4,97.4
ULPA,1.1,18.7,63.3,133.5,200.0,266.7,331.7,331.7,331.7
WARO,1.3,13.6,15.9,15.7,15.4,15.0,14.6,14.1,14.0
BDL OTHER,1.1,13.7,44.7,91.2,134.9,175.1,216.6,255.6,294.1
BDM OTHER,1.1,18.7,63.3,133.5,200.0,266.7,331.7,331.7,331.7
BDS OTHER,0.7,5.4,15.0,29.5,43.1,43.1,43.1,43.1,43.1
CEL OTHER,0.9,9.2,30.8,62.7,84.8,102.8,116.5,127.9,138.8
CEM OTHER,0.7,7.9,25.8,54.4,80.1,104.9,127.8,127.8,127.8
CES OTHER,0.3,2.7,8.2,18.7,29.3,29.3,29.3,29.3,29.3
BEL OTHER,0.3,6.4,25.3,60.0,92.7,126.5,159.0,190.6,222.0
BEM OTHER,1.0,11.0,36.6,74.8,109.8,143.7,173.8,205.6,237.1
BES OTHER,1.7,9.5,26.6,50.9,50.9,50.9,50.9,50.9,50.9
PEL OTHER,6.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEM OTHER,2.4,10.6,17.4,18.3,18.4,18.3,18.3,18.3,18.3
PES OTHER,1.3,13.6,15.9,15.7,15.4,15.0,14.6,14.1,14.0
