#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.8,8.6,25.6,49.4,68.9,87.4,104.8,120.4,135.8
CICA,0.7,8.2,27.1,55.5,81.5,106.8,129.2,153.0,176.4
ERJA,1.3,7.1,19.8,37.8,37.8,37.8,37.8,37.8,37.8
JUSI,0.6,5.8,19.1,40.3,59.4,77.9,94.9,94.9,94.9
KOELFO,1.3,10.4,29.0,54.8,78.7,100.8,120.9,140.4,140.4
LAIN,0.5,4.0,11.2,22.0,32.1,32.1,32.1,32.1,32.1
LIST,0.7,7.7,26.6,57.0,82.5,106.6,127.5,149.5,171.6
MAGR,0.2,4.7,18.8,44.6,68.8,93.9,118.1,141.7,165.1
PIEL2,0.7,6.8,22.8,46.4,62.9,76.4,86.7,95.4,103.7
PLOC,0.6,10.2,36.1,77.2,116.8,155.0,193.2,229.5,264.5
PRCA,1.0,10.4,29.6,56.2,79.9,101.7,101.7,101.7,101.7
QULA2,0.8,10.2,33.1,67.8,100.3,130.3,161.4,190.4,219.3
QUSH,0.7,9.4,32.3,67.7,101.2,132.4,164.3,66.9,66.9
QUVI,0.6,9.4,36.2,80.1,122.6,166.0,207.0,247.8,287.4
SAPA,1.8,7.9,12.9,13.6,13.6,13.6,13.6,13.6,13.6
SYRO,4.5,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THOR,0.2,2.0,6.1,14.0,21.8,21.8,21.8,21.8,21.8
TRSE6,1.5,10.4,25.9,45.4,59.8,72.3,72.3,72.3,72.3
ULPA,0.8,13.9,47.1,99.3,148.9,198.5,247.2,247.2,247.2
WARO,1.0,10.1,11.8,11.7,11.4,11.2,10.8,10.5,10.4
BDL OTHER,0.8,10.2,33.1,67.8,100.3,130.3,161.4,190.4,219.3
BDM OTHER,0.8,13.9,47.1,99.3,148.9,198.5,247.2,247.2,247.2
BDS OTHER,0.5,4.0,11.2,22.0,32.1,32.1,32.1,32.1,32.1
CEL OTHER,0.7,6.8,22.8,46.4,62.9,76.4,86.7,95.4,103.7
CEM OTHER,0.6,5.8,19.1,40.3,59.4,77.9,94.9,94.9,94.9
CES OTHER,0.2,2.0,6.1,14.0,21.8,21.8,21.8,21.8,21.8
BEL OTHER,0.2,4.7,18.8,44.6,68.8,93.9,118.1,141.7,165.1
BEM OTHER,0.7,8.2,27.1,55.5,81.5,106.8,129.2,153.0,176.4
BES OTHER,1.3,7.1,19.8,37.8,37.8,37.8,37.8,37.8,37.8
PEL OTHER,4.5,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEM OTHER,1.8,7.9,12.9,13.6,13.6,13.6,13.6,13.6,13.6
PES OTHER,1.0,10.1,11.8,11.7,11.4,11.2,10.8,10.5,10.4
