#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACRU,0.0,0.7,3.0,8.8,18.4,31.9,48.6,71.0,96.5,,,,
CICA,0.0,0.4,2.1,8.4,18.2,32.3,53.3,80.4,111.1,,,,
ERJA,0.0,0.5,4.0,14.7,14.7,14.7,14.7,14.7,14.7,,,,
JUSI,0.0,0.4,2.4,8.5,17.0,30.9,48.7,71.6,100.6,,,,
KOELFO,0.0,0.4,1.9,6.6,15.1,28.6,47.2,70.9,70.9,,,,
LAIN,0.0,0.2,1.3,4.6,9.7,9.7,9.7,9.7,9.7,,,,
LIST,0.0,0.3,2.0,6.8,16.2,32.0,52.6,80.6,115.4,,,,
MAGR,0.0,0.2,1.4,5.8,13.5,24.3,40.8,60.1,87.3,,,,
PIEL2,0.0,0.3,1.6,6.6,16.4,35.1,62.4,100.5,149.7,,,,
PLOC,0.0,0.3,2.3,9.0,20.5,41.3,65.8,106.6,152.3,,,,
PRCA,0.0,0.6,4.4,14.7,36.5,69.7,69.7,69.7,69.7,,,,
QULA2,0.0,0.6,3.5,12.9,31.3,56.3,90.4,133.9,194.0,,,,
QUSH,0.0,0.7,3.9,13.7,30.5,57.9,90.0,140.5,192.3,,,,
QUVI,0.0,0.6,3.8,16.1,35.4,67.4,109.9,162.2,223.3,,,,
SAPA,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,,,,
SYRO,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.5,,,,
THOR,0.0,1.6,6.1,27.3,61.4,61.4,61.4,61.4,61.4,,,,
TRSE6,0.1,0.6,2.9,10.1,24.8,43.9,43.9,43.9,43.9,,,,
ULPA,0.0,1.0,3.3,9.4,17.3,26.0,26.0,26.0,26.0,,,,
WARO,0.1,0.2,0.3,0.4,0.5,0.7,0.7,0.7,0.7,,,,
BDL OTHER,0.0,0.6,3.5,12.9,31.3,56.3,90.4,133.9,194.0,,,,
BDM OTHER,0.0,1.0,3.3,9.4,17.3,26.0,26.0,26.0,26.0,,,,
BDS OTHER,0.0,0.2,1.3,4.6,9.7,9.7,9.7,9.7,9.7,,,,
CEL OTHER,0.0,0.3,1.6,6.6,16.4,35.1,62.4,100.5,149.7,,,,
CEM OTHER,0.0,0.4,2.4,8.5,17.0,30.9,48.7,71.6,100.6,,,,
CES OTHER,0.0,1.6,6.1,27.3,61.4,61.4,61.4,61.4,61.4,,,,
BEL OTHER,0.0,0.2,1.4,5.8,13.5,24.3,40.8,60.1,87.3,,,,
BEM OTHER,0.0,0.4,2.1,8.4,18.2,32.3,53.3,80.4,111.1,,,,
BES OTHER,0.0,0.5,4.0,14.7,14.7,14.7,14.7,14.7,14.7,,,,
PEL OTHER,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.5,,,,
PEM OTHER,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,,,,
PES OTHER,0.1,0.2,0.3,0.4,0.5,0.7,0.7,0.7,0.7,,,,
