#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACRU,2.7,12.9,32.6,58.8,84.8,109.5,132.2,155.5,176.5,,,
CICA,1.8,10.6,33.5,72.7,108.2,142.9,180.3,216.8,249.7,,,
ERJA,2.6,11.7,30.1,50.5,50.5,50.5,50.5,50.5,50.5,,,
JUSI,0.9,7.5,23.8,50.4,72.9,98.4,122.4,148.5,170.1,,,
KOELFO,4.0,18.5,39.0,77.6,110.1,142.1,171.1,200.1,200.1,,,
LAIN,0.5,7.3,18.9,34.4,47.9,47.9,47.9,47.9,47.9,,,
LIST,1.4,8.9,34.3,67.8,108.1,143.7,182.6,220.9,258.7,,,
MAGR,0.9,6.2,24.4,57.5,91.3,123.7,160.3,196.3,230.7,,,
PIEL2,1.3,9.2,25.7,52.0,79.7,104.5,129.9,154.5,177.7,,,
PLOC,1.0,12.0,44.6,97.4,150.6,205.7,266.3,332.0,389.0,,,
PRCA,0.7,13.2,40.5,70.6,103.4,133.4,133.4,133.4,133.4,,,
QULA2,1.8,14.0,43.7,92.5,145.5,192.8,239.4,284.6,333.3,,,
QUSH,1.7,14.7,44.6,92.7,140.9,192.4,245.1,288.6,330.7,,,
QUVI,1.8,13.0,44.2,106.8,165.6,233.2,291.2,347.3,423.4,,,
SAPA,3.4,14.2,18.6,18.6,18.6,18.6,18.6,18.6,18.6,,,
SYRO,3.4,12.4,28.8,42.7,42.7,42.7,42.7,42.7,42.7,,,
THOR,0.0,4.2,11.3,21.2,32.3,32.3,32.3,32.3,32.3,,,
TRSE6,3.5,15.3,31.9,54.0,75.7,92.5,92.5,92.5,92.5,,,
ULPA,1.7,19.0,62.6,139.6,211.9,291.9,291.9,291.9,291.9,,,
WARO,0.6,13.5,16.2,16.2,16.2,16.2,16.2,16.2,16.2,,,
BDL OTHER,1.8,14.0,43.7,92.5,145.5,192.8,239.4,284.6,333.3,,,
BDM OTHER,1.7,19.0,62.6,139.6,211.9,291.9,291.9,291.9,291.9,,,
BDS OTHER,0.5,7.3,18.9,34.4,47.9,47.9,47.9,47.9,47.9,,,
CEL OTHER,1.3,9.2,25.7,52.0,79.7,104.5,129.9,154.5,177.7,,,
CEM OTHER,0.9,7.5,23.8,50.4,72.9,98.4,122.4,148.5,170.1,,,
CES OTHER,0.0,4.2,11.3,21.2,32.3,32.3,32.3,32.3,32.3,,,
BEL OTHER,0.9,6.2,24.4,57.5,91.3,123.7,160.3,196.3,230.7,,,
BEM OTHER,1.8,10.6,33.5,72.7,108.2,142.9,180.3,216.8,249.7,,,
BES OTHER,2.6,11.7,30.1,50.5,50.5,50.5,50.5,50.5,50.5,,,
PEL OTHER,3.4,12.4,28.8,42.7,42.7,42.7,42.7,42.7,42.7,,,
PEM OTHER,3.4,14.2,18.6,18.6,18.6,18.6,18.6,18.6,18.6,,,
PES OTHER,0.6,13.5,16.2,16.2,16.2,16.2,16.2,16.2,16.2,,,
