#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.1,6.0,18.0,34.8,48.5,61.4,73.5,84.5,95.1
CICA,0.5,5.7,19.0,39.0,57.1,74.6,90.2,106.7,122.7
ERJA,0.9,4.9,13.8,26.4,26.4,26.4,26.4,26.4,26.4
JUSI,0.4,4.0,13.5,28.3,41.8,54.7,66.5,66.5,66.5
KOELFO,0.9,7.2,20.2,38.3,54.9,70.3,84.3,97.8,97.8
LAIN,0.4,2.8,7.8,15.3,22.3,22.3,22.3,22.3,22.3
LIST,0.5,5.4,18.8,40.2,57.9,74.5,88.9,103.9,118.9
MAGR,0.1,3.3,13.2,31.3,48.3,65.8,82.6,99.0,115.1
PIEL2,0.5,4.8,16.1,32.8,44.3,53.5,60.3,66.0,71.4
PLOC,0.4,7.2,25.5,54.4,81.9,108.4,134.5,159.4,183.5
PRCA,0.7,7.3,20.8,39.5,56.0,71.3,71.3,71.3,71.3
QULA2,0.5,7.1,23.2,47.5,70.0,90.7,112.0,131.9,151.7
QUSH,0.5,6.5,22.6,47.4,70.6,92.3,114.3,46.8,46.8
QUVI,0.4,6.5,25.3,56.2,85.7,115.7,143.9,171.9,199.1
SAPA,1.2,5.4,9.0,9.5,9.5,9.5,9.5,9.5,9.5
SYRO,3.1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THOR,0.1,1.3,4.2,9.7,15.1,15.1,15.1,15.1,15.1
TRSE6,1.0,7.3,18.2,31.9,42.1,50.8,50.8,50.8,50.8
ULPA,0.6,9.5,32.9,69.3,103.6,137.8,171.3,171.3,171.3
WARO,0.7,7.1,8.3,8.2,8.0,7.8,7.6,7.3,7.2
BDL OTHER,0.5,7.1,23.2,47.5,70.0,90.7,112.0,131.9,151.7
BDM OTHER,0.6,9.5,32.9,69.3,103.6,137.8,171.3,171.3,171.3
BDS OTHER,0.4,2.8,7.8,15.3,22.3,22.3,22.3,22.3,22.3
CEL OTHER,0.5,4.8,16.1,32.8,44.3,53.5,60.3,66.0,71.4
CEM OTHER,0.4,4.0,13.5,28.3,41.8,54.7,66.5,66.5,66.5
CES OTHER,0.1,1.3,4.2,9.7,15.1,15.1,15.1,15.1,15.1
BEL OTHER,0.1,3.3,13.2,31.3,48.3,65.8,82.6,99.0,115.1
BEM OTHER,0.5,5.7,19.0,39.0,57.1,74.6,90.2,106.7,122.7
BES OTHER,0.9,4.9,13.8,26.4,26.4,26.4,26.4,26.4,26.4
PEL OTHER,3.1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEM OTHER,1.2,5.4,9.0,9.5,9.5,9.5,9.5,9.5,9.5
PES OTHER,0.7,7.1,8.3,8.2,8.0,7.8,7.6,7.3,7.2
