#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.97,2.49,6.61,15.18,26.38,39.26,49.86,58.03,61.16
CICA,0.38,6.55,11.11,17.44,24.36,33.22,41.38,51.40,62.78
ERJA,0.17,1.05,4.21,13.81,13.81,13.81,13.81,13.81,13.81
JUSI,0.15,3.50,6.49,11.57,16.98,24.38,32.97,32.97,32.97
KOELFO,0.38,1.28,3.82,9.33,18.38,28.99,48.53,74.05,74.05
LAIN,0.05,0.65,1.85,4.61,8.52,8.52,8.52,8.52,8.52
LIST,0.17,0.84,3.86,11.94,25.15,45.96,77.57,110.49,151.88
MAGR,0.16,4.33,8.53,15.86,25.29,39.50,57.44,81.79,106.51
PIEL2,0.17,0.68,2.94,8.84,18.55,32.22,53.09,81.97,115.65
PLOC,0.06,0.52,4.67,18.70,47.23,89.09,145.25,204.18,264.40
PRCA,0.10,4.40,8.55,16.57,26.81,37.68,37.68,37.68,37.68
QULA2,0.13,3.11,7.12,17.84,28.59,43.80,61.74,79.31,94.84
QUSH,0.09,1.69,10.38,50.78,50.78,66.72,80.07,88.72,102.26
QUVI,0.20,3.49,9.74,23.47,42.87,64.56,92.17,123.99,150.11
SAPA,0.55,1.78,3.49,3.49,3.49,3.49,3.49,3.49,3.49
SYRO,0.24,1.06,2.11,3.61,3.61,3.61,3.61,3.61,3.61
THOR,0.10,0.56,1.55,4.92,11.87,11.87,11.87,11.87,11.87
TRSE6,0.32,2.13,4.68,11.74,23.85,45.81,45.81,45.81,45.81
ULPA,0.09,2.22,8.23,23.79,40.18,54.39,62.62,62.62,62.62
WARO,0.15,0.72,1.31,2.70,2.70,2.70,2.70,2.70,2.70
BDL OTHER,0.13,3.11,7.12,17.84,28.59,43.80,61.74,79.31,94.84
BDM OTHER,0.09,2.22,8.23,23.79,40.18,54.39,62.62,62.62,62.62
BDS OTHER,0.05,0.65,1.85,4.61,8.52,8.52,8.52,8.52,8.52
CEL OTHER,0.17,0.68,2.94,8.84,18.55,32.22,53.09,81.97,115.65
CEM OTHER,0.15,3.50,6.49,11.57,16.98,24.38,32.97,32.97,32.97
CES OTHER,0.10,0.56,1.55,4.92,11.87,11.87,11.87,11.87,11.87
BEL OTHER,0.16,4.33,8.53,15.86,25.29,39.50,57.44,81.79,106.51
BEM OTHER,0.38,6.55,11.11,17.44,24.36,33.22,41.38,51.40,62.78
BES OTHER,0.17,1.05,4.21,13.81,13.81,13.81,13.81,13.81,13.81
PEL OTHER,0.24,1.06,2.11,3.61,3.61,3.61,3.61,3.61,3.61
PEM OTHER,0.55,1.78,3.49,3.49,3.49,3.49,3.49,3.49,3.49
PES OTHER,0.15,0.72,1.31,2.70,2.70,2.70,2.70,2.70,2.70
