#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
ACRU,11.3,37.0,96.7,200.0,324.4,452.2,565.3,661.5,714.2,,,
CICA,24.1,58.5,122.5,224.1,319.7,419.6,536.0,659.3,778.9,,,
ERJA,2.4,14.4,63.7,169.0,169.0,169.0,169.0,169.0,169.0,,,
JUSI,11.6,34.7,76.7,147.3,214.4,301.7,395.7,512.4,621.4,,,
KOELFO,7.1,25.3,59.7,159.7,286.8,457.7,657.4,906.9,906.9,,,
LAIN,1.6,11.2,33.3,79.8,139.6,139.6,139.6,139.6,139.6,,,
LIST,2.8,14.2,67.9,172.8,351.5,558.7,841.2,1179.8,1577.5,,,
MAGR,14.1,36.5,91.4,195.3,319.2,457.6,639.4,845.3,1068.4,,,
PIEL2,2.4,13.2,44.3,120.2,238.0,379.8,563.9,782.9,1030.0,,,
PLOC,1.0,8.2,86.8,293.2,589.3,987.5,1535.8,2265.1,3015.5,,,
PRCA,10.7,50.5,121.9,211.6,329.3,458.4,458.4,458.4,458.4,,,
QULA2,12.5,43.8,117.5,264.1,456.9,650.8,853.8,1051.5,1254.0,,,
QUSH,1.7,29.5,152.7,393.7,632.0,846.1,1014.3,1138.2,1292.0,,,
QUVI,12.0,42.2,123.5,318.3,535.6,814.7,1068.4,1317.0,1641.6,,,
SAPA,7.7,25.6,48.4,48.4,48.4,48.4,48.4,48.4,48.4,,,
SYRO,3.3,15.9,34.6,53.6,53.6,53.6,53.6,53.6,53.6,,,
THOR,0.6,8.4,24.5,60.9,125.7,125.7,125.7,125.7,125.7,,,
TRSE6,10.9,33.4,73.6,159.8,313.1,520.2,520.2,520.2,520.2,,,
ULPA,1.4,32.7,138.8,379.0,621.3,852.8,852.8,852.8,852.8,,,
WARO,1.6,10.2,22.2,37.8,37.8,37.8,37.8,37.8,37.8,,,
BDL OTHER,12.5,43.8,117.5,264.1,456.9,650.8,853.8,1051.5,1254.0,,,
BDM OTHER,1.4,32.7,138.8,379.0,621.3,852.8,852.8,852.8,852.8,,,
BDS OTHER,1.6,11.2,33.3,79.8,139.6,139.6,139.6,139.6,139.6,,,
CEL OTHER,2.4,13.2,44.3,120.2,238.0,379.8,563.9,782.9,1030.0,,,
CEM OTHER,11.6,34.7,76.7,147.3,214.4,301.7,395.7,512.4,621.4,,,
CES OTHER,0.6,8.4,24.5,60.9,125.7,125.7,125.7,125.7,125.7,,,
BEL OTHER,14.1,36.5,91.4,195.3,319.2,457.6,639.4,845.3,1068.4,,,
BEM OTHER,24.1,58.5,122.5,224.1,319.7,419.6,536.0,659.3,778.9,,,
BES OTHER,2.4,14.4,63.7,169.0,169.0,169.0,169.0,169.0,169.0,,,
PEL OTHER,3.3,15.9,34.6,53.6,53.6,53.6,53.6,53.6,53.6,,,
PEM OTHER,7.7,25.6,48.4,48.4,48.4,48.4,48.4,48.4,48.4,,,
PES OTHER,1.6,10.2,22.2,37.8,37.8,37.8,37.8,37.8,37.8,,,
