#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,1.9,9.1,25.2,43.2,61.4,75.8,90.3,103.0,113.6
CICA,0.0,9.2,27.3,52.7,76.7,99.1,117.8,134.3,148.7
ERJA,2.0,11.6,24.3,38.6,38.6,38.6,38.6,38.6,38.6
JUSI,0.0,7.4,19.8,37.6,53.6,70.1,84.9,84.9,84.9
KOELFO,2.0,13.3,34.1,58.5,80.8,99.4,114.0,128.7,128.7
LAIN,0.0,5.9,15.5,29.0,38.7,38.7,38.7,38.7,38.7
LIST,0.0,7.4,26.0,52.3,77.6,101.4,123.5,143.5,161.1
MAGR,0.0,5.6,20.1,41.8,65.5,85.6,105.7,124.0,140.5
PIEL2,0.0,7.2,19.4,40.0,60.1,79.2,96.3,111.3,125.8
PLOC,0.0,9.3,33.8,70.0,106.2,137.0,164.1,187.4,207.0
PRCA,1.9,10.9,29.0,52.2,71.7,89.8,89.8,89.8,89.8
QULA2,1.9,11.4,36.1,70.5,101.2,128.1,151.2,172.2,189.5
QUSH,0.0,11.4,36.0,68.3,98.7,125.3,148.0,68.3,68.3
QUVI,0.0,11.1,36.6,74.6,109.1,140.2,165.9,189.7,208.4
SAPA,2.0,11.7,14.9,15.0,15.2,15.3,15.3,15.3,15.3
SYRO,8.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THOR,0.0,2.0,9.6,16.9,26.1,26.1,26.1,26.1,26.1
TRSE6,2.0,13.2,26.0,42.6,55.4,68.9,68.9,68.9,68.9
ULPA,2.0,17.1,51.0,97.9,137.4,171.1,197.2,197.2,197.2
WARO,1.9,11.3,13.4,13.5,13.6,13.6,13.7,13.8,13.8
BDL OTHER,1.9,11.4,36.1,70.5,101.2,128.1,151.2,172.2,189.5
BDM OTHER,2.0,17.1,51.0,97.9,137.4,171.1,197.2,197.2,197.2
BDS OTHER,0.0,5.9,15.5,29.0,38.7,38.7,38.7,38.7,38.7
CEL OTHER,0.0,7.2,19.4,40.0,60.1,79.2,96.3,111.3,125.8
CEM OTHER,0.0,7.4,19.8,37.6,53.6,70.1,84.9,84.9,84.9
CES OTHER,0.0,2.0,9.6,16.9,26.1,26.1,26.1,26.1,26.1
BEL OTHER,0.0,5.6,20.1,41.8,65.5,85.6,105.7,124.0,140.5
BEM OTHER,0.0,9.2,27.3,52.7,76.7,99.1,117.8,134.3,148.7
BES OTHER,2.0,11.6,24.3,38.6,38.6,38.6,38.6,38.6,38.6
PEL OTHER,8.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEM OTHER,2.0,11.7,14.9,15.0,15.2,15.3,15.3,15.3,15.3
PES OTHER,1.9,11.3,13.4,13.5,13.6,13.6,13.7,13.8,13.8
