#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.4,1.0,1.5,2.3,3.3,4.2,5.1,5.8,5.4
CICA,0.3,1.2,2.2,3.8,6.2,9.2,11.7,12.9,13.2
ERJA,0.7,2.6,3.7,4.0,4.0,4.0,4.0,4.0,4.0
JUSI,0.3,0.4,1.2,1.4,1.8,2.9,4.7,4.7,4.7
KOELFO,0.7,2.2,5.9,9.6,12.3,14.0,15.2,16.1,16.1
LAIN,0.3,1.5,3.7,6.3,8.6,8.6,8.6,8.6,8.6
LIST,0.2,0.9,3.2,7.0,12.9,19.4,25.7,31.1,35.3
MAGR,0.3,0.9,2.0,3.4,4.8,6.4,7.7,9.1,10.4
PIEL2,0.2,0.6,0.3,2.9,9.0,17.0,24.6,31.1,36.3
PLOC,0.2,1.3,5.4,11.9,18.1,24.0,29.4,34.9,39.9
PRCA,0.4,1.1,2.0,2.5,2.4,3.1,3.1,3.1,3.1
QULA2,0.4,1.9,6.5,12.7,18.6,23.6,27.9,31.4,34.8
QUSH,0.3,2.2,6.1,11.4,16.7,20.9,24.4,11.4,11.4
QUVI,0.3,1.3,3.3,5.6,7.5,9.6,11.7,14.3,17.6
SAPA,1.0,2.9,2.2,2.4,2.9,3.0,3.0,3.0,3.0
SYRO,2.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THOR,0.2,0.2,2.0,2.9,3.8,3.8,3.8,3.8,3.8
TRSE6,0.7,1.9,3.4,4.8,6.0,8.6,8.6,8.6,8.6
ULPA,0.5,2.3,8.5,14.9,20.1,24.6,28.4,28.4,28.4
WARO,0.3,2.1,2.7,3.0,3.2,3.4,3.6,3.7,3.8
BDL OTHER,0.4,1.9,6.5,12.7,18.6,23.6,27.9,31.4,34.8
BDM OTHER,0.5,2.3,8.5,14.9,20.1,24.6,28.4,28.4,28.4
BDS OTHER,0.3,1.5,3.7,6.3,8.6,8.6,8.6,8.6,8.6
CEL OTHER,0.2,0.6,0.3,2.9,9.0,17.0,24.6,31.1,36.3
CEM OTHER,0.3,0.4,1.2,1.4,1.8,2.9,4.7,4.7,4.7
CES OTHER,0.2,0.2,2.0,2.9,3.8,3.8,3.8,3.8,3.8
BEL OTHER,0.3,0.9,2.0,3.4,4.8,6.4,7.7,9.1,10.4
BEM OTHER,0.3,1.2,2.2,3.8,6.2,9.2,11.7,12.9,13.2
BES OTHER,0.7,2.6,3.7,4.0,4.0,4.0,4.0,4.0,4.0
PEL OTHER,2.4,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEM OTHER,1.0,2.9,2.2,2.4,2.9,3.0,3.0,3.0,3.0
PES OTHER,0.3,2.1,2.7,3.0,3.2,3.4,3.6,3.7,3.8
