#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACRU,2.6,32.1,69.7,112.9,146.0,163.2,161.5,135.2,80.6,,,,
CICA,0.8,18.4,59.8,141.6,220.4,291.8,345.5,341.0,207.0,,,,
ERJA,1.3,23.5,90.5,167.8,167.8,167.8,167.8,167.8,167.8,,,,
JUSI,1.2,15.3,46.7,105.5,157.4,211.7,246.7,246.3,158.6,,,,
KOELFO,0.3,18.7,47.9,78.0,80.3,34.9,45.8,170.9,169.9,,,,
LAIN,0.4,12.0,36.3,66.2,49.2,49.2,49.2,49.2,49.2,,,,
LIST,0.7,12.2,41.5,72.8,88.8,68.0,2.1,34.0,149.9,,,,
MAGR,0.1,9.5,33.7,74.0,109.9,137.4,158.3,165.0,155.7,,,,
PIEL2,0.5,11.1,36.1,89.0,147.6,208.6,240.3,205.5,-148.8,,,,
PLOC,1.2,12.7,53.0,134.9,228.6,336.5,403.8,404.6,165.9,,,,
PRCA,1.3,36.8,133.9,250.9,350.6,348.1,348.1,348.1,348.1,,,,
QULA2,1.9,26.3,80.5,186.9,322.8,454.8,586.6,705.1,806.4,,,,
QUSH,1.9,27.4,92.1,229.5,400.2,609.1,798.0,1019.3,1177.5,,,,
QUVI,0.8,34.1,105.3,242.6,367.1,501.5,618.8,712.3,777.6,,,,
SAPA,2.0,1.0,0.1,0.6,0.6,0.6,0.6,0.6,0.6,,,,
SYRO,3.0,2.5,1.9,1.4,0.9,0.9,0.9,0.9,0.9,,,,
THOR,2.8,110.3,210.9,133.1,526.6,526.6,526.6,526.6,526.6,,,,
TRSE6,6.2,27.2,73.8,159.9,246.6,261.6,261.6,261.6,261.6,,,,
ULPA,2.3,25.6,46.8,69.9,73.9,52.7,51.7,51.7,51.7,,,,
WARO,1.2,2.8,0.9,-0.4,-1.3,-0.1,-0.1,-0.1,-0.1,,,,
BDL OTHER,1.9,26.3,80.5,186.9,322.8,454.8,586.6,705.1,806.4,,,,
BDM OTHER,2.3,25.6,46.8,69.9,73.9,52.7,51.7,51.7,51.7,,,,
BDS OTHER,0.4,12.0,36.3,66.2,49.2,49.2,49.2,49.2,49.2,,,,
CEL OTHER,0.5,11.1,36.1,89.0,147.6,208.6,240.3,205.5,-148.8,,,,
CEM OTHER,1.2,15.3,46.7,105.5,157.4,211.7,246.7,246.3,158.6,,,,
CES OTHER,2.8,110.3,210.9,133.1,526.6,526.6,526.6,526.6,526.6,,,,
BEL OTHER,0.1,9.5,33.7,74.0,109.9,137.4,158.3,165.0,155.7,,,,
BEM OTHER,0.8,18.4,59.8,141.6,220.4,291.8,345.5,341.0,207.0,,,,
BES OTHER,1.3,23.5,90.5,167.8,167.8,167.8,167.8,167.8,167.8,,,,
PEL OTHER,3.0,2.5,1.9,1.4,0.9,0.9,0.9,0.9,0.9,,,,
PEM OTHER,2.0,1.0,0.1,0.6,0.6,0.6,0.6,0.6,0.6,,,,
PES OTHER,1.2,2.8,0.9,-0.4,-1.3,-0.1,-0.1,-0.1,-0.1,,,,
