#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,54,182,708,567,220,61,18,3,1
CICA,38,105,241,177,111,79,57,27,44
ERJA,66,127,84,7,0,0,0,0,0
JUSI,7,17,70,45,26,12,6,2,0
KOELFO,31,40,138,82,54,11,0,0,1
LAIN,5546,8129,1248,50,12,2,1,0,0
LIST,5,22,72,88,63,26,8,0,0
MAGR,662,730,382,131,28,10,6,3,0
PIEL2,81,131,348,317,64,4,0,0,0
PLOC,1,25,75,118,52,11,2,0,0
PRCA,70,154,217,64,10,2,1,0,1
QULA2,86,476,1270,1676,2173,2142,1449,767,581
QUSH,75,676,534,106,10,3,0,0,0
QUVI,680,4367,4463,2608,1996,1205,683,470,654
SAPA,5,33,904,1624,269,20,0,0,0
SYRO,26,164,540,87,0,0,0,0,0
THOR,60,239,133,31,7,0,0,0,0
TRSE6,14,54,185,114,32,5,2,0,0
ULPA,123,1076,1266,132,7,3,1,1,0
WARO,5,6,247,777,339,9,1,0,0
BDL OTHER,172,303,469,193,144,91,45,18,15
BDM OTHER,44,73,96,48,19,9,0,1,0
BDS OTHER,107,193,115,46,23,1,2,1,0
CEL OTHER,68,110,119,74,67,15,2,0,0
CEM OTHER,40,53,9,4,1,1,0,0,0
CES OTHER,0,0,0,0,0,0,0,0,0
BEL OTHER,143,203,112,42,30,24,7,6,4
BEM OTHER,98,180,139,32,7,2,1,0,0
BES OTHER,381,1580,903,51,2,1,0,0,0
PEL OTHER,3,15,44,22,46,32,6,2,0
PEM OTHER,14,30,77,123,212,18,1,1,0
PES OTHER,28,232,87,165,96,32,3,1,0
