#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.0005,0.0056,0.0167,0.0322,0.0449,0.0569,0.0683,0.0784,0.0884
CICA,0.0005,0.0053,0.0177,0.0362,0.0531,0.0695,0.0840,0.0994,0.1146
ERJA,0.0008,0.0046,0.0129,0.0246,0.0246,0.0246,0.0246,0.0246,0.0246
JUSI,0.0004,0.0038,0.0125,0.0263,0.0387,0.0507,0.0618,0.0618,0.0618
KOELFO,0.0009,0.0068,0.0189,0.0356,0.0512,0.0656,0.0786,0.0912,0.0912
LAIN,0.0004,0.0026,0.0073,0.0143,0.0209,0.0209,0.0209,0.0209,0.0209
LIST,0.0005,0.0050,0.0174,0.0372,0.0538,0.0694,0.0830,0.0971,0.1115
MAGR,0.0001,0.0031,0.0122,0.0290,0.0448,0.0612,0.0769,0.0922,0.1073
PIEL2,0.0005,0.0044,0.0149,0.0303,0.0410,0.0497,0.0564,0.0619,0.0672
PLOC,0.0004,0.0067,0.0236,0.0504,0.0761,0.1009,0.1257,0.1491,0.1718
PRCA,0.0007,0.0068,0.0193,0.0366,0.0520,0.0662,0.0662,0.0662,0.0662
QULA2,0.0005,0.0066,0.0216,0.0441,0.0653,0.0847,0.1048,0.1237,0.1423
QUSH,0.0005,0.0061,0.0210,0.0441,0.0658,0.0861,0.1068,0.0435,0.0435
QUVI,0.0004,0.0061,0.0236,0.0522,0.0798,0.1079,0.1345,0.1608,0.1865
SAPA,0.0011,0.0051,0.0084,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089
SYRO,0.0029,0.0205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
THOR,0.0001,0.0013,0.0040,0.0091,0.0142,0.0142,0.0142,0.0142,0.0142
TRSE6,0.0010,0.0068,0.0169,0.0296,0.0390,0.0471,0.0471,0.0471,0.0471
ULPA,0.0006,0.0090,0.0306,0.0646,0.0967,0.1290,0.1604,0.1604,0.1604
WARO,0.0006,0.0066,0.0077,0.0076,0.0075,0.0073,0.0071,0.0068,0.0068
BDL OTHER,0.0005,0.0066,0.0216,0.0441,0.0653,0.0847,0.1048,0.1237,0.1423
BDM OTHER,0.0006,0.0090,0.0306,0.0646,0.0967,0.1290,0.1604,0.1604,0.1604
BDS OTHER,0.0004,0.0026,0.0073,0.0143,0.0209,0.0209,0.0209,0.0209,0.0209
CEL OTHER,0.0005,0.0044,0.0149,0.0303,0.0410,0.0497,0.0564,0.0619,0.0672
CEM OTHER,0.0004,0.0038,0.0125,0.0263,0.0387,0.0507,0.0618,0.0618,0.0618
CES OTHER,0.0001,0.0013,0.0040,0.0091,0.0142,0.0142,0.0142,0.0142,0.0142
BEL OTHER,0.0001,0.0031,0.0122,0.0290,0.0448,0.0612,0.0769,0.0922,0.1073
BEM OTHER,0.0005,0.0053,0.0177,0.0362,0.0531,0.0695,0.0840,0.0994,0.1146
BES OTHER,0.0008,0.0046,0.0129,0.0246,0.0246,0.0246,0.0246,0.0246,0.0246
PEL OTHER,0.0029,0.0205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0011,0.0051,0.0084,0.0089,0.0089,0.0089,0.0089,0.0089,0.0089
PES OTHER,0.0006,0.0066,0.0077,0.0076,0.0075,0.0073,0.0071,0.0068,0.0068
