#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,6.3,9.6,13.2,15.5,15.3,13.1,9.8,5.5,1.7
CICA,10.8,11.8,13.4,15.3,16.3,16.8,16.4,14.4,9.5
ERJA,1.4,4.0,9.2,12.8,0.0,0.0,0.0,0.0,0.0
JUSI,4.0,5.1,6.7,8.8,10.2,11.4,11.9,11.2,8.5
KOELFO,4.2,6.9,9.5,11.8,10.9,6.4,8.0,19.4,0.0
LAIN,1.7,3.1,5.3,7.3,5.2,0.0,0.0,0.0,0.0
LIST,1.9,4.7,9.6,12.9,13.9,11.8,6.0,11.3,24.3
MAGR,6.6,7.9,10.0,12.6,14.6,15.9,16.9,17.3,17.0
PIEL2,1.4,3.5,6.3,10.0,13.1,14.9,15.4,13.4,0.3
PLOC,0.5,5.1,16.5,33.4,48.9,62.4,72.2,71.0,41.3
PRCA,13.0,13.6,14.7,15.0,14.3,11.6,0.0,0.0,0.0
QULA2,5.6,9.1,14.5,21.1,26.1,28.6,29.0,27.4,23.4
QUSH,1.2,11.6,26.8,38.7,39.2,35.2,25.4,25.5,35.8
QUVI,6.6,11.7,19.1,28.0,33.0,35.9,36.2,34.8,30.2
SAPA,2.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SYRO,1.8,2.9,3.2,3.1,0.0,0.0,0.0,0.0,0.0
THOR,2.0,3.2,4.33,2.6,8.5,0.0,0.0,0.0,0.0
TRSE6,4.6,6.3,9.3,14.8,22.6,27.6,0.0,0.0,0.0
ULPA,1.5,8.1,17.1,24.5,22.9,12.8,0.0,0.0,0.0
WARO,1.6,2.3,2.4,1.6,0.0,0.0,0.0,0.0,0.0
BDL OTHER,5.6,9.1,14.5,21.1,26.1,28.6,29.0,27.4,23.4
BDM OTHER,1.5,8.1,17.1,24.5,22.9,12.8,0.0,0.0,0.0
BDS OTHER,1.7,3.1,5.3,7.3,5.2,0.0,0.0,0.0,0.0
CEL OTHER,1.4,3.5,6.3,10.0,13.1,14.9,15.4,13.4,0.3
CEM OTHER,4.0,5.1,6.7,8.8,10.2,11.4,11.9,11.2,8.5
CES OTHER,2.0,3.2,4.3,2.6,8.5,0.0,0.0,0.0,0.0
BEL OTHER,6.6,7.9,10.0,12.6,14.6,15.9,16.9,17.3,17.0
BEM OTHER,10.8,11.8,13.4,15.3,16.3,16.8,16.4,14.4,9.5
BES OTHER,1.4,4.0,9.2,12.8,0.0,0.0,0.0,0.0,0.0
PEL OTHER,1.8,2.9,3.2,3.1,0.0,0.0,0.0,0.0,0.0
PEM OTHER,2.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PES OTHER,1.6,2.3,2.4,1.6,0.0,0.0,0.0,0.0,0.0
