#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.0006,0.0068,0.0196,0.0378,0.0531,0.0676,0.0813,0.0940,0.1065
CICA,0.0006,0.0065,0.0211,0.0430,0.0643,0.0851,0.1038,0.1239,0.1431
ERJA,0.0011,0.0063,0.0161,0.0295,0.0295,0.0295,0.0295,0.0295,0.0295
JUSI,0.0005,0.0044,0.0147,0.0307,0.0458,0.0608,0.0742,0.0742,0.0742
KOELFO,0.0012,0.0083,0.0229,0.0439,0.0636,0.0810,0.0975,0.1143,0.1143
LAIN,0.0005,0.0032,0.0093,0.0179,0.0259,0.0259,0.0259,0.0259,0.0259
LIST,0.0006,0.0060,0.0200,0.0435,0.0640,0.0844,0.1028,0.1228,0.1416
MAGR,0.0000,0.0035,0.0148,0.0349,0.0540,0.0739,0.0938,0.1134,0.1331
PIEL2,0.0006,0.0053,0.0168,0.0346,0.0482,0.0608,0.0709,0.0803,0.0897
PLOC,0.0006,0.0074,0.0268,0.0594,0.0909,0.1237,0.1551,0.1879,0.2187
PRCA,0.0007,0.0081,0.0228,0.0434,0.0625,0.0798,0.0798,0.0798,0.0798
QULA2,0.0006,0.0079,0.0258,0.0543,0.0806,0.1060,0.1330,0.1572,0.1841
QUSH,0.0005,0.0072,0.0251,0.0537,0.0806,0.1066,0.1341,0.0531,0.0531
QUVI,0.0005,0.0072,0.0278,0.0631,0.0973,0.1338,0.1681,0.2052,0.2397
SAPA,0.0016,0.0067,0.0102,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105
SYRO,0.0040,0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
THOR,0.0000,0.0013,0.0052,0.0116,0.0175,0.0175,0.0175,0.0175,0.0175
TRSE6,0.0012,0.0082,0.0199,0.0348,0.0458,0.0565,0.0565,0.0565,0.0565
ULPA,0.0006,0.0109,0.0380,0.0800,0.1213,0.1625,0.2058,0.2058,0.2058
WARO,0.0007,0.0080,0.0091,0.0090,0.0089,0.0087,0.0086,0.0084,0.0083
BDL OTHER,0.0006,0.0079,0.0258,0.0543,0.0806,0.1060,0.1330,0.1572,0.1841
BDM OTHER,0.0006,0.0109,0.0380,0.0800,0.1213,0.1625,0.2058,0.2058,0.2058
BDS OTHER,0.0005,0.0032,0.0093,0.0179,0.0259,0.0259,0.0259,0.0259,0.0259
CEL OTHER,0.0006,0.0053,0.0168,0.0346,0.0482,0.0608,0.0709,0.0803,0.0897
CEM OTHER,0.0005,0.0044,0.0147,0.0307,0.0458,0.0608,0.0742,0.0742,0.0742
CES OTHER,0.0000,0.0013,0.0052,0.0116,0.0175,0.0175,0.0175,0.0175,0.0175
BEL OTHER,0.0000,0.0035,0.0148,0.0349,0.0540,0.0739,0.0938,0.1134,0.1331
BEM OTHER,0.0006,0.0065,0.0211,0.0430,0.0643,0.0851,0.1038,0.1239,0.1431
BES OTHER,0.0011,0.0063,0.0161,0.0295,0.0295,0.0295,0.0295,0.0295,0.0295
PEL OTHER,0.0040,0.0250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0016,0.0067,0.0102,0.0105,0.0105,0.0105,0.0105,0.0105,0.0105
PES OTHER,0.0007,0.0080,0.0091,0.0090,0.0089,0.0087,0.0086,0.0084,0.0083
