#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.0012,0.0128,0.0382,0.0739,0.1030,0.1305,0.1564,0.1798,0.2026
CICA,0.0011,0.0122,0.0405,0.0829,0.1216,0.1593,0.1925,0.2279,0.2627
ERJA,0.0019,0.0106,0.0294,0.0564,0.0564,0.0564,0.0564,0.0564,0.0564
JUSI,0.0008,0.0087,0.0286,0.0602,0.0888,0.1163,0.1416,0.1416,0.1416
KOELFO,0.0020,0.0155,0.0432,0.0816,0.1172,0.1502,0.1801,0.2089,0.2089
LAIN,0.0008,0.0060,0.0167,0.0327,0.0478,0.0478,0.0478,0.0478,0.0478
LIST,0.0010,0.0115,0.0398,0.0853,0.1231,0.1589,0.1900,0.2224,0.2552
MAGR,0.0003,0.0071,0.0280,0.0665,0.1027,0.1401,0.1761,0.2112,0.2459
PIEL2,0.0010,0.0102,0.0341,0.0694,0.0940,0.1139,0.1291,0.1417,0.1538
PLOC,0.0009,0.0152,0.0541,0.1154,0.1743,0.2311,0.2878,0.3415,0.3934
PRCA,0.0015,0.0155,0.0442,0.0840,0.1192,0.1518,0.1518,0.1518,0.1518
QULA2,0.0012,0.0152,0.0495,0.1010,0.1495,0.1941,0.2400,0.2833,0.3259
QUSH,0.0011,0.0140,0.0482,0.1010,0.1508,0.1973,0.2446,0.0997,0.0997
QUVI,0.0008,0.0140,0.0540,0.1196,0.1829,0.2473,0.3083,0.3685,0.4273
SAPA,0.0026,0.0117,0.0193,0.0203,0.0203,0.0203,0.0203,0.0203,0.0203
SYRO,0.0067,0.0470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
THOR,0.0003,0.0030,0.0091,0.0207,0.0324,0.0324,0.0324,0.0324,0.0324
TRSE6,0.0022,0.0156,0.0388,0.0679,0.0894,0.1080,0.1080,0.1080,0.1080
ULPA,0.0013,0.0207,0.0701,0.1480,0.2216,0.2955,0.3676,0.3676,0.3676
WARO,0.0014,0.0151,0.0177,0.0174,0.0171,0.0166,0.0162,0.0157,0.0155
BDL OTHER,0.0012,0.0152,0.0495,0.1010,0.1495,0.1941,0.2400,0.2833,0.3259
BDM OTHER,0.0013,0.0207,0.0701,0.1480,0.2216,0.2955,0.3676,0.3676,0.3676
BDS OTHER,0.0008,0.0060,0.0167,0.0327,0.0478,0.0478,0.0478,0.0478,0.0478
CEL OTHER,0.0010,0.0102,0.0341,0.0694,0.0940,0.1139,0.1291,0.1417,0.1538
CEM OTHER,0.0008,0.0087,0.0286,0.0602,0.0888,0.1163,0.1416,0.1416,0.1416
CES OTHER,0.0003,0.0030,0.0091,0.0207,0.0324,0.0324,0.0324,0.0324,0.0324
BEL OTHER,0.0003,0.0071,0.0280,0.0665,0.1027,0.1401,0.1761,0.2112,0.2459
BEM OTHER,0.0011,0.0122,0.0405,0.0829,0.1216,0.1593,0.1925,0.2279,0.2627
BES OTHER,0.0019,0.0106,0.0294,0.0564,0.0564,0.0564,0.0564,0.0564,0.0564
PEL OTHER,0.0067,0.0470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0026,0.0117,0.0193,0.0203,0.0203,0.0203,0.0203,0.0203,0.0203
PES OTHER,0.0014,0.0151,0.0177,0.0174,0.0171,0.0166,0.0162,0.0157,0.0155
