#VALUE!,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.0003,0.0030,0.0086,0.0166,0.0233,0.0297,0.0357,0.0412,0.0467
CICA,0.0002,0.0029,0.0093,0.0189,0.0282,0.0373,0.0455,0.0544,0.0628
ERJA,0.0005,0.0028,0.0071,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129
JUSI,0.0002,0.0019,0.0065,0.0135,0.0201,0.0267,0.0326,0.0326,0.0326
KOELFO,0.0005,0.0037,0.0101,0.0193,0.0279,0.0355,0.0428,0.0502,0.0502
LAIN,0.0002,0.0014,0.0041,0.0079,0.0114,0.0114,0.0114,0.0114,0.0114
LIST,0.0003,0.0026,0.0088,0.0191,0.0281,0.0370,0.0451,0.0539,0.0621
MAGR,0.0000,0.0015,0.0065,0.0153,0.0237,0.0324,0.0411,0.0497,0.0584
PIEL2,0.0003,0.0023,0.0074,0.0152,0.0212,0.0267,0.0312,0.0353,0.0394
PLOC,0.0002,0.0033,0.0118,0.0261,0.0399,0.0543,0.0680,0.0824,0.0959
PRCA,0.0003,0.0036,0.0100,0.0191,0.0274,0.0350,0.0350,0.0350,0.0350
QULA2,0.0003,0.0035,0.0113,0.0238,0.0354,0.0465,0.0583,0.0689,0.0807
QUSH,0.0002,0.0032,0.0110,0.0236,0.0354,0.0468,0.0588,0.0233,0.0233
QUVI,0.0002,0.0032,0.0122,0.0277,0.0427,0.0587,0.0737,0.0900,0.1050
SAPA,0.0007,0.0029,0.0045,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046
SYRO,0.0018,0.0110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
THOR,0.0000,0.0006,0.0023,0.0051,0.0077,0.0077,0.0077,0.0077,0.0077
TRSE6,0.0005,0.0036,0.0087,0.0153,0.0201,0.0248,0.0248,0.0248,0.0248
ULPA,0.0003,0.0048,0.0167,0.0351,0.0532,0.0713,0.0902,0.0902,0.0902
WARO,0.0003,0.0035,0.0040,0.0040,0.0039,0.0038,0.0038,0.0037,0.0037
BDL OTHER,0.0003,0.0035,0.0113,0.0238,0.0354,0.0465,0.0583,0.0689,0.0807
BDM OTHER,0.0003,0.0048,0.0167,0.0351,0.0532,0.0713,0.0902,0.0902,0.0902
BDS OTHER,0.0002,0.0014,0.0041,0.0079,0.0114,0.0114,0.0114,0.0114,0.0114
CEL OTHER,0.0003,0.0023,0.0074,0.0152,0.0212,0.0267,0.0312,0.0353,0.0394
CEM OTHER,0.0002,0.0019,0.0065,0.0135,0.0201,0.0267,0.0326,0.0326,0.0326
CES OTHER,0.0000,0.0006,0.0023,0.0051,0.0077,0.0077,0.0077,0.0077,0.0077
BEL OTHER,0.0000,0.0015,0.0065,0.0153,0.0237,0.0324,0.0411,0.0497,0.0584
BEM OTHER,0.0002,0.0029,0.0093,0.0189,0.0282,0.0373,0.0455,0.0544,0.0628
BES OTHER,0.0005,0.0028,0.0071,0.0129,0.0129,0.0129,0.0129,0.0129,0.0129
PEL OTHER,0.0018,0.0110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PEM OTHER,0.0007,0.0029,0.0045,0.0046,0.0046,0.0046,0.0046,0.0046,0.0046
PES OTHER,0.0003,0.0035,0.0040,0.0040,0.0039,0.0038,0.0038,0.0037,0.0037
