,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.0053,0.0396,0.0998,0.1758,0.2273,0.2864,0.3412,0.3412,0.3412
BUCA,0.0109,0.0334,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345
CAIL,0.0023,0.0228,0.0828,0.2067,0.3159,0.4415,0.5588,0.6709,0.6709
CELA,0.0019,0.0256,0.0753,0.1626,0.2285,0.3027,0.3692,0.4340,0.4953
COFL,0.0042,0.0300,0.0699,0.1179,0.1179,0.1179,0.1179,0.1179,0.1179
GLTR,0.0071,0.0454,0.1056,0.1776,0.1776,0.1776,0.1776,0.1776,0.1776
ILOP,0.0013,0.0161,0.0475,0.1005,0.1346,0.1346,0.1346,0.1346,0.1346
JUVI,0.0016,0.0151,0.0406,0.0840,0.1107,0.1421,0.1720,0.1989,0.1989
LAIN,0.0042,0.0234,0.0483,0.0822,0.1013,0.1013,0.1013,0.1013,0.1013
LIST,0.0017,0.0215,0.0660,0.1352,0.1833,0.2379,0.2897,0.2897,0.2897
MAGR,0.0012,0.0160,0.0533,0.1184,0.1639,0.2175,0.2687,0.2687,0.2687
PHCA,0.0076,0.0434,0.1079,0.1913,0.1912,0.1871,0.1839,0.1839,0.1839
PICO5,0.0020,0.0130,0.0382,0.0885,0.0885,0.0885,0.0885,0.0885,0.0885
PITA,0.0013,0.0206,0.0669,0.1429,0.1963,0.2594,0.3189,0.3751,0.4277
PLOC,0.0045,0.0420,0.1138,0.2152,0.2882,0.3616,0.4308,0.4928,0.5513
PYCA,0.0009,0.0176,0.0715,0.1748,0.2597,0.3573,0.3573,0.3573,0.3573
QULA2,0.0018,0.0246,0.0821,0.1801,0.2555,0.3388,0.4173,0.4928,0.5649
QUNI,0.0051,0.0433,0.1077,0.1978,0.2611,0.3257,0.3853,0.4395,0.4893
QUPH,0.0019,0.0196,0.0694,0.1744,0.2634,0.3648,0.4584,0.5366,0.6009
QUVI,0.0021,0.0280,0.0889,0.1918,0.2717,0.3563,0.4373,0.5138,0.5893
SAPA,0.0032,0.0378,0.0478,0.0474,0.0452,0.0438,0.0438,0.0438,0.0438
BDL OTHER,0.0023,0.0228,0.0828,0.2067,0.3159,0.4415,0.5588,0.6709,0.6709
BDM OTHER,0.0009,0.0176,0.0715,0.1748,0.2597,0.3573,0.3573,0.3573,0.3573
BDS OTHER,0.0042,0.0234,0.0483,0.0822,0.1013,0.1013,0.1013,0.1013,0.1013
CEL OTHER,0.0013,0.0206,0.0669,0.1429,0.1963,0.2594,0.3189,0.3751,0.4277
CEM OTHER,0.0016,0.0151,0.0406,0.0840,0.1107,0.1421,0.1720,0.1989,0.1989
CES OTHER,0.0020,0.0130,0.0382,0.0885,0.0885,0.0885,0.0885,0.0885,0.0885
BEL OTHER,0.0021,0.0280,0.0889,0.1918,0.2717,0.3563,0.4373,0.5138,0.5893
BEM OTHER,0.0012,0.0160,0.0533,0.1184,0.1639,0.2175,0.2687,0.2687,0.2687
BES OTHER,0.0013,0.0161,0.0475,0.1005,0.1346,0.1346,0.1346,0.1346,0.1346
PEL OTHER,0.0076,0.0434,0.1079,0.1913,0.1912,0.1871,0.1839,0.1839,0.1839
PEM OTHER,0.0032,0.0378,0.0478,0.0474,0.0452,0.0438,0.0438,0.0438,0.0438
PES OTHER,0.0109,0.0334,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345,0.0345
