,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.004,0.039,0.118,0.238,0.360,0.482,0.600,0.600,0.600
BUCA,0.020,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053
CAIL,0.003,0.026,0.098,0.245,0.431,0.637,0.843,1.037,1.037
CELA,0.003,0.029,0.096,0.202,0.316,0.432,0.547,0.661,0.774
COFL,0.006,0.035,0.086,0.150,0.150,0.150,0.150,0.150,0.150
GLTR,0.010,0.057,0.136,0.235,0.235,0.235,0.235,0.235,0.235
ILOP,0.003,0.024,0.070,0.140,0.210,0.210,0.210,0.210,0.210
JUVI,0.003,0.023,0.063,0.120,0.175,0.229,0.280,0.329,0.329
LAIN,0.006,0.028,0.059,0.094,0.124,0.124,0.124,0.124,0.124
LIST,0.002,0.025,0.080,0.164,0.251,0.339,0.426,0.426,0.426
MAGR,0.002,0.026,0.084,0.174,0.269,0.364,0.459,0.459,0.459
PHCA,0.014,0.073,0.177,0.323,0.323,0.323,0.323,0.323,0.323
PICO5,0.004,0.019,0.060,0.141,0.141,0.141,0.141,0.141,0.141
PITA,0.003,0.030,0.097,0.205,0.320,0.437,0.553,0.668,0.782
PLOC,0.006,0.052,0.144,0.274,0.401,0.524,0.642,0.755,0.865
PYCA,0.001,0.021,0.085,0.203,0.341,0.489,0.489,0.489,0.489
QULA2,0.003,0.034,0.117,0.253,0.400,0.551,0.703,0.855,1.005
QUNI,0.008,0.057,0.152,0.282,0.406,0.524,0.637,0.744,0.846
QUPH,0.003,0.024,0.087,0.217,0.377,0.550,0.718,0.867,0.987
QUVI,0.004,0.043,0.142,0.301,0.469,0.641,0.812,0.981,1.148
SAPA,0.006,0.060,0.072,0.072,0.072,0.072,0.072,0.072,0.072
BDL OTHER,0.003,0.026,0.098,0.245,0.431,0.637,0.843,1.037,1.037
BDM OTHER,0.001,0.021,0.085,0.203,0.341,0.489,0.489,0.489,0.489
BDS OTHER,0.006,0.028,0.059,0.094,0.124,0.124,0.124,0.124,0.124
CEL OTHER,0.003,0.030,0.097,0.205,0.320,0.437,0.553,0.668,0.782
CEM OTHER,0.003,0.023,0.063,0.120,0.175,0.229,0.280,0.329,0.329
CES OTHER,0.004,0.019,0.060,0.141,0.141,0.141,0.141,0.141,0.141
BEL OTHER,0.004,0.043,0.142,0.301,0.469,0.641,0.812,0.981,1.148
BEM OTHER,0.002,0.026,0.084,0.174,0.269,0.364,0.459,0.459,0.459
BES OTHER,0.003,0.024,0.070,0.140,0.210,0.210,0.210,0.210,0.210
PEL OTHER,0.014,0.073,0.177,0.323,0.323,0.323,0.323,0.323,0.323
PEM OTHER,0.006,0.060,0.072,0.072,0.072,0.072,0.072,0.072,0.072
PES OTHER,0.020,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053
