,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.001,0.014,0.041,0.083,0.126,0.168,0.209,0.209,0.209
BUCA,0.009,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
CAIL,0.001,0.009,0.034,0.085,0.150,0.221,0.293,0.360,0.360
CELA,0.001,0.010,0.033,0.071,0.111,0.151,0.191,0.231,0.270
COFL,0.002,0.013,0.030,0.053,0.053,0.053,0.053,0.053,0.053
GLTR,0.003,0.020,0.048,0.084,0.084,0.084,0.084,0.084,0.084
ILOP,0.001,0.011,0.033,0.065,0.098,0.098,0.098,0.098,0.098
JUVI,0.001,0.011,0.029,0.056,0.081,0.106,0.130,0.153,0.153
LAIN,0.002,0.010,0.021,0.033,0.044,0.044,0.044,0.044,0.044
LIST,0.001,0.009,0.028,0.058,0.090,0.121,0.152,0.152,0.152
MAGR,0.001,0.012,0.039,0.081,0.125,0.169,0.213,0.213,0.213
PHCA,0.006,0.034,0.082,0.150,0.150,0.150,0.150,0.150,0.150
PICO5,0.002,0.009,0.028,0.065,0.065,0.065,0.065,0.065,0.065
PITA,0.001,0.014,0.045,0.095,0.149,0.203,0.257,0.311,0.364
PLOC,0.002,0.018,0.051,0.097,0.142,0.186,0.228,0.268,0.307
PYCA,0.000,0.008,0.030,0.072,0.121,0.174,0.174,0.174,0.174
QULA2,0.001,0.013,0.043,0.093,0.148,0.204,0.260,0.316,0.371
QUNI,0.003,0.021,0.056,0.104,0.150,0.194,0.235,0.275,0.313
QUPH,0.001,0.008,0.031,0.076,0.132,0.192,0.251,0.303,0.345
QUVI,0.002,0.020,0.066,0.140,0.218,0.298,0.377,0.456,0.534
SAPA,0.003,0.028,0.034,0.034,0.034,0.034,0.034,0.034,0.034
BDL OTHER,0.001,0.009,0.034,0.085,0.150,0.221,0.293,0.360,0.360
BDM OTHER,0.000,0.008,0.030,0.072,0.121,0.174,0.174,0.174,0.174
BDS OTHER,0.002,0.010,0.021,0.033,0.044,0.044,0.044,0.044,0.044
CEL OTHER,0.001,0.014,0.045,0.095,0.149,0.203,0.257,0.311,0.364
CEM OTHER,0.001,0.011,0.029,0.056,0.081,0.106,0.130,0.153,0.153
CES OTHER,0.002,0.009,0.028,0.065,0.065,0.065,0.065,0.065,0.065
BEL OTHER,0.002,0.020,0.066,0.140,0.218,0.298,0.377,0.456,0.534
BEM OTHER,0.001,0.012,0.039,0.081,0.125,0.169,0.213,0.213,0.213
BES OTHER,0.001,0.011,0.033,0.065,0.098,0.098,0.098,0.098,0.098
PEL OTHER,0.006,0.034,0.082,0.150,0.150,0.150,0.150,0.150,0.150
PEM OTHER,0.003,0.028,0.034,0.034,0.034,0.034,0.034,0.034,0.034
PES OTHER,0.009,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
