,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.000,0.003,0.008,0.016,0.024,0.032,0.040,0.040,0.040
BUCA,0.002,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
CAIL,0.000,0.001,0.005,0.013,0.022,0.033,0.043,0.053,0.053
CELA,0.000,0.002,0.006,0.013,0.021,0.029,0.036,0.044,0.052
COFL,0.000,0.002,0.005,0.008,0.008,0.008,0.008,0.008,0.008
GLTR,0.001,0.003,0.008,0.013,0.013,0.013,0.013,0.013,0.013
ILOP,0.000,0.003,0.008,0.017,0.025,0.025,0.025,0.025,0.025
JUVI,0.000,0.003,0.007,0.014,0.021,0.027,0.033,0.039,0.039
LAIN,0.000,0.002,0.003,0.005,0.007,0.007,0.007,0.007,0.007
LIST,0.000,0.002,0.005,0.010,0.015,0.021,0.026,0.026,0.026
MAGR,0.000,0.003,0.010,0.021,0.032,0.043,0.054,0.054,0.054
PHCA,0.002,0.009,0.021,0.038,0.038,0.038,0.038,0.038,0.038
PICO5,0.000,0.002,0.007,0.017,0.017,0.017,0.017,0.017,0.017
PITA,0.000,0.004,0.012,0.024,0.038,0.052,0.065,0.079,0.093
PLOC,0.000,0.003,0.008,0.016,0.023,0.030,0.037,0.043,0.049
PYCA,0.000,0.001,0.005,0.011,0.019,0.028,0.028,0.028,0.028
QULA2,0.000,0.003,0.010,0.022,0.034,0.047,0.060,0.073,0.086
QUNI,0.001,0.005,0.013,0.024,0.035,0.045,0.054,0.063,0.072
QUPH,0.000,0.002,0.006,0.014,0.025,0.037,0.048,0.058,0.066
QUVI,0.000,0.005,0.017,0.036,0.056,0.076,0.096,0.116,0.136
SAPA,0.001,0.007,0.009,0.009,0.009,0.009,0.009,0.009,0.009
BDL OTHER,0.000,0.001,0.005,0.013,0.022,0.033,0.043,0.053,0.053
BDM OTHER,0.000,0.001,0.005,0.011,0.019,0.028,0.028,0.028,0.028
BDS OTHER,0.000,0.002,0.003,0.005,0.007,0.007,0.007,0.007,0.007
CEL OTHER,0.000,0.004,0.012,0.024,0.038,0.052,0.065,0.079,0.093
CEM OTHER,0.000,0.003,0.007,0.014,0.021,0.027,0.033,0.039,0.039
CES OTHER,0.000,0.002,0.007,0.017,0.017,0.017,0.017,0.017,0.017
BEL OTHER,0.000,0.005,0.017,0.036,0.056,0.076,0.096,0.116,0.136
BEM OTHER,0.000,0.003,0.010,0.021,0.032,0.043,0.054,0.054,0.054
BES OTHER,0.000,0.003,0.008,0.017,0.025,0.025,0.025,0.025,0.025
PEL OTHER,0.002,0.009,0.021,0.038,0.038,0.038,0.038,0.038,0.038
PEM OTHER,0.001,0.007,0.009,0.009,0.009,0.009,0.009,0.009,0.009
PES OTHER,0.002,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006
