,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.000,-0.005,-0.022,-0.063,-0.127,-0.213,-0.320,-0.320,-0.320
BUCA,-0.076,-0.145,-0.145,-0.145,-0.145,-0.145,-0.145,-0.145,-0.145
CAIL,0.000,-0.002,-0.010,-0.033,-0.068,-0.115,-0.174,-0.246,-0.246
CELA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
COFL,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GLTR,-0.002,-0.013,-0.047,-0.123,-0.123,-0.123,-0.123,-0.123,-0.123
ILOP,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
JUVI,-0.002,-0.007,-0.016,-0.029,-0.045,-0.063,-0.084,-0.106,-0.106
LAIN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIST,-0.028,-0.084,-0.168,-0.878,-2.478,-4.790,-7.816,-7.816,-7.816
MAGR,-0.029,-0.095,-0.210,-0.397,-0.621,-0.882,-1.180,-1.180,-1.180
PHCA,-0.041,-0.238,-0.436,-0.436,-0.436,-0.436,-0.436,-0.436,-0.436
PICO5,-0.007,-0.072,-0.283,-0.732,-0.732,-0.732,-0.732,-0.732,-0.732
PITA,-0.005,-0.007,-0.183,-0.680,-1.477,-2.574,-3.972,-5.669,-7.667
PLOC,-0.001,-0.004,-0.094,-0.380,-0.845,-1.489,-2.312,-3.314,-4.494
PYCA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
QULA2,-0.002,-0.019,-0.078,-0.218,-0.429,-0.711,-1.064,-1.487,-1.981
QUNI,-0.033,-0.123,-0.315,-0.676,-1.160,-1.765,-2.491,-3.340,-4.309
QUPH,-0.001,-0.022,-0.139,-0.444,-0.919,-1.563,-2.377,-3.361,-4.515
QUVI,-0.029,-0.125,-0.370,-0.883,-1.608,-2.546,-3.696,-5.058,-6.633
SAPA,-0.034,-0.151,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209
BDL OTHER,0.000,-0.002,-0.010,-0.033,-0.068,-0.115,-0.174,-0.246,-0.246
BDM OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDS OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CEL OTHER,-0.005,-0.007,-0.183,-0.680,-1.477,-2.574,-3.972,-5.669,-7.667
CEM OTHER,-0.002,-0.007,-0.016,-0.029,-0.045,-0.063,-0.084,-0.106,-0.106
CES OTHER,-0.007,-0.072,-0.283,-0.732,-0.732,-0.732,-0.732,-0.732,-0.732
BEL OTHER,-0.029,-0.125,-0.370,-0.883,-1.608,-2.546,-3.696,-5.058,-6.633
BEM OTHER,-0.029,-0.095,-0.210,-0.397,-0.621,-0.882,-1.180,-1.180,-1.180
BES OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PEL OTHER,-0.041,-0.238,-0.436,-0.436,-0.436,-0.436,-0.436,-0.436,-0.436
PEM OTHER,-0.034,-0.151,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209,-0.209
PES OTHER,-0.076,-0.145,-0.145,-0.145,-0.145,-0.145,-0.145,-0.145,-0.145
