,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,2.9,20.7,51.5,90.3,116.4,147.1,175.9,175.9,175.9
BUCA,5.3,17.2,18.0,18.0,18.0,18.0,18.0,18.0,18.0
CAIL,1.1,11.7,42.6,107.3,164.7,231.9,295.7,357.1,357.1
CELA,0.9,13.3,39.0,84.5,118.8,158.1,193.5,228.2,261.3
COFL,2.1,15.5,35.6,60.2,60.2,60.2,60.2,60.2,60.2
GLTR,3.5,23.1,53.8,91.1,91.1,91.1,91.1,91.1,91.1
ILOP,0.6,8.7,25.5,53.6,71.4,71.4,71.4,71.4,71.4
JUVI,0.8,8.0,21.7,44.7,58.3,74.6,90.2,104.1,104.1
LAIN,2.0,12.0,24.5,42.0,51.7,51.7,51.7,51.7,51.7
LIST,0.8,11.4,34.1,69.9,94.4,122.9,150.2,150.2,150.2
MAGR,0.6,8.6,28.2,62.5,86.1,114.3,141.2,141.2,141.2
PHCA,3.7,22.4,56.2,99.4,98.5,95.5,93.4,93.4,93.4
PICO5,1.0,6.9,20.1,46.5,46.5,46.5,46.5,46.5,46.5
PITA,0.7,11.2,35.2,74.7,101.9,135.0,166.3,196.0,224.1
PLOC,2.3,22.2,58.9,112.0,150.3,189.4,226.5,260.0,291.9
PYCA,0.5,9.1,36.8,90.6,134.9,186.8,186.8,186.8,186.8
QULA2,0.9,12.9,42.0,93.0,132.2,176.3,218.2,258.9,298.0
QUNI,2.6,22.4,55.3,102.2,135.2,169.3,201.0,230.1,257.0
QUPH,1.0,10.2,35.6,90.1,136.3,190.1,240.3,282.7,317.8
QUVI,1.1,14.7,46.7,101.2,143.9,189.5,233.5,275.4,317.1
SAPA,1.5,19.7,25.0,24.2,22.7,21.8,21.8,21.8,21.8
BDL OTHER,1.1,11.7,42.6,107.3,164.7,231.9,295.7,357.1,357.1
BDM OTHER,0.5,9.1,36.8,90.6,134.9,186.8,186.8,186.8,186.8
BDS OTHER,2.0,12.0,24.5,42.0,51.7,51.7,51.7,51.7,51.7
CEL OTHER,0.7,11.2,35.2,74.7,101.9,135.0,166.3,196.0,224.1
CEM OTHER,0.8,8.0,21.7,44.7,58.3,74.6,90.2,104.1,104.1
CES OTHER,1.0,6.9,20.1,46.5,46.5,46.5,46.5,46.5,46.5
BEL OTHER,1.1,14.7,46.7,101.2,143.9,189.5,233.5,275.4,317.1
BEM OTHER,0.6,8.6,28.2,62.5,86.1,114.3,141.2,141.2,141.2
BES OTHER,0.6,8.7,25.5,53.6,71.4,71.4,71.4,71.4,71.4
PEL OTHER,3.7,22.4,56.2,99.4,98.5,95.5,93.4,93.4,93.4
PEM OTHER,1.5,19.7,25.0,24.2,22.7,21.8,21.8,21.8,21.8
PES OTHER,5.3,17.2,18.0,18.0,18.0,18.0,18.0,18.0,18.0
