,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
ACRU,7.6,99.1,499.2,1643.9,3603.9,6477.3,10344.4,10344.4,10344.4,,,,
BUCA,30.5,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,,,,
CAIL,3.9,71.3,423.3,1673.2,4069.9,7847.9,13203.8,20309.2,20309.2,,,,
CELA,1.1,25.9,162.9,601.9,1398.1,2602.4,4254.7,6388.3,9031.4,,,,
COFL,6.3,80.6,411.8,1377.6,1377.6,1377.6,1377.6,1377.6,1377.6,,,,
GLTR,6.3,80.6,411.8,1377.6,1377.6,1377.6,1377.6,1377.6,1377.6,,,,
ILOP,6.3,80.6,411.8,1377.6,3058.4,3058.4,3058.4,3058.4,3058.4,,,,
JUVI,1.5,28.5,173.0,635.5,1481.7,2775.5,4569.5,6909.1,6909.1,,,,
LAIN,1.6,26.2,144.9,500.1,1122.0,1122.0,1122.0,1122.0,1122.0,,,,
LIST,1.7,33.7,206.7,769.2,1812.8,3425.9,5683.2,5683.2,5683.2,,,,
MAGR,1.2,30.7,203.5,780.7,1858.5,3523.0,5844.1,5844.1,5844.1,,,,
PHCA,43.9,81.8,151.1,211.8,264.1,307.9,343.1,343.1,343.1,,,,
PICO5,1.6,27.5,177.0,703.9,703.9,703.9,703.9,703.9,703.9,,,,
PITA,1.5,34.7,226.0,867.7,2076.9,3962.2,6614.4,10112.6,14527.5,,,,
PLOC,1.8,37.3,238.5,919.9,2223.2,4284.6,7222.6,11143.5,16145.1,,,,
PYCA,6.3,80.6,411.8,1377.6,3058.4,5554.2,5554.2,5554.2,5554.2,,,,
QULA2,5.7,84.6,464.8,1630.6,3727.6,6912.2,11317.7,17062.1,24251.6,,,,
QUNI,5.7,84.6,464.8,1630.6,3727.6,6912.2,11317.7,17062.1,24251.6,,,,
QUPH,5.7,84.6,464.8,1630.6,3727.6,6912.2,11317.7,17062.1,24251.6,,,,
QUVI,5.7,84.6,464.8,1630.6,3727.6,6912.2,11317.7,17062.1,24251.6,,,,
SAPA,32.7,59.4,122.4,184.1,184.1,184.1,184.1,184.1,184.1,,,,
BDL OTHER,3.9,71.3,423.3,1673.2,4069.9,7847.9,13203.8,20309.2,20309.2,,,,
BDM OTHER,6.3,80.6,411.8,1377.6,3058.4,5554.2,5554.2,5554.2,5554.2,,,,
BDS OTHER,1.6,26.2,144.9,500.1,1122.0,1122.0,1122.0,1122.0,1122.0,,,,
CEL OTHER,1.5,34.7,226.0,867.7,2076.9,3962.2,6614.4,10112.6,14527.5,,,,
CEM OTHER,1.5,28.5,173.0,635.5,1481.7,2775.5,4569.5,6909.1,6909.1,,,,
CES OTHER,1.6,27.5,177.0,703.9,703.9,703.9,703.9,703.9,703.9,,,,
BEL OTHER,5.7,84.6,464.8,1630.6,3727.6,6912.2,11317.7,17062.1,24251.6,,,,
BEM OTHER,1.2,30.7,203.5,780.7,1858.5,3523.0,5844.1,5844.1,5844.1,,,,
BES OTHER,6.3,80.6,411.8,1377.6,3058.4,3058.4,3058.4,3058.4,3058.4,,,,
PEL OTHER,43.9,81.8,151.1,211.8,264.1,307.9,343.1,343.1,343.1,,,,
PEM OTHER,32.7,59.4,122.4,184.1,184.1,184.1,184.1,184.1,184.1,,,,
PES OTHER,30.5,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,,,,
