,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,4.7,33.4,83.0,145.6,187.5,237.0,283.4,283.4,283.4
BUCA,8.6,27.7,29.0,29.0,29.0,29.0,29.0,29.0,29.0
CAIL,1.8,18.8,68.7,172.9,265.3,373.7,476.4,575.4,575.4
CELA,1.5,21.4,62.8,136.1,191.4,254.7,311.8,367.8,421.1
COFL,3.3,25.0,57.3,96.9,96.9,96.9,96.9,96.9,96.9
GLTR,5.7,37.2,86.7,146.8,146.8,146.8,146.8,146.8,146.8
ILOP,1.0,14.1,41.0,86.4,115.1,115.1,115.1,115.1,115.1
JUVI,1.3,13.0,35.0,72.1,94.0,120.3,145.3,167.8,167.8
LAIN,3.3,19.4,39.5,67.7,83.2,83.2,83.2,83.2,83.2
LIST,1.3,18.4,55.0,112.7,152.2,198.0,241.9,241.9,241.9
MAGR,0.9,13.9,45.4,100.8,138.7,184.1,227.6,227.6,227.6
PHCA,6.0,36.1,90.6,160.2,158.7,154.0,150.5,150.5,150.5
PICO5,1.6,11.0,32.3,74.9,74.9,74.9,74.9,74.9,74.9
PITA,1.1,18.1,56.7,120.3,164.2,217.5,268.0,315.8,361.0
PLOC,3.7,35.7,94.9,180.5,242.2,305.2,365.0,418.9,470.3
PYCA,0.7,14.7,59.2,145.9,217.3,301.0,301.0,301.0,301.0
QULA2,1.5,20.8,67.7,149.8,213.0,284.0,351.6,417.1,480.2
QUNI,4.2,36.1,89.1,164.7,217.8,272.9,323.9,370.8,414.1
QUPH,1.6,16.4,57.4,145.2,219.6,306.3,387.3,455.5,512.0
QUVI,1.7,23.7,75.3,163.1,231.8,305.4,376.3,443.8,510.9
SAPA,2.5,31.8,40.2,39.0,36.7,35.2,35.2,35.2,35.2
BDL OTHER,1.8,18.8,68.7,172.9,265.3,373.7,476.4,575.4,575.4
BDM OTHER,0.7,14.7,59.2,145.9,217.3,301.0,301.0,301.0,301.0
BDS OTHER,3.3,19.4,39.5,67.7,83.2,83.2,83.2,83.2,83.2
CEL OTHER,1.1,18.1,56.7,120.3,164.2,217.5,268.0,315.8,361.0
CEM OTHER,1.3,13.0,35.0,72.1,94.0,120.3,145.3,167.8,167.8
CES OTHER,1.6,11.0,32.3,74.9,74.9,74.9,74.9,74.9,74.9
BEL OTHER,1.7,23.7,75.3,163.1,231.8,305.4,376.3,443.8,510.9
BEM OTHER,0.9,13.9,45.4,100.8,138.7,184.1,227.6,227.6,227.6
BES OTHER,1.0,14.1,41.0,86.4,115.1,115.1,115.1,115.1,115.1
PEL OTHER,6.0,36.1,90.6,160.2,158.7,154.0,150.5,150.5,150.5
PEM OTHER,2.5,31.8,40.2,39.0,36.7,35.2,35.2,35.2,35.2
PES OTHER,8.6,27.7,29.0,29.0,29.0,29.0,29.0,29.0,29.0
