,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.11,1.33,4.61,10.69,18.23,26.93,36.68,36.68,36.68
BUCA,1.12,2.55,2.56,2.56,2.56,2.56,2.56,2.56,2.56
CAIL,0.14,1.17,5.15,14.19,26.80,42.17,59.58,78.36,78.36
CELA,0.21,1.46,4.43,9.57,15.69,22.55,30.08,38.25,46.92
COFL,0.22,1.22,2.94,5.25,5.25,5.25,5.25,5.25,5.25
GLTR,0.35,2.08,5.40,10.48,10.48,10.48,10.48,10.48,10.48
ILOP,0.08,0.69,2.47,5.83,10.11,10.11,10.11,10.11,10.11
JUVI,0.24,1.17,2.88,5.41,8.11,10.95,13.92,17.02,17.02
LAIN,0.24,1.00,2.11,3.41,4.60,4.60,4.60,4.60,4.60
LIST,0.20,1.15,3.06,9.12,18.78,30.63,44.22,44.22,44.22
MAGR,0.33,1.82,4.83,9.58,14.90,20.67,26.84,26.84,26.84
PHCA,0.83,4.62,9.75,13.52,13.52,13.52,13.53,13.53,13.53
PICO5,0.20,1.44,5.13,12.70,12.70,12.70,12.70,12.70,12.70
PITA,0.09,0.74,3.51,9.28,16.92,26.09,36.58,48.40,61.38
PLOC,0.20,1.50,5.84,14.64,25.83,38.99,53.82,70.26,88.04
PYCA,0.12,1.16,4.21,10.15,17.62,26.30,26.30,26.30,26.30
QULA2,0.12,1.37,5.00,12.04,20.95,31.46,43.39,56.55,70.77
QUNI,0.51,2.74,7.16,14.14,22.05,30.76,40.27,50.38,61.06
QUPH,0.09,0.92,4.12,11.34,21.28,33.30,46.76,61.07,75.48
QUVI,0.30,2.13,6.65,14.87,25.03,36.76,49.92,64.35,80.04
SAPA,0.44,2.89,3.72,3.72,3.73,3.73,3.73,3.73,3.73
BDL OTHER,0.14,1.17,5.15,14.19,26.80,42.17,59.58,78.36,78.36
BDM OTHER,0.12,1.16,4.21,10.15,17.62,26.30,26.30,26.30,26.30
BDS OTHER,0.24,1.00,2.11,3.41,4.60,4.60,4.60,4.60,4.60
CEL OTHER,0.09,0.74,3.51,9.28,16.92,26.09,36.58,48.40,61.38
CEM OTHER,0.24,1.17,2.88,5.41,8.11,10.95,13.92,17.02,17.02
CES OTHER,0.20,1.44,5.13,12.70,12.70,12.70,12.70,12.70,12.70
BEL OTHER,0.30,2.13,6.65,14.87,25.03,36.76,49.92,64.35,80.04
BEM OTHER,0.33,1.82,4.83,9.58,14.90,20.67,26.84,26.84,26.84
BES OTHER,0.08,0.69,2.47,5.83,10.11,10.11,10.11,10.11,10.11
PEL OTHER,0.83,4.62,9.75,13.52,13.52,13.52,13.53,13.53,13.53
PEM OTHER,0.44,2.89,3.72,3.72,3.73,3.73,3.73,3.73,3.73
PES OTHER,1.12,2.55,2.56,2.56,2.56,2.56,2.56,2.56,2.56
