,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.9,54.8,172.2,334.3,468.6,577.2,665.0,665.0,665.0
BUCA,35.8,70.0,60.5,60.5,60.5,60.5,60.5,60.5,60.5
CAIL,5.9,47.2,160.3,353.1,523.1,648.1,731.7,785.8,785.8
CELA,5.3,42.0,139.5,273.2,387.7,482.0,559.5,622.3,672.7
COFL,12.6,56.1,156.9,255.0,255.0,255.0,255.0,255.0,255.0
GLTR,21.0,105.0,234.2,363.5,363.5,363.5,363.5,363.5,363.5
ILOP,4.0,13.7,52.0,113.9,172.6,172.6,172.6,172.6,172.6
JUVI,3.3,18.5,49.1,103.3,161.9,217.3,267.4,315.4,315.4
LAIN,14.0,47.4,110.3,170.5,218.9,218.9,218.9,218.9,218.9
LIST,4.4,23.4,115.8,232.2,337.0,426.2,502.4,502.4,502.4
MAGR,4.3,19.2,76.5,164.2,251.2,330.5,402.8,402.8,402.8
PHCA,25.0,90.2,186.8,336.9,372.9,402.2,420.0,420.0,420.0
PICO5,6.0,17.3,60.0,141.3,141.3,141.3,141.3,141.3,141.3
PITA,3.1,16.3,96.9,223.7,341.4,442.4,526.5,601.8,660.0
PLOC,11.1,59.0,205.0,352.8,465.9,551.8,618.0,668.6,708.3
PYCA,2.8,32.5,144.5,309.0,452.6,568.2,568.2,568.2,568.2
QULA2,5.5,40.5,169.9,329.6,463.9,571.2,655.8,721.4,772.2
QUNI,12.3,76.6,212.3,356.2,466.7,552.8,620.9,674.8,718.7
QUPH,5.5,34.0,138.9,312.8,473.4,600.1,690.5,752.0,792.8
QUVI,5.4,45.0,139.7,268.7,368.1,443.3,501.5,543.0,573.8
SAPA,11.7,65.4,79.3,102.0,113.2,119.7,119.7,119.7,119.7
BDL OTHER,5.9,47.2,160.3,353.1,523.1,648.1,731.7,785.8,785.8
BDM OTHER,2.8,32.5,144.5,309.0,452.6,568.2,568.2,568.2,568.2
BDS OTHER,14.0,47.4,110.3,170.5,218.9,218.9,218.9,218.9,218.9
CEL OTHER,3.1,16.3,96.9,223.7,341.4,442.4,526.5,601.8,660.0
CEM OTHER,3.3,18.5,49.1,103.3,161.9,217.3,267.4,315.4,315.4
CES OTHER,6.0,17.3,60.0,141.3,141.3,141.3,141.3,141.3,141.3
BEL OTHER,5.4,45.0,139.7,268.7,368.1,443.3,501.5,543.0,573.8
BEM OTHER,4.3,19.2,76.5,164.2,251.2,330.5,402.8,402.8,402.8
BES OTHER,4.0,13.7,52.0,113.9,172.6,172.6,172.6,172.6,172.6
PEL OTHER,25.0,90.2,186.8,336.9,372.9,402.2,420.0,420.0,420.0
PEM OTHER,11.7,65.4,79.3,102.0,113.2,119.7,119.7,119.7,119.7
PES OTHER,35.8,70.0,60.5,60.5,60.5,60.5,60.5,60.5,60.5
