,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,0.001,0.005,0.002,-0.022,-0.073,-0.144,-0.239,-0.239,-0.239
BUCA,-0.073,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137
CAIL,0.000,0.004,0.009,0.017,0.008,-0.008,-0.038,-0.082,-0.082
CELA,0.000,0.006,0.018,0.039,0.055,0.073,0.089,0.105,0.120
COFL,0.001,0.007,0.017,0.028,0.028,0.028,0.028,0.028,0.028
GLTR,-0.001,-0.003,-0.022,-0.081,-0.081,-0.081,-0.081,-0.081,-0.081
ILOP,0.000,0.004,0.012,0.025,0.033,0.033,0.033,0.033,0.033
JUVI,-0.002,-0.004,-0.006,-0.009,-0.018,-0.029,-0.042,-0.058,-0.058
LAIN,0.001,0.006,0.011,0.020,0.024,0.024,0.024,0.024,0.024
LIST,-0.028,-0.079,-0.152,-0.846,-2.434,-4.733,-7.747,-7.747,-7.747
MAGR,-0.029,-0.091,-0.197,-0.368,-0.581,-0.829,-1.115,-1.115,-1.115
PHCA,-0.039,-0.228,-0.410,-0.390,-0.390,-0.392,-0.393,-0.393,-0.393
PICO5,-0.007,-0.069,-0.274,-0.710,-0.710,-0.710,-0.710,-0.710,-0.710
PITA,-0.004,-0.002,-0.167,-0.645,-1.430,-2.512,-3.895,-5.579,-7.564
PLOC,0.000,0.006,-0.067,-0.328,-0.776,-1.402,-2.208,-3.194,-4.360
PYCA,0.000,0.004,0.017,0.042,0.062,0.086,0.086,0.086,0.086
QULA2,-0.002,-0.013,-0.058,-0.175,-0.368,-0.630,-0.963,-1.368,-1.844
QUNI,-0.032,-0.113,-0.289,-0.629,-1.097,-1.686,-2.398,-3.233,-4.191
QUPH,-0.001,-0.017,-0.123,-0.402,-0.856,-1.475,-2.267,-3.231,-4.368
QUVI,-0.028,-0.119,-0.349,-0.836,-1.542,-2.459,-3.589,-4.932,-6.488
SAPA,-0.033,-0.142,-0.197,-0.198,-0.198,-0.199,-0.199,-0.199,-0.199
BDL OTHER,0.000,0.004,0.009,0.017,0.008,-0.008,-0.038,-0.082,-0.082
BDM OTHER,0.000,0.004,0.017,0.042,0.062,0.086,0.086,0.086,0.086
BDS OTHER,0.001,0.006,0.011,0.020,0.024,0.024,0.024,0.024,0.024
CEL OTHER,-0.004,-0.002,-0.167,-0.645,-1.430,-2.512,-3.895,-5.579,-7.564
CEM OTHER,-0.002,-0.004,-0.006,-0.009,-0.018,-0.029,-0.042,-0.058,-0.058
CES OTHER,-0.007,-0.069,-0.274,-0.710,-0.710,-0.710,-0.710,-0.710,-0.710
BEL OTHER,-0.028,-0.119,-0.349,-0.836,-1.542,-2.459,-3.589,-4.932,-6.488
BEM OTHER,-0.029,-0.091,-0.197,-0.368,-0.581,-0.829,-1.115,-1.115,-1.115
BES OTHER,0.000,0.004,0.012,0.025,0.033,0.033,0.033,0.033,0.033
PEL OTHER,-0.039,-0.228,-0.410,-0.390,-0.390,-0.392,-0.393,-0.393,-0.393
PEM OTHER,-0.033,-0.142,-0.197,-0.198,-0.198,-0.199,-0.199,-0.199,-0.199
PES OTHER,-0.073,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137,-0.137
