,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACRU,43,92,12,4,4,0,0,0,0
BUCA,4,11,39,92,74,3,0,0,0
CAIL,0,0,0,0,0,0,0,0,0
CELA,8,2,24,28,15,8,1,0,1
COFL,138,122,86,7,0,0,0,0,0
GLTR,11,28,62,18,0,0,0,0,0
ILOP,20,51,35,8,0,0,0,0,0
JUVI,27,29,13,13,7,2,0,0,0
LAIN,1568,1025,418,45,2,0,0,0,0
LIST,35,4,22,19,16,10,3,0,0
MAGR,24,17,40,37,8,2,1,0,0
PHCA,2,2,0,0,0,0,0,0,0
PICO5,0,0,0,0,0,0,0,0,0
PITA,9,15,60,99,63,24,3,1,0
PLOC,10,25,12,6,8,10,3,6,1
PYCA,28,29,11,12,1,0,0,0,0
QULA2,8,33,37,118,177,136,57,23,9
QUNI,11,19,53,161,278,200,51,8,1
QUPH,4,63,29,7,6,4,4,1,1
QUVI,809,1235,542,260,223,233,163,111,56
SAPA,3,49,558,2324,54,0,0,0,0
BDL OTHER,90,334,15,10,25,9,10,12,3
BDM OTHER,154,294,67,31,19,9,2,0,0
BDS OTHER,283,114,20,3,0,1,0,0,0
CEL OTHER,26,22,40,36,19,10,1,0,1
CEM OTHER,37,38,2,0,0,0,0,0,0
CES OTHER,0,0,0,0,0,0,0,0,0
BEL OTHER,0,1,0,0,0,0,0,0,0
BEM OTHER,82,34,10,4,5,0,0,1,0
BES OTHER,245,83,14,1,0,0,0,0,0
PEL OTHER,0,0,0,0,0,0,0,0,0
PEM OTHER,4,9,2,5,0,0,0,0,0
PES OTHER,7,0,1,2,0,0,0,0,0
