,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,0.0021,0.0065,0.0181,0.0391,0.0391,0.0391,0.0391,0.0391,0.0391
CICA,0.0042,0.0141,0.0407,0.0889,0.1382,0.1838,0.2223,0.2223,0.2223
EUSI,0.0062,0.0137,0.0296,0.0536,0.0799,0.1037,0.1244,0.1244,0.1244
FRUH,0.0076,0.0157,0.0325,0.0580,0.0863,0.1169,0.1478,0.1819,0.2183
FRVEG,0.0042,0.0188,0.0480,0.0863,0.0863,0.0863,0.0863,0.0863,0.0863
GIBI,0.0035,0.0116,0.0284,0.0541,0.0859,0.1194,0.1194,0.1194,0.1194
JAMI,0.0038,0.0116,0.0315,0.0697,0.1115,0.1115,0.1115,0.1115,0.1115
LAIN,0.0044,0.0176,0.0538,0.1102,0.1102,0.1102,0.1102,0.1102,0.1102
LIST,0.0039,0.0106,0.0227,0.0419,0.0663,0.0969,0.1301,0.1301,0.1301
LITU,0.0043,0.0130,0.0330,0.0649,0.0971,0.1237,0.1237,0.1237,0.1237
MAGR,0.0038,0.0132,0.0376,0.0777,0.1145,0.1398,0.1524,0.1524,0.1524
PIBR2,0.0034,0.0097,0.0232,0.0423,0.0615,0.0767,0.0862,0.0862,0.0862
PICA,0.0032,0.0083,0.0211,0.0404,0.0626,0.0868,0.1145,0.1434,0.1754
PICH,0.0044,0.0132,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247
PLAC,0.0048,0.0236,0.0548,0.0927,0.1261,0.1261,0.1261,0.1261,0.1261
PLRA,0.0038,0.0196,0.0517,0.0921,0.1266,0.1553,0.1845,0.1845,0.1845
PYCA,0.0035,0.0137,0.0364,0.0691,0.0691,0.0691,0.0691,0.0691,0.0691
QUAG,0.0040,0.0175,0.0467,0.0895,0.1276,0.1601,0.1902,0.2172,0.2432
QUIL2,0.0045,0.0136,0.0373,0.0805,0.1282,0.1722,0.2142,0.2142,0.2142
SCMO,0.0043,0.0182,0.0439,0.0763,0.1014,0.1209,0.1380,0.1536,0.1647
SCTE,0.0038,0.0132,0.0315,0.0584,0.0823,0.1029,0.1199,0.1199,0.1199
PICO5,0.0032,0.0086,0.0252,0.0551,0.0551,0.0551,0.0551,0.0551,0.0551
PHCA,0.0051,0.0208,0.0579,0.1006,0.0977,0.0936,0.0902,0.0902,0.0902
PHDA4,0.0031,0.0090,0.0177,0.0208,0.0225,0.0212,0.0207,0.0207,0.0207
WARO,0.0027,0.0053,0.0078,0.0104,0.0124,0.0144,0.0159,0.0169,0.0169
BDL OTHER,0.0043,0.0130,0.0330,0.0649,0.0971,0.1237,0.1237,0.1237,0.1237
BDM OTHER,0.0035,0.0137,0.0364,0.0691,0.0691,0.0691,0.0691,0.0691,0.0691
BDS OTHER,0.0044,0.0176,0.0538,0.1102,0.1102,0.1102,0.1102,0.1102,0.1102
BEL OTHER,0.0042,0.0141,0.0407,0.0889,0.1382,0.1838,0.2223,0.2223,0.2223
BEM OTHER,0.0038,0.0132,0.0376,0.0777,0.1145,0.1398,0.1524,0.1524,0.1524
BES OTHER,0.0038,0.0132,0.0315,0.0584,0.0823,0.1029,0.1199,0.1199,0.1199
CEL OTHER,0.0032,0.0083,0.0211,0.0404,0.0626,0.0868,0.1145,0.1434,0.1754
CEM OTHER,0.0034,0.0097,0.0232,0.0423,0.0615,0.0767,0.0862,0.0862,0.0862
CES OTHER,0.0032,0.0086,0.0252,0.0551,0.0551,0.0551,0.0551,0.0551,0.0551
PEL OTHER,0.0051,0.0208,0.0579,0.1006,0.0977,0.0936,0.0902,0.0902,0.0902
PEM OTHER,0.0031,0.0090,0.0177,0.0208,0.0225,0.0212,0.0207,0.0207,0.0207
PES OTHER,0.0027,0.0053,0.0078,0.0104,0.0124,0.0144,0.0159,0.0169,0.0169
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,NOx Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
