,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,0.005,0.023,0.070,0.170,0.170,0.170,0.170,0.170,0.170
CICA,0.011,0.059,0.190,0.442,0.743,1.054,1.345,1.345,1.345
EUSI,0.018,0.047,0.111,0.225,0.361,0.505,0.648,0.648,0.648
FRUH,0.026,0.052,0.108,0.210,0.340,0.495,0.671,0.865,1.074
FRVEG,0.009,0.061,0.158,0.289,0.289,0.289,0.289,0.289,0.289
GIBI,0.005,0.020,0.060,0.140,0.245,0.370,0.370,0.370,0.370
JAMI,0.007,0.039,0.125,0.294,0.502,0.502,0.502,0.502,0.502
LAIN,0.009,0.053,0.165,0.350,0.350,0.350,0.350,0.350,0.350
LIST,0.007,0.022,0.058,0.133,0.239,0.376,0.542,0.542,0.542
LITU,0.009,0.037,0.109,0.236,0.374,0.500,0.500,0.500,0.500
MAGR,0.010,0.056,0.174,0.381,0.591,0.760,0.858,0.858,0.858
PIBR2,0.008,0.031,0.085,0.177,0.270,0.346,0.392,0.392,0.392
PICA,0.006,0.021,0.062,0.147,0.268,0.421,0.606,0.822,1.067
PICH,0.010,0.042,0.082,0.082,0.082,0.082,0.082,0.082,0.082
PLAC,0.011,0.074,0.190,0.345,0.492,0.492,0.492,0.492,0.492
PLRA,0.007,0.059,0.168,0.323,0.476,0.624,0.767,0.767,0.767
PYCA,0.005,0.046,0.131,0.253,0.253,0.253,0.253,0.253,0.253
QUAG,0.009,0.077,0.225,0.442,0.660,0.874,1.081,1.282,1.477
QUIL2,0.014,0.058,0.170,0.386,0.649,0.933,1.216,1.216,1.216
SCMO,0.013,0.082,0.204,0.362,0.508,0.644,0.771,0.891,1.004
SCTE,0.009,0.062,0.158,0.285,0.405,0.517,0.623,0.623,0.623
PICO5,0.006,0.031,0.097,0.226,0.226,0.226,0.226,0.226,0.226
PHCA,0.022,0.118,0.285,0.520,0.520,0.520,0.520,0.520,0.520
PHDA4,0.008,0.042,0.074,0.095,0.112,0.112,0.112,0.112,0.112
WARO,0.002,0.013,0.030,0.050,0.069,0.086,0.098,0.105,0.105
BDL OTHER,0.009,0.037,0.109,0.236,0.374,0.500,0.500,0.500,0.500
BDM OTHER,0.005,0.046,0.131,0.253,0.253,0.253,0.253,0.253,0.253
BDS OTHER,0.009,0.053,0.165,0.350,0.350,0.350,0.350,0.350,0.350
BEL OTHER,0.011,0.059,0.190,0.442,0.743,1.054,1.345,1.345,1.345
BEM OTHER,0.010,0.056,0.174,0.381,0.591,0.760,0.858,0.858,0.858
BES OTHER,0.009,0.062,0.158,0.285,0.405,0.517,0.623,0.623,0.623
CEL OTHER,0.006,0.021,0.062,0.147,0.268,0.421,0.606,0.822,1.067
CEM OTHER,0.008,0.031,0.085,0.177,0.270,0.346,0.392,0.392,0.392
CES OTHER,0.006,0.031,0.097,0.226,0.226,0.226,0.226,0.226,0.226
PEL OTHER,0.022,0.118,0.285,0.520,0.520,0.520,0.520,0.520,0.520
PEM OTHER,0.008,0.042,0.074,0.095,0.112,0.112,0.112,0.112,0.112
PES OTHER,0.002,0.013,0.030,0.050,0.069,0.086,0.098,0.105,0.105
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Ozone Deposition (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
