,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,0.000,0.001,0.003,0.006,0.006,0.006,0.006,0.006,0.006
CICA,0.000,0.002,0.007,0.016,0.027,0.039,0.050,0.050,0.050
EUSI,0.001,0.002,0.004,0.008,0.013,0.019,0.024,0.024,0.024
FRUH,0.001,0.002,0.005,0.009,0.015,0.021,0.029,0.037,0.046
FRVEG,0.000,0.003,0.007,0.012,0.012,0.012,0.012,0.012,0.012
GIBI,0.000,0.001,0.002,0.006,0.010,0.015,0.015,0.015,0.015
JAMI,0.000,0.002,0.006,0.015,0.026,0.026,0.026,0.026,0.026
LAIN,0.000,0.002,0.008,0.016,0.016,0.016,0.016,0.016,0.016
LIST,0.000,0.001,0.003,0.006,0.010,0.016,0.023,0.023,0.023
LITU,0.000,0.002,0.005,0.010,0.016,0.022,0.022,0.022,0.022
MAGR,0.000,0.002,0.006,0.014,0.022,0.028,0.032,0.032,0.032
PIBR2,0.000,0.001,0.003,0.007,0.010,0.013,0.014,0.014,0.014
PICA,0.000,0.001,0.002,0.005,0.010,0.016,0.022,0.030,0.039
PICH,0.000,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0.004
PLAC,0.000,0.003,0.008,0.015,0.021,0.021,0.021,0.021,0.021
PLRA,0.000,0.003,0.007,0.014,0.021,0.027,0.033,0.033,0.033
PYCA,0.000,0.002,0.006,0.011,0.011,0.011,0.011,0.011,0.011
QUAG,0.000,0.003,0.008,0.016,0.024,0.032,0.040,0.047,0.055
QUIL2,0.001,0.002,0.006,0.014,0.024,0.034,0.045,0.045,0.045
SCMO,0.000,0.003,0.008,0.013,0.019,0.024,0.028,0.033,0.037
SCTE,0.000,0.002,0.006,0.011,0.015,0.019,0.023,0.023,0.023
PICO5,0.000,0.001,0.004,0.008,0.008,0.008,0.008,0.008,0.008
PHCA,0.001,0.004,0.011,0.019,0.019,0.019,0.019,0.019,0.019
PHDA4,0.000,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.004
WARO,0.000,0.000,0.001,0.002,0.003,0.003,0.004,0.004,0.004
BDL OTHER,0.000,0.002,0.005,0.010,0.016,0.022,0.022,0.022,0.022
BDM OTHER,0.000,0.002,0.006,0.011,0.011,0.011,0.011,0.011,0.011
BDS OTHER,0.000,0.002,0.008,0.016,0.016,0.016,0.016,0.016,0.016
BEL OTHER,0.000,0.002,0.007,0.016,0.027,0.039,0.050,0.050,0.050
BEM OTHER,0.000,0.002,0.006,0.014,0.022,0.028,0.032,0.032,0.032
BES OTHER,0.000,0.002,0.006,0.011,0.015,0.019,0.023,0.023,0.023
CEL OTHER,0.000,0.001,0.002,0.005,0.010,0.016,0.022,0.030,0.039
CEM OTHER,0.000,0.001,0.003,0.007,0.010,0.013,0.014,0.014,0.014
CES OTHER,0.000,0.001,0.004,0.008,0.008,0.008,0.008,0.008,0.008
PEL OTHER,0.001,0.004,0.011,0.019,0.019,0.019,0.019,0.019,0.019
PEM OTHER,0.000,0.002,0.003,0.003,0.004,0.004,0.004,0.004,0.004
PES OTHER,0.000,0.000,0.001,0.002,0.003,0.003,0.004,0.004,0.004
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Deposition (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
