,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,-0.002,-0.012,-0.042,-0.109,-0.109,-0.109,-0.109,-0.109,-0.109
CICA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
EUSI,-0.061,-0.236,-0.629,-1.395,-2.439,-3.760,-5.358,-5.358,-5.358
FRUH,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FRVEG,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
GIBI,-0.006,-0.025,-0.074,-0.177,-0.322,-0.509,-0.509,-0.509,-0.509
JAMI,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LAIN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LIST,-0.061,-0.258,-0.736,-1.717,-3.091,-4.858,-7.017,-7.017,-7.017
LITU,-0.150,-0.581,-1.549,-3.443,-6.026,-9.298,-9.298,-9.298,-9.298
MAGR,-0.010,-0.094,-0.381,-1.062,-2.086,-3.452,-5.161,-5.161,-5.161
PIBR2,-0.002,-0.008,-0.021,-0.044,-0.075,-0.114,-0.160,-0.160,-0.160
PICA,-0.011,-0.050,-0.151,-0.369,-0.678,-1.081,-1.577,-2.165,-2.846
PICH,-0.018,-0.083,-0.254,-0.254,-0.254,-0.254,-0.254,-0.254,-0.254
PLAC,-0.042,-0.154,-0.388,-0.826,-1.408,-1.408,-1.408,-1.408,-1.408
PLRA,-0.026,-0.097,-0.250,-0.542,-0.934,-1.425,-2.016,-2.016,-2.016
PYCA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
QUAG,-0.228,-0.742,-1.656,-3.144,-4.938,-7.039,-9.446,-12.161,-15.182
QUIL2,-0.051,-0.225,-0.664,-1.583,-2.884,-4.565,-6.628,-6.628,-6.628
SCMO,-0.015,-0.044,-0.089,-0.149,-0.210,-0.272,-0.335,-0.399,-0.464
SCTE,-0.009,-0.038,-0.110,-0.258,-0.466,-0.732,-1.058,-1.058,-1.058
PICO5,-0.005,-0.053,-0.209,-0.541,-0.541,-0.541,-0.541,-0.541,-0.541
PHCA,-0.036,-0.210,-0.386,-0.386,-0.386,-0.386,-0.386,-0.386,-0.386
PHDA4,-0.018,-0.054,-0.088,-0.121,-0.155,-0.190,-0.228,-0.228,-0.228
WARO,-0.002,-0.013,-0.031,-0.054,-0.079,-0.104,-0.126,-0.142,-0.142
BDL OTHER,-0.150,-0.581,-1.549,-3.443,-6.026,-9.298,-9.298,-9.298,-9.298
BDM OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BDS OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BEL OTHER,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BEM OTHER,-0.010,-0.094,-0.381,-1.062,-2.086,-3.452,-5.161,-5.161,-5.161
BES OTHER,-0.009,-0.038,-0.110,-0.258,-0.466,-0.732,-1.058,-1.058,-1.058
CEL OTHER,-0.011,-0.050,-0.151,-0.369,-0.678,-1.081,-1.577,-2.165,-2.846
CEM OTHER,-0.002,-0.008,-0.021,-0.044,-0.075,-0.114,-0.160,-0.160,-0.160
CES OTHER,-0.005,-0.053,-0.209,-0.541,-0.541,-0.541,-0.541,-0.541,-0.541
PEL OTHER,-0.036,-0.210,-0.386,-0.386,-0.386,-0.386,-0.386,-0.386,-0.386
PEM OTHER,-0.018,-0.054,-0.088,-0.121,-0.155,-0.190,-0.228,-0.228,-0.228
PES OTHER,-0.002,-0.013,-0.031,-0.054,-0.079,-0.104,-0.126,-0.142,-0.142
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,BVOCs (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
