,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,0.1,2.7,7.2,15.3,15.3,15.3,15.3,15.3,15.3
CICA,1.8,5.6,15.7,33.4,51.3,67.6,81.3,81.3,81.3
EUSI,2.6,5.5,11.7,20.8,30.3,38.6,45.5,45.5,45.5
FRUH,3.0,6.1,12.5,21.7,31.7,42.3,53.2,65.2,78.1
FRVEG,1.8,7.3,18.6,33.0,33.0,33.0,33.0,33.0,33.0
GIBI,1.5,4.9,11.5,21.5,33.4,45.9,45.9,45.9,45.9
JAMI,1.6,4.4,11.6,25.0,39.4,39.4,39.4,39.4,39.4
LAIN,1.9,6.9,20.8,42.1,42.1,42.1,42.1,42.1,42.1
LIST,1.7,4.3,8.9,16.0,24.8,35.5,47.2,47.2,47.2
LITU,1.8,5.1,12.7,24.4,35.9,45.3,45.3,45.3,45.3
MAGR,1.6,5.2,14.5,29.5,43.0,52.3,56.9,56.9,56.9
PIBR2,1.5,4.0,9.2,16.5,23.5,29.1,32.6,32.6,32.6
PICA,1.4,3.5,8.6,16.0,24.1,32.8,42.6,52.9,64.3
PICH,1.9,5.1,9.5,9.5,9.5,9.5,9.5,9.5,9.5
PLAC,2.0,9.1,20.7,34.6,46.6,46.6,46.6,46.6,46.6
PLRA,1.7,7.7,19.9,34.7,46.9,57.3,67.8,67.8,67.8
PYCA,1.5,5.3,13.9,25.9,25.9,25.9,25.9,25.9,25.9
QUAG,1.7,6.8,17.9,33.8,47.7,59.6,70.3,79.9,89.1
QUIL2,1.9,5.4,14.4,30.5,47.9,63.9,79.1,79.1,79.1
SCMO,1.8,7.1,17.1,29.2,38.2,44.8,50.8,56.0,59.4
SCTE,1.6,5.2,12.1,22.3,31.3,38.8,44.8,44.8,44.8
PICO5,1.4,3.5,10.1,21.7,21.7,21.7,21.7,21.7,21.7
PHCA,2.0,7.8,22.0,37.4,36.0,34.1,32.6,32.6,32.6
PHDA4,1.3,3.5,6.8,7.9,8.4,7.8,7.6,7.6,7.6
WARO,1.2,2.2,3.0,3.9,4.5,5.2,5.7,6.1,6.1
BDL OTHER,1.8,5.1,12.7,24.4,35.9,45.3,45.3,45.3,45.3
BDM OTHER,1.5,5.3,13.9,25.9,25.9,25.9,25.9,25.9,25.9
BDS OTHER,1.9,6.9,20.8,42.1,42.1,42.1,42.1,42.1,42.1
BEL OTHER,1.8,5.6,15.7,33.4,51.3,67.6,81.3,81.3,81.3
BEM OTHER,1.6,5.2,14.5,29.5,43.0,52.3,56.9,56.9,56.9
BES OTHER,1.6,5.2,12.1,22.3,31.3,38.8,44.8,44.8,44.8
CEL OTHER,1.4,3.5,8.6,16.0,24.1,32.8,42.6,52.9,64.3
CEM OTHER,1.5,4.0,9.2,16.5,23.5,29.1,32.6,32.6,32.6
CES OTHER,1.4,3.5,10.1,21.7,21.7,21.7,21.7,21.7,21.7
PEL OTHER,2.0,7.8,22.0,37.4,36.0,34.1,32.6,32.6,32.6
PEM OTHER,1.3,3.5,6.8,7.9,8.4,7.8,7.6,7.6,7.6
PES OTHER,1.2,2.2,3.0,3.9,4.5,5.2,5.7,6.1,6.1
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Net Avoided CO2 from Reduced Energy Use (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
