,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,2.8,5.6,14.6,30.8,30.8,30.8,30.8,30.8,30.8
CICA,3.9,11.4,31.8,67.7,104.1,137.8,166.1,166.1,166.1
EUSI,5.5,11.3,23.6,41.8,61.1,78.2,92.7,92.7,92.7
FRUH,6.2,12.5,25.4,44.1,64.5,86.4,109.1,133.9,160.7
FRVEG,3.8,14.9,37.5,66.5,66.5,66.5,66.5,66.5,66.5
GIBI,3.2,9.8,23.0,43.0,67.0,92.3,92.3,92.3,92.3
JAMI,3.4,9.3,23.9,51.5,81.5,81.5,81.5,81.5,81.5
LAIN,4.0,14.1,42.0,85.0,85.0,85.0,85.0,85.0,85.0
LIST,3.6,8.9,18.0,32.4,50.3,72.3,96.4,96.4,96.4
LITU,3.9,10.5,25.7,49.4,72.9,92.2,92.2,92.2,92.2
MAGR,3.5,10.7,29.5,59.7,87.2,106.1,115.5,115.5,115.5
PIBR2,3.1,8.2,18.5,33.2,47.5,58.8,65.8,65.8,65.8
PICA,3.0,7.2,17.2,32.0,48.4,66.2,86.3,107.5,131.1
PICH,3.9,10.6,19.4,19.4,19.4,19.4,19.4,19.4,19.4
PLAC,4.3,18.6,42.0,70.1,94.7,94.7,94.7,94.7,94.7
PLRA,3.5,15.6,40.2,70.1,95.2,116.5,138.1,138.1,138.1
PYCA,3.2,10.9,28.3,52.5,52.5,52.5,52.5,52.5,52.5
QUAG,3.6,13.9,36.3,68.4,96.7,121.1,143.2,163.0,182.2
QUIL2,4.0,11.1,29.2,61.7,97.0,129.9,161.2,161.2,161.2
SCMO,3.9,14.5,34.6,59.0,77.4,91.0,103.4,114.4,121.7
SCTE,3.4,10.7,24.7,45.3,63.3,78.5,90.8,90.8,90.8
PICO5,3.0,7.3,20.3,43.6,43.6,43.6,43.6,43.6,43.6
PHCA,4.3,16.1,44.6,76.0,73.2,69.6,66.7,66.7,66.7
PHDA4,2.9,7.3,13.9,16.1,17.2,16.1,15.7,15.7,15.7
WARO,2.6,4.7,6.3,8.1,9.5,10.9,12.0,12.8,12.8
BDL OTHER,3.9,10.5,25.7,49.4,72.9,92.2,92.2,92.2,92.2
BDM OTHER,3.2,10.9,28.3,52.5,52.5,52.5,52.5,52.5,52.5
BDS OTHER,4.0,14.1,42.0,85.0,85.0,85.0,85.0,85.0,85.0
BEL OTHER,3.9,11.4,31.8,67.7,104.1,137.8,166.1,166.1,166.1
BEM OTHER,3.5,10.7,29.5,59.7,87.2,106.1,115.5,115.5,115.5
BES OTHER,3.4,10.7,24.7,45.3,63.3,78.5,90.8,90.8,90.8
CEL OTHER,3.0,7.2,17.2,32.0,48.4,66.2,86.3,107.5,131.1
CEM OTHER,3.1,8.2,18.5,33.2,47.5,58.8,65.8,65.8,65.8
CES OTHER,3.0,7.3,20.3,43.6,43.6,43.6,43.6,43.6,43.6
PEL OTHER,4.3,16.1,44.6,76.0,73.2,69.6,66.7,66.7,66.7
PEM OTHER,2.9,7.3,13.9,16.1,17.2,16.1,15.7,15.7,15.7
PES OTHER,2.6,4.7,6.3,8.1,9.5,10.9,12.0,12.8,12.8
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Net Avoided CO2 from Reduced Energy Use (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
