,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,,
BRPO,1.0,19.0,128.6,513.0,513.0,513.0,513.0,513.0,513.0,,,,
CICA,3.8,49.7,272.7,987.3,2319.8,4384.9,7261.9,7261.9,7261.9,,,,
EUSI,9.3,12.7,74.1,290.2,733.3,1484.4,2625.6,2625.6,2625.6,,,,
FRUH,2.3,33.6,215.2,884.0,2234.6,4401.5,7429.9,11274.2,15801.0,,,,
FRVEG,2.0,26.9,160.6,614.6,614.6,614.6,614.6,614.6,614.6,,,,
GIBI,1.9,34.8,206.5,752.5,1751.0,3280.1,3280.1,3280.1,3280.1,,,,
JAMI,1.8,25.9,146.1,527.3,1214.0,1214.0,1214.0,1214.0,1214.0,,,,
LAIN,2.0,27.5,154.0,569.6,569.6,569.6,569.6,569.6,569.6,,,,
LIST,2.1,37.2,216.4,779.2,1800.6,3356.3,5509.8,5509.8,5509.8,,,,
LITU,2.2,34.2,202.8,757.2,1790.1,3367.4,3367.4,3367.4,3367.4,,,,
MAGR,2.2,32.2,189.1,698.2,1603.9,2875.7,2875.7,2875.7,2875.7,,,,
PIBR2,0.9,17.3,101.9,367.7,848.0,1576.3,2580.1,2580.1,2580.1,,,,
PICA,0.5,9.0,60.3,243.2,599.1,1153.1,1907.8,2842.2,2842.2,,,,
PICH,1.4,25.7,148.1,148.1,148.1,148.1,148.1,148.1,148.1,,,,
PLAC,2.0,37.0,226.2,848.2,2015.7,2015.7,2015.7,2015.7,2015.7,,,,
PLRA,1.8,35.1,231.2,923.3,2267.6,4370.7,7262.0,7262.0,7262.0,,,,
PYCA,6.3,80.6,411.8,1377.6,1377.6,1377.6,1377.6,1377.6,1377.6,,,,
QUAG,8.1,84.7,421.2,1436.8,3232.9,5862.0,9286.3,13384.0,17953.8,,,,
QUIL2,7.1,79.2,428.8,1612.6,3987.1,7958.8,13940.1,13940.1,13940.1,,,,
SCMO,1.4,23.2,148.9,578.1,1365.3,2520.5,4037.8,5948.1,8377.6,,,,
SCTE,3.4,42.4,221.8,767.6,1732.1,3142.1,4975.4,4975.4,4975.4,,,,
PICO5,0.9,17.4,102.8,370.8,370.8,370.8,370.8,370.8,370.8,,,,
PHCA,43.9,81.8,151.1,211.8,264.1,307.9,343.1,369.8,388.0,,,,
PHDA4,36.8,67.9,139.7,216.6,289.1,347.6,382.8,382.8,382.8,,,,
WARO,78.6,148.4,278.6,388.4,471.7,526.7,555.4,563.5,563.5,,,,
BDL OTHER,2.2,34.2,202.8,757.2,1790.1,3367.4,3367.4,3367.4,3367.4,,,,
BDM OTHER,6.3,80.6,411.8,1377.6,1377.6,1377.6,1377.6,1377.6,1377.6,,,,
BDS OTHER,2.0,27.5,154.0,569.6,569.6,569.6,569.6,569.6,569.6,,,,
BEL OTHER,3.8,49.7,272.7,987.3,2319.8,4384.9,7261.9,7261.9,7261.9,,,,
BEM OTHER,2.2,32.2,189.1,698.2,1603.9,2875.7,2875.7,2875.7,2875.7,,,,
BES OTHER,3.4,42.4,221.8,767.6,1732.1,3142.1,4975.4,4975.4,4975.4,,,,
CEL OTHER,0.5,9.0,60.3,243.2,599.1,1153.1,1907.8,2842.2,2842.2,,,,
CEM OTHER,0.9,17.3,101.9,367.7,848.0,1576.3,2580.1,2580.1,2580.1,,,,
CES OTHER,0.9,17.4,102.8,370.8,370.8,370.8,370.8,370.8,370.8,,,,
PEL OTHER,43.9,81.8,151.1,211.8,264.1,307.9,343.1,369.8,388.0,,,,
PEM OTHER,36.8,67.9,139.7,216.6,289.1,347.6,382.8,382.8,382.8,,,,
PES OTHER,78.6,148.4,278.6,388.4,471.7,526.7,555.4,563.5,563.5,,,,
,2,3,4,5,6,7,8,9,10,,,,
,,,,,,,,,,,,,
,CO2 Storage (kg/tree),,,,,,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,,,,,
