,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30,,,
BRPO,1.0,4.5,13.8,33.6,33.6,33.6,33.6,33.6,33.6,,,
CICA,2.1,11.6,37.4,87.2,146.6,208.1,265.6,265.6,265.6,,,
EUSI,3.5,9.2,21.9,44.5,71.2,99.7,127.9,127.9,127.9,,,
FRUH,6.9,14.0,29.0,56.3,91.1,132.6,179.8,231.8,287.8,,,
FRVEG,2.3,16.3,42.4,77.6,77.6,77.6,77.6,77.6,77.6,,,
GIBI,1.4,5.6,16.6,38.6,67.8,102.5,102.5,102.5,102.5,,,
JAMI,2.1,11.4,36.9,86.8,147.8,147.8,147.8,147.8,147.8,,,
LAIN,2.5,15.3,48.1,101.9,101.9,101.9,101.9,101.9,101.9,,,
LIST,2.0,5.8,15.6,35.8,64.1,100.7,145.3,145.3,145.3,,,
LITU,2.3,10.0,29.2,63.2,100.2,134.1,134.1,134.1,134.1,,,
MAGR,2.0,11.0,34.4,75.3,116.7,150.0,169.3,169.3,169.3,,,
PIBR2,1.5,6.1,16.9,35.0,53.3,68.3,77.4,77.4,77.4,,,
PICA,1.2,4.2,12.2,29.1,52.8,83.1,119.7,162.2,210.6,,,
PICH,2.8,11.1,21.9,21.9,21.9,21.9,21.9,21.9,21.9,,,
PLAC,2.8,19.8,51.0,92.5,131.8,131.8,131.8,131.8,131.8,,,
PLRA,1.9,15.9,45.0,86.5,127.6,167.4,205.7,205.7,205.7,,,
PYCA,1.5,12.4,35.2,67.8,67.8,67.8,67.8,67.8,67.8,,,
QUAG,1.7,15.2,44.5,87.3,130.3,172.5,213.4,253.1,291.6,,,
QUIL2,2.7,11.4,33.6,76.1,128.1,184.3,240.0,240.0,240.0,,,
SCMO,2.5,16.3,40.3,71.4,100.2,127.1,152.2,175.8,198.2,,,
SCTE,1.8,12.2,31.1,56.2,79.9,102.1,123.0,123.0,123.0,,,
PICO5,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
PHCA,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6,,,
PHDA4,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1,,,
WARO,0.4,2.5,5.9,9.8,13.6,16.9,19.4,20.7,20.7,,,
BDL OTHER,2.3,10.0,29.2,63.2,100.2,134.1,134.1,134.1,134.1,,,
BDM OTHER,1.5,12.4,35.2,67.8,67.8,67.8,67.8,67.8,67.8,,,
BDS OTHER,2.5,15.3,48.1,101.9,101.9,101.9,101.9,101.9,101.9,,,
BEL OTHER,2.1,11.6,37.4,87.2,146.6,208.1,265.6,265.6,265.6,,,
BEM OTHER,2.0,11.0,34.4,75.3,116.7,150.0,169.3,169.3,169.3,,,
BES OTHER,1.8,12.2,31.1,56.2,79.9,102.1,123.0,123.0,123.0,,,
CEL OTHER,1.2,4.2,12.2,29.1,52.8,83.1,119.7,162.2,210.6,,,
CEM OTHER,1.5,6.1,16.9,35.0,53.3,68.3,77.4,77.4,77.4,,,
CES OTHER,1.2,6.1,19.1,44.6,44.6,44.6,44.6,44.6,44.6,,,
PEL OTHER,4.4,23.2,56.3,102.6,102.6,102.6,102.6,102.6,102.6,,,
PEM OTHER,1.5,8.4,14.6,18.7,22.1,22.1,22.1,22.1,22.1,,,
PES OTHER,0.4,2.5,5.9,9.8,13.6,16.9,19.4,20.7,20.7,,,
,3,4,5,6,7,8,9,10,11,,,
,,,,,,,,,,,,
,Leaf Surface Area (m2/tree),,,,,,0,,,,,
,,,Midpoint of DBH class (cm),,,,,,,,,
