,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,0.3,9.2,24.4,51.9,51.9,51.9,51.9,51.9,51.9
CICA,6.2,18.9,53.4,113.6,174.1,229.7,276.1,276.1,276.1
EUSI,9.0,18.8,39.8,70.5,102.8,131.0,154.7,154.7,154.7
FRUH,10.0,20.7,42.5,73.8,107.6,143.7,180.8,221.5,265.2
FRVEG,6.0,24.8,63.2,112.0,112.0,112.0,112.0,112.0,112.0
GIBI,5.1,16.5,39.1,73.1,113.6,156.0,156.0,156.0,156.0
JAMI,5.4,15.1,39.3,84.8,134.0,134.0,134.0,134.0,134.0
LAIN,6.4,23.4,70.7,143.1,143.1,143.1,143.1,143.1,143.1
LIST,5.7,14.8,30.3,54.5,84.2,120.7,160.4,160.4,160.4
LITU,6.2,17.4,43.1,82.8,121.9,153.9,153.9,153.9,153.9
MAGR,5.5,17.7,49.4,100.2,146.1,177.7,193.3,193.3,193.3
PIBR2,5.0,13.6,31.2,56.0,79.9,98.9,110.6,110.6,110.6
PICA,4.8,11.9,29.1,54.3,81.8,111.3,144.6,179.5,218.6
PICH,6.3,17.5,32.3,32.3,32.3,32.3,32.3,32.3,32.3
PLAC,6.9,31.1,70.4,117.4,158.4,158.4,158.4,158.4,158.4
PLRA,5.6,26.1,67.7,117.7,159.4,194.6,230.2,230.2,230.2
PYCA,5.1,18.0,47.2,87.9,87.9,87.9,87.9,87.9,87.9
QUAG,5.8,23.1,60.9,114.7,162.0,202.4,238.8,271.4,302.7
QUIL2,6.5,18.3,49.0,103.6,162.6,217.1,268.8,268.8,268.8
SCMO,6.2,24.2,58.1,99.1,129.8,152.1,172.5,190.3,201.8
SCTE,5.5,17.5,41.2,75.9,106.3,131.7,152.0,152.0,152.0
PICO5,4.7,11.9,34.2,73.7,73.7,73.7,73.7,73.7,73.7
PHCA,6.8,26.4,74.7,127.2,122.1,115.8,110.6,110.6,110.6
PHDA4,4.5,11.7,23.1,26.7,28.4,26.5,25.8,25.8,25.8
WARO,4.1,7.6,10.2,13.2,15.3,17.6,19.4,20.6,20.6
BDL OTHER,6.2,17.4,43.1,82.8,121.9,153.9,153.9,153.9,153.9
BDM OTHER,5.1,18.0,47.2,87.9,87.9,87.9,87.9,87.9,87.9
BDS OTHER,6.4,23.4,70.7,143.1,143.1,143.1,143.1,143.1,143.1
BEL OTHER,6.2,18.9,53.4,113.6,174.1,229.7,276.1,276.1,276.1
BEM OTHER,5.5,17.7,49.4,100.2,146.1,177.7,193.3,193.3,193.3
BES OTHER,5.5,17.5,41.2,75.9,106.3,131.7,152.0,152.0,152.0
CEL OTHER,4.8,11.9,29.1,54.3,81.8,111.3,144.6,179.5,218.6
CEM OTHER,5.0,13.6,31.2,56.0,79.9,98.9,110.6,110.6,110.6
CES OTHER,4.7,11.9,34.2,73.7,73.7,73.7,73.7,73.7,73.7
PEL OTHER,6.8,26.4,74.7,127.2,122.1,115.8,110.6,110.6,110.6
PEM OTHER,4.5,11.7,23.1,26.7,28.4,26.5,25.8,25.8,25.8
PES OTHER,4.1,7.6,10.2,13.2,15.3,17.6,19.4,20.6,20.6
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Electricity Benefits per Tree (kWh/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
