,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,0.11,0.52,1.66,4.11,4.11,4.11,4.11,4.11,4.11
CICA,0.32,1.47,4.38,9.93,16.82,24.48,32.39,32.39,32.39
EUSI,0.38,1.13,2.80,5.90,9.80,14.29,19.17,19.17,19.17
FRUH,0.25,0.51,1.06,2.06,3.34,4.86,6.58,8.48,10.54
FRVEG,0.07,0.49,1.28,2.34,2.34,2.34,2.34,2.34,2.34
GIBI,0.05,0.20,0.59,1.38,2.43,3.67,3.67,3.67,3.67
JAMI,0.30,1.45,4.46,10.47,18.20,18.20,18.20,18.20,18.20
LAIN,0.08,0.48,1.49,3.16,3.16,3.16,3.16,3.16,3.16
LIST,0.06,0.17,0.44,1.02,1.82,2.86,4.14,4.14,4.14
LITU,0.05,0.24,0.68,1.49,2.36,3.16,3.16,3.16,3.16
MAGR,0.17,1.13,3.85,9.20,15.68,22.49,28.67,28.67,28.67
PIBR2,0.21,0.81,2.16,4.55,7.24,9.97,12.44,12.44,12.44
PICA,0.16,0.64,1.91,4.60,8.40,13.32,19.30,26.32,34.35
PICH,0.09,0.38,0.75,0.75,0.75,0.75,0.75,0.75,0.75
PLAC,0.11,0.77,1.99,3.60,5.13,5.13,5.13,5.13,5.13
PLRA,0.09,0.76,2.14,4.12,6.07,7.96,9.79,9.79,9.79
PYCA,0.06,0.48,1.37,2.64,2.64,2.64,2.64,2.64,2.64
QUAG,0.25,1.87,4.98,9.65,14.70,19.95,25.40,31.05,36.88
QUIL2,0.33,1.40,4.12,9.55,16.59,24.84,33.86,33.86,33.86
SCMO,0.26,2.15,4.95,8.60,12.09,15.45,18.70,21.83,24.88
SCTE,0.20,1.21,3.19,6.18,9.50,13.08,16.88,16.88,16.88
PICO5,0.11,0.67,2.30,5.60,5.60,5.60,5.60,5.60,5.60
PHCA,0.44,2.42,5.41,8.67,8.67,8.68,8.68,8.68,8.69
PHDA4,0.16,0.74,1.27,1.65,1.99,2.09,2.19,2.19,2.19
WARO,0.04,0.24,0.57,0.96,1.36,1.72,2.01,2.18,2.18
BDL OTHER,0.05,0.24,0.68,1.49,2.36,3.16,3.16,3.16,3.16
BDM OTHER,0.06,0.48,1.37,2.64,2.64,2.64,2.64,2.64,2.64
BDS OTHER,0.08,0.48,1.49,3.16,3.16,3.16,3.16,3.16,3.16
BEL OTHER,0.32,1.47,4.38,9.93,16.82,24.48,32.39,32.39,32.39
BEM OTHER,0.17,1.13,3.85,9.20,15.68,22.49,28.67,28.67,28.67
BES OTHER,0.20,1.21,3.19,6.18,9.50,13.08,16.88,16.88,16.88
CEL OTHER,0.16,0.64,1.91,4.60,8.40,13.32,19.30,26.32,34.35
CEM OTHER,0.21,0.81,2.16,4.55,7.24,9.97,12.44,12.44,12.44
CES OTHER,0.11,0.67,2.30,5.60,5.60,5.60,5.60,5.60,5.60
PEL OTHER,0.44,2.42,5.41,8.67,8.67,8.68,8.68,8.68,8.69
PEM OTHER,0.16,0.74,1.27,1.65,1.99,2.09,2.19,2.19,2.19
PES OTHER,0.04,0.24,0.57,0.96,1.36,1.72,2.01,2.18,2.18
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,H2O Interception per tree (m3),,,,,,Copied from C:\MyFiles\Guidelines\Santa Monica\SantaMonica_G\BasicData\SM Hydrology RU.xls,,
22.86,,,Midpoint of DBH class (cm),,,,,,
