,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,-0.8,-3.9,-12.9,-26.2,-26.2,-26.2,-26.2,-26.2,-26.2
CICA,-2.3,-8.5,-24.9,-47.4,-70.5,-93.1,-116.5,-116.5,-116.5
EUSI,-4.6,-9.6,-20.0,-30.0,-36.2,-38.7,-41.1,-41.1,-41.1
FRUH,-3.4,-9.9,-16.7,-21.2,-25.3,-32.0,-44.7,-62.3,-86.0
FRVEG,-1.9,-11.0,-30.4,-54.2,-54.2,-54.2,-54.2,-54.2,-54.2
GIBI,-1.5,-10.0,-21.8,-39.1,-58.7,-80.5,-80.5,-80.5,-80.5
JAMI,-0.7,-4.2,-10.2,-21.8,-36.5,-36.5,-36.5,-36.5,-36.5
LAIN,-2.1,-11.1,-38.6,-81.4,-81.4,-81.4,-81.4,-81.4,-81.4
LIST,-2.1,-7.5,-11.3,-15.7,-20.8,-27.7,-39.5,-39.5,-39.5
LITU,-2.1,-7.0,-15.5,-25.5,-34.7,-43.7,-43.7,-43.7,-43.7
MAGR,-1.3,-8.3,-24.0,-48.1,-69.6,-86.2,-94.2,-94.2,-94.2
PIBR2,-1.1,-7.2,-15.8,-26.2,-34.6,-41.4,-44.5,-44.5,-44.5
PICA,-1.2,-7.3,-15.2,-22.8,-29.0,-35.6,-45.0,-58.3,-76.8
PICH,-1.6,-7.2,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3,-13.3
PLAC,-2.5,-12.4,-25.7,-40.6,-55.4,-55.4,-55.4,-55.4,-55.4
PLRA,-2.0,-13.4,-29.1,-40.8,-50.2,-63.8,-80.9,-80.9,-80.9
PYCA,-1.2,-7.4,-18.6,-30.6,-30.6,-30.6,-30.6,-30.6,-30.6
QUAG,-2.0,-10.2,-29.7,-54.4,-74.9,-93.2,-108.9,-124.9,-141.8
QUIL2,-2.2,-8.6,-23.1,-45.5,-69.0,-95.4,-126.5,-126.5,-126.5
SCMO,-2.3,-12.2,-32.9,-53.2,-61.5,-61.4,-66.0,-60.5,-56.1
SCTE,-1.4,-7.6,-20.1,-40.1,-55.3,-64.8,-67.7,-67.7,-67.7
PICO5,-0.9,-6.3,-20.2,-42.9,-42.9,-42.9,-42.9,-42.9,-42.9
PHCA,-0.5,-9.8,-34.7,-47.1,-33.1,-25.5,-21.0,-21.0,-21.0
PHDA4,-0.1,-3.0,-6.5,-3.5,-3.0,-1.8,-1.4,-1.4,-1.4
WARO,-0.3,-1.8,-0.2,0.2,-0.2,0.0,-0.1,-0.6,-0.6
BDL OTHER,-2.1,-7.0,-15.5,-25.5,-34.7,-43.7,-43.7,-43.7,-43.7
BDM OTHER,-1.2,-7.4,-18.6,-30.6,-30.6,-30.6,-30.6,-30.6,-30.6
BDS OTHER,-2.1,-11.1,-38.6,-81.4,-81.4,-81.4,-81.4,-81.4,-81.4
BEL OTHER,-2.3,-8.5,-24.9,-47.4,-70.5,-93.1,-116.5,-116.5,-116.5
BEM OTHER,-1.3,-8.3,-24.0,-48.1,-69.6,-86.2,-94.2,-94.2,-94.2
BES OTHER,-1.4,-7.6,-20.1,-40.1,-55.3,-64.8,-67.7,-67.7,-67.7
CEL OTHER,-1.2,-7.3,-15.2,-22.8,-29.0,-35.6,-45.0,-58.3,-76.8
CEM OTHER,-1.1,-7.2,-15.8,-26.2,-34.6,-41.4,-44.5,-44.5,-44.5
CES OTHER,-0.9,-6.3,-20.2,-42.9,-42.9,-42.9,-42.9,-42.9,-42.9
PEL OTHER,-0.5,-9.8,-34.7,-47.1,-33.1,-25.5,-21.0,-21.0,-21.0
PEM OTHER,-0.1,-3.0,-6.5,-3.5,-3.0,-1.8,-1.4,-1.4,-1.4
PES OTHER,-0.3,-1.8,-0.2,0.2,-0.2,0.0,-0.1,-0.6,-0.6
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Average Annual Natural Gas Benefits per tree (kBtu/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
