,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,-0.002,-0.011,-0.038,-0.099,-0.099,-0.099,-0.099,-0.099,-0.099
CICA,0.001,0.003,0.010,0.022,0.034,0.045,0.055,0.055,0.055
EUSI,-0.060,-0.233,-0.622,-1.382,-2.419,-3.734,-5.328,-5.328,-5.328
FRUH,0.002,0.004,0.008,0.014,0.021,0.029,0.036,0.044,0.053
FRVEG,0.001,0.005,0.012,0.021,0.021,0.021,0.021,0.021,0.021
GIBI,-0.005,-0.022,-0.067,-0.163,-0.300,-0.479,-0.479,-0.479,-0.479
JAMI,0.001,0.003,0.008,0.017,0.027,0.027,0.027,0.027,0.027
LAIN,0.001,0.004,0.013,0.027,0.027,0.027,0.027,0.027,0.027
LIST,-0.060,-0.255,-0.730,-1.707,-3.075,-4.834,-6.985,-6.985,-6.985
LITU,-0.149,-0.577,-1.541,-3.427,-6.002,-9.268,-9.268,-9.268,-9.268
MAGR,-0.009,-0.091,-0.371,-1.043,-2.058,-3.418,-5.123,-5.123,-5.123
PIBR2,-0.001,-0.006,-0.015,-0.034,-0.060,-0.095,-0.139,-0.139,-0.139
PICA,-0.010,-0.048,-0.146,-0.359,-0.663,-1.060,-1.549,-2.130,-2.803
PICH,-0.017,-0.080,-0.248,-0.248,-0.248,-0.248,-0.248,-0.248,-0.248
PLAC,-0.041,-0.148,-0.375,-0.804,-1.377,-1.377,-1.377,-1.377,-1.377
PLRA,-0.025,-0.092,-0.238,-0.520,-0.903,-1.387,-1.971,-1.971,-1.971
PYCA,0.001,0.003,0.009,0.017,0.017,0.017,0.017,0.017,0.017
QUAG,-0.227,-0.737,-1.645,-3.122,-4.906,-6.999,-9.400,-12.107,-15.122
QUIL2,-0.050,-0.221,-0.655,-1.563,-2.852,-4.523,-6.576,-6.576,-6.576
SCMO,-0.014,-0.040,-0.078,-0.130,-0.185,-0.243,-0.301,-0.362,-0.424
SCTE,-0.008,-0.035,-0.103,-0.244,-0.445,-0.707,-1.029,-1.029,-1.029
PICO5,-0.004,-0.051,-0.203,-0.527,-0.527,-0.527,-0.527,-0.527,-0.527
PHCA,-0.035,-0.205,-0.371,-0.361,-0.362,-0.363,-0.364,-0.364,-0.364
PHDA4,-0.018,-0.052,-0.083,-0.116,-0.149,-0.185,-0.223,-0.223,-0.223
WARO,-0.001,-0.011,-0.029,-0.051,-0.076,-0.100,-0.122,-0.138,-0.138
BDL OTHER,-0.149,-0.577,-1.541,-3.427,-6.002,-9.268,-9.268,-9.268,-9.268
BDM OTHER,0.001,0.003,0.009,0.017,0.017,0.017,0.017,0.017,0.017
BDS OTHER,0.001,0.004,0.013,0.027,0.027,0.027,0.027,0.027,0.027
BEL OTHER,0.001,0.003,0.010,0.022,0.034,0.045,0.055,0.055,0.055
BEM OTHER,-0.009,-0.091,-0.371,-1.043,-2.058,-3.418,-5.123,-5.123,-5.123
BES OTHER,-0.008,-0.035,-0.103,-0.244,-0.445,-0.707,-1.029,-1.029,-1.029
CEL OTHER,-0.010,-0.048,-0.146,-0.359,-0.663,-1.060,-1.549,-2.130,-2.803
CEM OTHER,-0.001,-0.006,-0.015,-0.034,-0.060,-0.095,-0.139,-0.139,-0.139
CES OTHER,-0.004,-0.051,-0.203,-0.527,-0.527,-0.527,-0.527,-0.527,-0.527
PEL OTHER,-0.035,-0.205,-0.371,-0.361,-0.362,-0.363,-0.364,-0.364,-0.364
PEM OTHER,-0.018,-0.052,-0.083,-0.116,-0.149,-0.185,-0.223,-0.223,-0.223
PES OTHER,-0.001,-0.011,-0.029,-0.051,-0.076,-0.100,-0.122,-0.138,-0.138
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,VOCs Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
