,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,0.0002,0.0054,0.0142,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303
CICA,0.0037,0.0111,0.0313,0.0669,0.1028,0.1357,0.1633,0.1633,0.1633
EUSI,0.0052,0.0110,0.0232,0.0415,0.0608,0.0778,0.0921,0.0921,0.0921
FRUH,0.0059,0.0121,0.0250,0.0438,0.0641,0.0858,0.1079,0.1321,0.1580
FRVEG,0.0036,0.0145,0.0370,0.0657,0.0657,0.0657,0.0657,0.0657,0.0657
GIBI,0.0030,0.0096,0.0228,0.0426,0.0664,0.0912,0.0912,0.0912,0.0912
JAMI,0.0032,0.0089,0.0234,0.0505,0.0798,0.0798,0.0798,0.0798,0.0798
LAIN,0.0037,0.0137,0.0412,0.0834,0.0834,0.0834,0.0834,0.0834,0.0834
LIST,0.0034,0.0086,0.0178,0.0323,0.0501,0.0719,0.0957,0.0957,0.0957
LITU,0.0036,0.0102,0.0254,0.0490,0.0724,0.0915,0.0915,0.0915,0.0915
MAGR,0.0033,0.0104,0.0289,0.0587,0.0858,0.1043,0.1135,0.1135,0.1135
PIBR2,0.0029,0.0079,0.0182,0.0328,0.0469,0.0582,0.0652,0.0652,0.0652
PICA,0.0028,0.0069,0.0170,0.0319,0.0483,0.0659,0.0858,0.1065,0.1296
PICH,0.0037,0.0103,0.0190,0.0190,0.0190,0.0190,0.0190,0.0190,0.0190
PLAC,0.0040,0.0182,0.0416,0.0694,0.0937,0.0937,0.0937,0.0937,0.0937
PLRA,0.0033,0.0152,0.0398,0.0696,0.0946,0.1155,0.1365,0.1365,0.1365
PYCA,0.0030,0.0106,0.0278,0.0519,0.0519,0.0519,0.0519,0.0519,0.0519
QUAG,0.0034,0.0135,0.0356,0.0673,0.0952,0.1191,0.1407,0.1600,0.1786
QUIL2,0.0038,0.0107,0.0287,0.0609,0.0958,0.1279,0.1583,0.1583,0.1583
SCMO,0.0037,0.0141,0.0338,0.0579,0.0762,0.0897,0.1020,0.1130,0.1203
SCTE,0.0032,0.0103,0.0241,0.0443,0.0621,0.0772,0.0894,0.0894,0.0894
PICO5,0.0028,0.0069,0.0198,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429
PHCA,0.0041,0.0155,0.0438,0.0751,0.0726,0.0691,0.0662,0.0662,0.0662
PHDA4,0.0027,0.0069,0.0137,0.0160,0.0171,0.0159,0.0155,0.0155,0.0155
WARO,0.0024,0.0045,0.0062,0.0080,0.0092,0.0106,0.0117,0.0124,0.0124
BDL OTHER,0.0036,0.0102,0.0254,0.0490,0.0724,0.0915,0.0915,0.0915,0.0915
BDM OTHER,0.0030,0.0106,0.0278,0.0519,0.0519,0.0519,0.0519,0.0519,0.0519
BDS OTHER,0.0037,0.0137,0.0412,0.0834,0.0834,0.0834,0.0834,0.0834,0.0834
BEL OTHER,0.0037,0.0111,0.0313,0.0669,0.1028,0.1357,0.1633,0.1633,0.1633
BEM OTHER,0.0033,0.0104,0.0289,0.0587,0.0858,0.1043,0.1135,0.1135,0.1135
BES OTHER,0.0032,0.0103,0.0241,0.0443,0.0621,0.0772,0.0894,0.0894,0.0894
CEL OTHER,0.0028,0.0069,0.0170,0.0319,0.0483,0.0659,0.0858,0.1065,0.1296
CEM OTHER,0.0029,0.0079,0.0182,0.0328,0.0469,0.0582,0.0652,0.0652,0.0652
CES OTHER,0.0028,0.0069,0.0198,0.0429,0.0429,0.0429,0.0429,0.0429,0.0429
PEL OTHER,0.0041,0.0155,0.0438,0.0751,0.0726,0.0691,0.0662,0.0662,0.0662
PEM OTHER,0.0027,0.0069,0.0137,0.0160,0.0171,0.0159,0.0155,0.0155,0.0155
PES OTHER,0.0024,0.0045,0.0062,0.0080,0.0092,0.0106,0.0117,0.0124,0.0124
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,NOx Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
