,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,0.0058,0.0112,0.0289,0.0613,0.0613,0.0613,0.0613,0.0613,0.0613
CICA,0.0077,0.0227,0.0635,0.1357,0.2091,0.2772,0.3342,0.3342,0.3342
EUSI,0.0109,0.0223,0.0469,0.0837,0.1229,0.1579,0.1877,0.1877,0.1877
FRUH,0.0125,0.0249,0.0509,0.0891,0.1308,0.1755,0.2215,0.2717,0.3255
FRVEG,0.0076,0.0298,0.0748,0.1327,0.1327,0.1327,0.1327,0.1327,0.1327
GIBI,0.0065,0.0194,0.0455,0.0854,0.1334,0.1838,0.1838,0.1838,0.1838
JAMI,0.0070,0.0187,0.0483,0.1043,0.1652,0.1652,0.1652,0.1652,0.1652
LAIN,0.0079,0.0281,0.0834,0.1687,0.1687,0.1687,0.1687,0.1687,0.1687
LIST,0.0072,0.0176,0.0360,0.0654,0.1018,0.1466,0.1956,0.1956,0.1956
LITU,0.0077,0.0209,0.0517,0.0996,0.1473,0.1865,0.1865,0.1865,0.1865
MAGR,0.0070,0.0214,0.0587,0.1192,0.1741,0.2120,0.2309,0.2309,0.2309
PIBR2,0.0063,0.0162,0.0368,0.0663,0.0949,0.1178,0.1320,0.1320,0.1320
PICA,0.0061,0.0142,0.0341,0.0640,0.0973,0.1334,0.1741,0.2169,0.2645
PICH,0.0079,0.0212,0.0387,0.0387,0.0387,0.0387,0.0387,0.0387,0.0387
PLAC,0.0085,0.0372,0.0844,0.1411,0.1908,0.1908,0.1908,0.1908,0.1908
PLRA,0.0071,0.0310,0.0804,0.1410,0.1920,0.2351,0.2785,0.2785,0.2785
PYCA,0.0065,0.0219,0.0566,0.1056,0.1056,0.1056,0.1056,0.1056,0.1056
QUAG,0.0073,0.0278,0.0724,0.1366,0.1934,0.2424,0.2871,0.3270,0.3657
QUIL2,0.0081,0.0220,0.0583,0.1235,0.1944,0.2605,0.3231,0.3231,0.3231
SCMO,0.0078,0.0289,0.0686,0.1173,0.1546,0.1827,0.2081,0.2311,0.2467
SCTE,0.0069,0.0213,0.0493,0.0900,0.1260,0.1567,0.1818,0.1818,0.1818
PICO5,0.0060,0.0144,0.0401,0.0863,0.0863,0.0863,0.0863,0.0863,0.0863
PHCA,0.0088,0.0323,0.0891,0.1528,0.1480,0.1413,0.1357,0.1357,0.1357
PHDA4,0.0059,0.0147,0.0280,0.0327,0.0351,0.0330,0.0321,0.0321,0.0321
WARO,0.0053,0.0094,0.0129,0.0167,0.0194,0.0223,0.0246,0.0261,0.0261
BDL OTHER,0.0077,0.0209,0.0517,0.0996,0.1473,0.1865,0.1865,0.1865,0.1865
BDM OTHER,0.0065,0.0219,0.0566,0.1056,0.1056,0.1056,0.1056,0.1056,0.1056
BDS OTHER,0.0079,0.0281,0.0834,0.1687,0.1687,0.1687,0.1687,0.1687,0.1687
BEL OTHER,0.0077,0.0227,0.0635,0.1357,0.2091,0.2772,0.3342,0.3342,0.3342
BEM OTHER,0.0070,0.0214,0.0587,0.1192,0.1741,0.2120,0.2309,0.2309,0.2309
BES OTHER,0.0069,0.0213,0.0493,0.0900,0.1260,0.1567,0.1818,0.1818,0.1818
CEL OTHER,0.0061,0.0142,0.0341,0.0640,0.0973,0.1334,0.1741,0.2169,0.2645
CEM OTHER,0.0063,0.0162,0.0368,0.0663,0.0949,0.1178,0.1320,0.1320,0.1320
CES OTHER,0.0060,0.0144,0.0401,0.0863,0.0863,0.0863,0.0863,0.0863,0.0863
PEL OTHER,0.0088,0.0323,0.0891,0.1528,0.1480,0.1413,0.1357,0.1357,0.1357
PEM OTHER,0.0059,0.0147,0.0280,0.0327,0.0351,0.0330,0.0321,0.0321,0.0321
PES OTHER,0.0053,0.0094,0.0129,0.0167,0.0194,0.0223,0.0246,0.0261,0.0261
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,NOx Avoided (kg/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
