,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,106,40,90,49,2,1,0,0,0
CICA,166,22,34,44,15,4,5,2,1
EUSI,67,49,191,202,62,11,1,1,0
FRUH,15,18,62,65,103,65,10,5,2
FRVEG,126,74,201,213,52,1,0,0,0
GIBI,179,52,76,57,8,2,0,0,0
JAMI,233,81,436,172,10,0,0,0,0
LAIN,786,753,505,10,0,0,0,0,0
LIST,312,376,928,490,59,3,0,0,0
LITU,146,62,138,130,20,5,0,0,0
MAGR,70,49,223,102,10,0,1,0,0
PIBR2,16,56,83,199,60,0,0,0,0
PICA,111,88,299,307,122,8,0,0,0
PICH,273,129,102,3,0,0,0,0,0
PLAC,199,156,161,94,4,0,0,0,0
PLRA,194,154,274,179,79,32,7,1,0
PYCA,52,79,58,2,0,0,0,0,0
QUAG,337,111,115,131,153,83,29,15,10
QUIL2,112,136,393,294,63,6,0,0,0
SCMO,47,19,46,51,23,14,10,4,5
SCTE,14,23,82,88,18,2,0,0,0
PICO5,0,0,0,0,0,0,0,0,0
PHCA,3,1,3,3,31,25,5,0,0
PHDA4,0,0,0,0,0,0,0,0,0
WARO,13,13,32,144,59,4,0,0,0
BDL OTHER,627,149,181,152,122,34,20,6,1
BDM OTHER,564,200,326,265,71,8,1,0,0
BDS OTHER,580,204,215,26,8,2,0,0,0
BEL OTHER,344,243,243,240,143,83,48,28,19
BEM OTHER,129,106,133,53,24,7,2,3,3
BES OTHER,369,312,510,167,44,9,2,0,0
CEL OTHER,280,128,197,174,85,31,16,6,5
CEM OTHER,2,8,13,6,0,0,0,0,0
CES OTHER,49,64,94,7,0,0,0,0,0
PEL OTHER,0,0,0,0,0,0,0,0,0
PEM OTHER,2,0,0,0,0,0,0,0,0
PES OTHER,25,25,140,18,11,29,44,4,0
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,Tree Numbers,,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
