,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,1.4,2.6,3.9,3.6,0.0,0.0,0.0,0.0,0.0
CICA,6.2,8.5,11.2,14.2,15.4,14.9,10.9,0.0,0.0
EUSI,5.1,6.4,8.7,11.2,12.2,11.3,6.3,0.0,0.0
FRUH,9.2,15.4,18.9,21.3,22.1,22.1,21.7,21.0,20.1
FRVEG,6.8,7.5,8.0,6.9,0.0,0.0,0.0,0.0,0.0
GIBI,4.7,6.6,7.6,7.5,6.8,6.0,0.0,0.0,0.0
JAMI,7.4,11.1,13.6,10.6,7.9,0.0,0.0,0.0,0.0
LAIN,1.1,2.7,5.5,9.8,0.0,0.0,0.0,0.0,0.0
LIST,3.4,5.7,8.2,10.9,12.1,11.2,5.7,0.0,0.0
LITU,5.6,8.4,11.5,14.1,14.6,11.7,0.0,0.0,0.0
MAGR,1.3,4.2,8.7,14.6,21.0,27.9,35.0,0.0,0.0
PIBR2,5.8,10.1,12.6,14.2,15.0,15.3,15.3,0.0,0.0
PICA,4.3,7.0,11.9,17.3,22.0,25.3,27.5,28.2,27.0
PICH,5.0,8.1,9.4,0.0,0.0,0.0,0.0,0.0,0.0
PLAC,12.3,15.6,19.2,19.8,11.2,0.0,0.0,0.0,0.0
PLRA,12.0,16.5,22.3,28.8,33.2,35.1,33.6,0.0,0.0
PYCA,3.0,6.8,10.55,7.4,0.0,0.0,0.0,0.0,0.0
QUAG,6.3,7.0,8.2,9.4,10.4,11.1,11.3,11.1,10.4
QUIL2,4.6,7.5,12.9,19.6,26.6,33.8,41.3,0.0,0.0
SCMO,6.8,6.8,6.7,6.6,6.5,6.4,6.3,6.1,6.0
SCTE,1.6,2.6,4.5,7.3,10.1,13.4,17.1,0.0,0.0
PICO5,1.8,6.2,9.0,5.3,0.0,0.0,0.0,0.0,0.0
PHCA,6.5,6.4,5.5,0.0,0.0,0.0,0.0,0.0,0.0
PHDA4,0.8,0.9,0.9,0.9,0.9,0.8,0.5,0.0,0.0
WARO,0.6,1.4,1.9,2.1,2.1,1.8,1.3,0.8,0.0
BDL OTHER,5.6,8.4,11.5,14.1,14.6,11.7,0.0,0.0,0.0
BDM OTHER,3.0,6.8,10.6,7.4,0.0,0.0,0.0,0.0,0.0
BDS OTHER,1.1,2.7,5.5,9.8,0.0,0.0,0.0,0.0,0.0
BEL OTHER,6.2,8.5,11.2,14.2,15.4,14.9,10.9,0.0,0.0
BEM OTHER,1.3,4.2,8.7,14.6,21.0,27.9,35.0,0.0,0.0
BES OTHER,1.6,2.6,4.5,7.3,10.1,13.4,17.1,0.0,0.0
CEL OTHER,4.3,7.0,11.9,17.3,22.0,25.3,27.5,28.2,27.0
CEM OTHER,5.8,10.1,12.6,14.2,15.0,15.3,15.3,0.0,0.0
CES OTHER,1.8,6.2,9.0,5.3,0.0,0.0,0.0,0.0,0.0
PEL OTHER,6.5,6.4,5.5,0.0,0.0,0.0,0.0,0.0,0.0
PEM OTHER,0.8,0.9,0.9,0.9,0.9,0.8,0.5,0.0,0.0
PES OTHER,0.6,1.4,1.9,2.1,2.1,1.8,1.3,0.8,0.0
,3,4,5,6,7,8,9,10,11
,,,,,,,,,
,Average Annual Change in Other Benefits m2/tree),,,,,,0,,
,,,Midpoint of DBH class (cm),,,,,,
