,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,0.0014,0.0078,0.0294,0.0674,0.0674,0.0674,0.0674,0.0674,0.0674
CICA,0.0034,0.0225,0.0720,0.1689,0.2714,0.3668,0.4505,0.4505,0.4505
EUSI,0.0069,0.0207,0.0491,0.0939,0.1472,0.1980,0.2449,0.2449,0.2449
FRUH,0.0112,0.0264,0.0565,0.1071,0.1672,0.2337,0.2994,0.3746,0.4552
FRVEG,0.0036,0.0312,0.0849,0.1600,0.1600,0.1600,0.1600,0.1600,0.1600
GIBI,0.0022,0.0155,0.0448,0.0906,0.1530,0.2200,0.2200,0.2200,0.2200
JAMI,0.0028,0.0190,0.0592,0.1423,0.2353,0.2353,0.2353,0.2353,0.2353
LAIN,0.0038,0.0289,0.0968,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082
LIST,0.0030,0.0147,0.0370,0.0728,0.1227,0.1881,0.2597,0.2597,0.2597
LITU,0.0038,0.0203,0.0574,0.1202,0.1870,0.2439,0.2439,0.2439,0.2439
MAGR,0.0029,0.0205,0.0661,0.1454,0.2212,0.2730,0.2988,0.2988,0.2988
PIBR2,0.0021,0.0131,0.0379,0.0733,0.1117,0.1421,0.1614,0.1614,0.1614
PICA,0.0017,0.0100,0.0323,0.0664,0.1106,0.1602,0.2195,0.2810,0.3491
PICH,0.0041,0.0213,0.0426,0.0426,0.0426,0.0426,0.0426,0.0426,0.0426
PLAC,0.0046,0.0400,0.1006,0.1769,0.2466,0.2466,0.2466,0.2466,0.2466
PLRA,0.0030,0.0328,0.0917,0.1724,0.2446,0.3039,0.3658,0.3658,0.3658
PYCA,0.0022,0.0225,0.0652,0.1302,0.1302,0.1302,0.1302,0.1302,0.1302
QUAG,0.0031,0.0288,0.0841,0.1702,0.2488,0.3145,0.3796,0.4380,0.4948
QUIL2,0.0043,0.0212,0.0654,0.1509,0.2489,0.3395,0.4287,0.4287,0.4287
SCMO,0.0037,0.0303,0.0776,0.1424,0.1941,0.2382,0.2740,0.3072,0.3352
SCTE,0.0028,0.0213,0.0555,0.1078,0.1555,0.1977,0.2334,0.2334,0.2334
PICO5,0.0020,0.0117,0.0414,0.0959,0.0959,0.0959,0.0959,0.0959,0.0959
PHCA,0.0061,0.0380,0.1074,0.1944,0.1899,0.1843,0.1793,0.1793,0.1793
PHDA4,0.0018,0.0138,0.0298,0.0356,0.0396,0.0378,0.0371,0.0371,0.0371
WARO,0.0007,0.0050,0.0110,0.0168,0.0217,0.0262,0.0294,0.0314,0.0314
BDL OTHER,0.0038,0.0203,0.0574,0.1202,0.1870,0.2439,0.2439,0.2439,0.2439
BDM OTHER,0.0022,0.0225,0.0652,0.1302,0.1302,0.1302,0.1302,0.1302,0.1302
BDS OTHER,0.0038,0.0289,0.0968,0.2082,0.2082,0.2082,0.2082,0.2082,0.2082
BEL OTHER,0.0034,0.0225,0.0720,0.1689,0.2714,0.3668,0.4505,0.4505,0.4505
BEM OTHER,0.0029,0.0205,0.0661,0.1454,0.2212,0.2730,0.2988,0.2988,0.2988
BES OTHER,0.0028,0.0213,0.0555,0.1078,0.1555,0.1977,0.2334,0.2334,0.2334
CEL OTHER,0.0017,0.0100,0.0323,0.0664,0.1106,0.1602,0.2195,0.2810,0.3491
CEM OTHER,0.0021,0.0131,0.0379,0.0733,0.1117,0.1421,0.1614,0.1614,0.1614
CES OTHER,0.0020,0.0117,0.0414,0.0959,0.0959,0.0959,0.0959,0.0959,0.0959
PEL OTHER,0.0061,0.0380,0.1074,0.1944,0.1899,0.1843,0.1793,0.1793,0.1793
PEM OTHER,0.0018,0.0138,0.0298,0.0356,0.0396,0.0378,0.0371,0.0371,0.0371
PES OTHER,0.0007,0.0050,0.0110,0.0168,0.0217,0.0262,0.0294,0.0314,0.0314
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Avoided (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
