,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
BRPO,0.0004,0.0106,0.0281,0.0599,0.0599,0.0599,0.0599,0.0599,0.0599
CICA,0.0072,0.0218,0.0616,0.1310,0.2010,0.2651,0.3187,0.3187,0.3187
EUSI,0.0104,0.0218,0.0459,0.0814,0.1186,0.1512,0.1785,0.1785,0.1785
FRUH,0.0116,0.0239,0.0490,0.0852,0.1242,0.1658,0.2087,0.2556,0.3061
FRVEG,0.0070,0.0287,0.0729,0.1293,0.1293,0.1293,0.1293,0.1293,0.1293
GIBI,0.0059,0.0191,0.0451,0.0843,0.1311,0.1800,0.1800,0.1800,0.1800
JAMI,0.0063,0.0174,0.0454,0.0979,0.1546,0.1546,0.1546,0.1546,0.1546
LAIN,0.0073,0.0270,0.0815,0.1652,0.1652,0.1652,0.1652,0.1652,0.1652
LIST,0.0066,0.0170,0.0349,0.0629,0.0972,0.1393,0.1852,0.1852,0.1852
LITU,0.0071,0.0201,0.0497,0.0955,0.1407,0.1776,0.1776,0.1776,0.1776
MAGR,0.0064,0.0204,0.0570,0.1157,0.1687,0.2050,0.2231,0.2231,0.2231
PIBR2,0.0057,0.0156,0.0360,0.0646,0.0922,0.1141,0.1276,0.1276,0.1276
PICA,0.0055,0.0138,0.0336,0.0626,0.0944,0.1285,0.1668,0.2072,0.2522
PICH,0.0073,0.0202,0.0373,0.0373,0.0373,0.0373,0.0373,0.0373,0.0373
PLAC,0.0079,0.0358,0.0813,0.1355,0.1828,0.1828,0.1828,0.1828,0.1828
PLRA,0.0065,0.0301,0.0781,0.1358,0.1840,0.2246,0.2656,0.2656,0.2656
PYCA,0.0059,0.0208,0.0544,0.1014,0.1014,0.1014,0.1014,0.1014,0.1014
QUAG,0.0067,0.0267,0.0703,0.1324,0.1870,0.2336,0.2756,0.3132,0.3493
QUIL2,0.0075,0.0211,0.0565,0.1196,0.1876,0.2506,0.3102,0.3102,0.3102
SCMO,0.0072,0.0279,0.0670,0.1144,0.1498,0.1756,0.1991,0.2196,0.2329
SCTE,0.0063,0.0202,0.0475,0.0876,0.1226,0.1520,0.1755,0.1755,0.1755
PICO5,0.0054,0.0138,0.0395,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851
PHCA,0.0079,0.0305,0.0862,0.1468,0.1409,0.1337,0.1277,0.1277,0.1277
PHDA4,0.0052,0.0135,0.0267,0.0308,0.0328,0.0306,0.0297,0.0297,0.0297
WARO,0.0047,0.0087,0.0118,0.0152,0.0177,0.0203,0.0224,0.0238,0.0238
BDL OTHER,0.0071,0.0201,0.0497,0.0955,0.1407,0.1776,0.1776,0.1776,0.1776
BDM OTHER,0.0059,0.0208,0.0544,0.1014,0.1014,0.1014,0.1014,0.1014,0.1014
BDS OTHER,0.0073,0.0270,0.0815,0.1652,0.1652,0.1652,0.1652,0.1652,0.1652
BEL OTHER,0.0072,0.0218,0.0616,0.1310,0.2010,0.2651,0.3187,0.3187,0.3187
BEM OTHER,0.0064,0.0204,0.0570,0.1157,0.1687,0.2050,0.2231,0.2231,0.2231
BES OTHER,0.0063,0.0202,0.0475,0.0876,0.1226,0.1520,0.1755,0.1755,0.1755
CEL OTHER,0.0055,0.0138,0.0336,0.0626,0.0944,0.1285,0.1668,0.2072,0.2522
CEM OTHER,0.0057,0.0156,0.0360,0.0646,0.0922,0.1141,0.1276,0.1276,0.1276
CES OTHER,0.0054,0.0138,0.0395,0.0851,0.0851,0.0851,0.0851,0.0851,0.0851
PEL OTHER,0.0079,0.0305,0.0862,0.1468,0.1409,0.1337,0.1277,0.1277,0.1277
PEM OTHER,0.0052,0.0135,0.0267,0.0308,0.0328,0.0306,0.0297,0.0297,0.0297
PES OTHER,0.0047,0.0087,0.0118,0.0152,0.0177,0.0203,0.0224,0.0238,0.0238
,2,3,4,5,6,7,8,9,10
,,,,,,,,,
,SOx Avoided (kg/tree),,,,,,,,
,,,Midpoint of DBH class (cm),,,,,,
