SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment,Compatibility Names,,1,A,Hydro interception,,,,,copied from
BRPO,Brachychiton populneum,Kurrajong,BEM,BRPO,0.00,,2,B,Property Value,,,,,
CICA,Cinnamomum camphora,Camphor tree,BEL,CICA,0.00,x,3,C,AQ Ozone dep,,,,,
EUSI,Eucalyptus sideroxylon,Red ironbark,BEL,EUSI,0.00,x,4,D,AQ NOx dep,,,,,
FRUH,Fraxinus uhdei,Evergreen ash,BDL,FRUH,0.00,x,5,E,AQ PM10 dep,,,,,
FRVEG,Fraxinus velutina 'Modesto',Modesto ash,BDM,FRVEG,0.00,n/a,6,F,AQ SOx dep,,,,,
GIBI,Ginkgo biloba,Ginkgo,BDL,GIBI,0.00,x,7,G,AQ NOx avoided,,,,,
JAMI,Jacaranda mimosifolia,Jacaranda,BDM,JAMI,0.00,x,8,H,AQ PM10 avoided,,,,,
LAIN,Lagerstroemia indica,Common crapemyrtle,BDS,LAIN,0.00,x,9,I,AQ VOC avoided,net (avoided-emissions),,,,
LIST,Liquidambar styraciflua,Sweetgum,BDL,LIST,0.00,n/a,10,J,AQ SOx avoided,,,,,
LITU,Liriodendron tulipifera,Tulip tree,BDL,LITU,0.00,,11,K,CO2 sequestered,net (sequestered-release-program),,,,
MAGR,Magnolia grandiflora,Southern magnolia,BEM,MAGR,0.00,x,12,L,CO2 avoided,,,,,
PIBR2,Pinus brutia,Turkish pine; east mediterranean pine,CEM,PIBR2,0.00,,13,M,Natural Gas,,,,,
PICA,Pinus canariensis,Canary island pine,CEL,PICA,0.00,x,14,N,Electricity,,,,,
PICH,Pistacia chinensis,Chinese pistache,BDM,PICH,0.00,x,15,O,LSA,,,,,
PLAC,Platanus hybrida,London planetree,BDL,PLAC,0.00,,16,P,DBH BY AGE CLASS,,,,,
PLRA,Platanus racemosa,California sycamore,BDL,PLRA,0.00,,17,Q,Numbers,,,,,
PYCA,Pyrus calleryana,Callery pear,BDM,PYCA,0.00,,,R,Species Codes,,,,,
QUAG,Quercus agrifolia,Coast live oak,BEL,QUAG,0.00,,,S,Interpolation range,,,,,
QUIL2,Quercus ilex,Roble negro,BEL,QUIL2,0.00,,,,,,,,,
SCMO,Schinus molle,California peppertree,BEM,SCMO,0.00,,,,,,,,,
SCTE,Schinus terebinthifolius,Brazilian pepper,BES,SCTE,0.00,,,,,,,,,
PICO5,Pinus contorta var. bolanderi,Bolander beach pine,CES,PICO5,0.00,,,,,,,,,
PHCA,Phoenix canariensis,Canary island date palm,PEL,PHCA,0.00,,,,,,,,,
PHDA4,Phoenix dactylifera,Date palm,PEM,PHDA4,0.00,,,,,,,,,
WARO,Washingtonia robusta,Mexican fan palm,PES,WARO,0.00,,,,,,,,,
BDL OTHER,Broadleaf Deciduous Large Other,BDL OTHER,BDL,LITU,0.00,,,,,,,,,
BDM OTHER,Broadleaf Deciduous Medium Other,BDM OTHER,BDM,PYCA,0.00,,,,,,,,,
BDS OTHER,Broadleaf Deciduous Small Other,BDS OTHER,BDS,LAIN,0.00,,,,,,,,,
BEL OTHER,Broadleaf Evergreen Large Other,BEL OTHER,BEL,CICA,0.00,,,,,,,,,
BEM OTHER,Broadleaf Evergreen Medium Other,BEM OTHER,BEM,MAGR,0.00,,,,,,,,,
BES OTHER,Broadleaf Evergreen Small Other,BES OTHER,BES,SCTE,0.00,,,,,,,,,
CEL OTHER,Conifer Evergreen Large Other,CEL OTHER,CEL,PICA,0.00,,,,,,,,,
CEM OTHER,Conifer Evergreen Medium Other,CEM OTHER,CEM,PIBR2,0.00,,,,,,,,,
CES OTHER,Conifer Evergreen Small Other,CES OTHER,CES,PICO5,0.00,,,,,,,,,
PEL OTHER,Palm Evergreen Large Other,PEL OTHER,PEL,PHCA,0.00,,,,,,,,,
PEM OTHER,Palm Evergreen Medium Other,PEM OTHER,PEM,PHDA4,0.00,,,,,,,,,
PES OTHER,Palm Evergreen Small Other,PES OTHER,PES,WARO,0.00,,,,,,,,,
