,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACSA1,0.003,0.022,0.055,0.097,0.137,0.174,0.208,0.241,0.272
BEPE,0.006,0.019,0.033,0.046,0.046,0.046,0.046,0.046,0.046
CESI4,0.001,0.012,0.046,0.107,0.177,0.251,0.327,0.327,0.327
CICA,0.001,0.014,0.048,0.101,0.158,0.217,0.275,0.332,0.332
FREX_H,0.001,0.011,0.034,0.070,0.107,0.107,0.107,0.107,0.107
FRHO,0.003,0.019,0.045,0.078,0.108,0.135,0.161,0.185,0.208
FRAN_R,0.004,0.020,0.045,0.073,0.098,0.121,0.121,0.121,0.121
FRPE_M,0.003,0.022,0.056,0.100,0.100,0.100,0.100,0.100,0.100
FRVE_G,0.002,0.017,0.044,0.080,0.115,0.149,0.149,0.149,0.149
GIBI,0.002,0.013,0.032,0.056,0.079,0.101,0.101,0.101,0.101
GLTR,0.001,0.014,0.048,0.102,0.160,0.220,0.279,0.338,0.338
KOPA,0.003,0.017,0.039,0.067,0.092,0.115,0.115,0.115,0.115
LAIN,0.002,0.011,0.023,0.023,0.023,0.023,0.023,0.023,0.023
LIST,0.001,0.008,0.028,0.059,0.092,0.125,0.159,0.192,0.192
MAGR,0.002,0.016,0.042,0.078,0.111,0.111,0.111,0.111,0.111
PHCA,0.006,0.033,0.080,0.145,0.145,0.145,0.145,0.145,0.145
PHDA4,0.002,0.012,0.021,0.026,0.031,0.031,0.031,0.031,0.031
PIBR2,0.002,0.008,0.024,0.051,0.075,0.075,0.075,0.075,0.075
PICH,0.004,0.025,0.066,0.119,0.171,0.171,0.171,0.171,0.171
PICO5,0.002,0.009,0.027,0.063,0.063,0.063,0.063,0.063,0.063
PIRA,0.008,0.017,0.036,0.072,0.118,0.173,0.236,0.304,0.379
PITH,0.000,0.007,0.033,0.088,0.088,0.088,0.088,0.088,0.088
PLAC,0.002,0.020,0.056,0.108,0.160,0.211,0.211,0.211,0.211
PYCA_B,0.002,0.016,0.047,0.094,0.142,0.142,0.142,0.142,0.142
PYKA,0.004,0.020,0.057,0.114,0.159,0.177,0.177,0.177,0.177
QUIL2,0.001,0.011,0.043,0.102,0.169,0.241,0.315,0.315,0.315
WARO,0.001,0.004,0.008,0.014,0.019,0.024,0.027,0.029,0.029
ZESE,0.003,0.022,0.063,0.121,0.178,0.233,0.286,0.286,0.286
BDL OTHER,0.001,0.012,0.046,0.107,0.177,0.251,0.327,0.327,0.327
BDM OTHER,0.002,0.016,0.047,0.094,0.142,0.142,0.142,0.142,0.142
BDS OTHER,0.002,0.011,0.023,0.023,0.023,0.023,0.023,0.023,0.023
BEL OTHER,0.001,0.011,0.043,0.102,0.169,0.241,0.315,0.315,0.315
BEM OTHER,0.001,0.014,0.048,0.101,0.158,0.217,0.275,0.332,0.332
BES OTHER,0.004,0.020,0.057,0.114,0.159,0.177,0.177,0.177,0.177
CEL OTHER,0.008,0.017,0.036,0.072,0.118,0.173,0.236,0.304,0.379
CEM OTHER,0.002,0.008,0.024,0.051,0.075,0.075,0.075,0.075,0.075
CES OTHER,0.002,0.009,0.027,0.063,0.063,0.063,0.063,0.063,0.063
PEL OTHER,0.006,0.033,0.080,0.145,0.145,0.145,0.145,0.145,0.145
PEM OTHER,0.002,0.012,0.021,0.026,0.031,0.031,0.031,0.031,0.031
PES OTHER,0.001,0.004,0.008,0.014,0.019,0.024,0.027,0.029,0.029
