,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACSA1,0.014,0.092,0.229,0.407,0.573,0.727,0.872,1.008,1.137
BEPE,0.027,0.080,0.137,0.192,0.192,0.192,0.192,0.192,0.192
CESI4,0.003,0.051,0.192,0.446,0.735,1.042,1.358,1.358,1.358
CICA,0.004,0.050,0.167,0.355,0.555,0.759,0.963,1.165,1.165
FREX_H,0.005,0.049,0.152,0.311,0.475,0.475,0.475,0.475,0.475
FRHO,0.013,0.078,0.188,0.326,0.452,0.567,0.675,0.776,0.870
FRAN_R,0.017,0.085,0.187,0.307,0.412,0.506,0.506,0.506,0.506
FRPE_M,0.015,0.098,0.247,0.442,0.442,0.442,0.442,0.442,0.442
FRVE_G,0.010,0.073,0.193,0.356,0.511,0.659,0.659,0.659,0.659
GIBI,0.008,0.054,0.133,0.236,0.332,0.421,0.421,0.421,0.421
GLTR,0.005,0.064,0.212,0.453,0.711,0.974,1.237,1.498,1.498
KOPA,0.012,0.069,0.163,0.280,0.386,0.483,0.483,0.483,0.483
LAIN,0.009,0.046,0.098,0.098,0.098,0.098,0.098,0.098,0.098
LIST,0.003,0.035,0.116,0.246,0.384,0.524,0.664,0.803,0.803
MAGR,0.008,0.057,0.149,0.272,0.389,0.389,0.389,0.389,0.389
PHCA,0.022,0.115,0.279,0.509,0.509,0.509,0.509,0.509,0.509
PHDA4,0.007,0.042,0.073,0.093,0.110,0.110,0.110,0.110,0.110
PIBR2,0.007,0.030,0.085,0.177,0.265,0.265,0.265,0.265,0.265
PICH,0.015,0.105,0.272,0.496,0.709,0.709,0.709,0.709,0.709
PICO5,0.006,0.030,0.095,0.221,0.221,0.221,0.221,0.221,0.221
PIRA,0.028,0.060,0.128,0.253,0.415,0.607,0.826,1.067,1.327
PITH,0.001,0.025,0.116,0.310,0.310,0.310,0.310,0.310,0.310
PLAC,0.009,0.077,0.220,0.424,0.628,0.825,0.825,0.825,0.825
PYCA_B,0.007,0.062,0.185,0.368,0.554,0.554,0.554,0.554,0.554
PYKA,0.014,0.069,0.201,0.400,0.556,0.621,0.621,0.621,0.621
QUIL2,0.002,0.039,0.151,0.356,0.592,0.844,1.106,1.106,1.106
WARO,0.002,0.013,0.029,0.049,0.068,0.084,0.096,0.103,0.102
ZESE,0.011,0.093,0.263,0.506,0.745,0.976,1.199,1.199,1.199
BDL OTHER,0.003,0.051,0.192,0.446,0.735,1.042,1.358,1.358,1.358
BDM OTHER,0.007,0.062,0.185,0.368,0.554,0.554,0.554,0.554,0.554
BDS OTHER,0.009,0.046,0.098,0.098,0.098,0.098,0.098,0.098,0.098
BEL OTHER,0.002,0.039,0.151,0.356,0.592,0.844,1.106,1.106,1.106
BEM OTHER,0.004,0.050,0.167,0.355,0.555,0.759,0.963,1.165,1.165
BES OTHER,0.014,0.069,0.201,0.400,0.556,0.621,0.621,0.621,0.621
CEL OTHER,0.028,0.060,0.128,0.253,0.415,0.607,0.826,1.067,1.327
CEM OTHER,0.007,0.030,0.085,0.177,0.265,0.265,0.265,0.265,0.265
CES OTHER,0.006,0.030,0.095,0.221,0.221,0.221,0.221,0.221,0.221
PEL OTHER,0.022,0.115,0.279,0.509,0.509,0.509,0.509,0.509,0.509
PEM OTHER,0.007,0.042,0.073,0.093,0.110,0.110,0.110,0.110,0.110
PES OTHER,0.002,0.013,0.029,0.049,0.068,0.084,0.096,0.103,0.102
