,3.81,11.43,22.86,38.10,53.34,68.58,83.82,99.06,114.30
ACSA1,0.0005,0.0046,0.0117,0.0196,0.0254,0.0305,0.0349,0.0384,0.0420
BEPE,0.0009,0.0041,0.0077,0.0109,0.0109,0.0109,0.0109,0.0109,0.0109
CESI4,0.0001,0.0019,0.0080,0.0183,0.0270,0.0352,0.0434,0.0434,0.0434
CICA,0.0001,0.0019,0.0069,0.0147,0.0212,0.0274,0.0329,0.0378,0.0378
FREX_H,0.0002,0.0026,0.0075,0.0147,0.0207,0.0207,0.0207,0.0207,0.0207
FRHO,0.0004,0.0031,0.0084,0.0149,0.0195,0.0236,0.0271,0.0299,0.0327
FRAN_R,0.0008,0.0045,0.0095,0.0148,0.0186,0.0220,0.0220,0.0220,0.0220
FRPE_M,0.0005,0.0044,0.0111,0.0190,0.0190,0.0190,0.0190,0.0190,0.0190
FRVE_G,0.0003,0.0024,0.0082,0.0160,0.0218,0.0269,0.0269,0.0269,0.0269
GIBI,0.0003,0.0027,0.0068,0.0117,0.0154,0.0188,0.0188,0.0188,0.0188
GLTR,0.0002,0.0024,0.0097,0.0207,0.0294,0.0375,0.0450,0.0514,0.0514
KOPA,0.0004,0.0030,0.0074,0.0128,0.0167,0.0202,0.0202,0.0202,0.0202
LAIN,0.0003,0.0017,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039
LIST,0.0001,0.0020,0.0068,0.0134,0.0189,0.0240,0.0288,0.0330,0.0330
MAGR,0.0002,0.0019,0.0061,0.0116,0.0157,0.0157,0.0157,0.0157,0.0157
PHCA,0.0005,0.0034,0.0096,0.0176,0.0179,0.0179,0.0179,0.0179,0.0178
PHDA4,0.0002,0.0010,0.0023,0.0037,0.0046,0.0046,0.0046,0.0046,0.0046
PIBR2,0.0002,0.0011,0.0040,0.0085,0.0117,0.0117,0.0117,0.0117,0.0117
PICH,0.0004,0.0043,0.0119,0.0212,0.0279,0.0279,0.0279,0.0279,0.0279
PICO5,0.0001,0.0009,0.0037,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087
PIRA,0.0006,0.0019,0.0056,0.0120,0.0174,0.0232,0.0290,0.0350,0.0415
PITH,0.0000,0.0006,0.0040,0.0119,0.0119,0.0119,0.0119,0.0119,0.0119
PLAC,0.0003,0.0032,0.0097,0.0181,0.0246,0.0303,0.0303,0.0303,0.0303
PYCA_B,0.0002,0.0028,0.0084,0.0161,0.0223,0.0223,0.0223,0.0223,0.0223
PYKA,0.0004,0.0026,0.0077,0.0151,0.0199,0.0221,0.0221,0.0221,0.0221
QUIL2,0.0001,0.0010,0.0057,0.0149,0.0229,0.0305,0.0371,0.0371,0.0371
WARO,0.0000,0.0004,0.0013,0.0022,0.0029,0.0028,0.0027,0.0027,0.0027
ZESE,0.0003,0.0039,0.0116,0.0217,0.0294,0.0362,0.0421,0.0421,0.0285
BDL OTHER,0.0001,0.0019,0.0080,0.0183,0.0270,0.0352,0.0434,0.0434,0.0434
BDM OTHER,0.0002,0.0028,0.0084,0.0161,0.0223,0.0223,0.0223,0.0223,0.0223
BDS OTHER,0.0003,0.0017,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039,0.0039
BEL OTHER,0.0001,0.0010,0.0057,0.0149,0.0229,0.0305,0.0371,0.0371,0.0371
BEM OTHER,0.0001,0.0019,0.0069,0.0147,0.0212,0.0274,0.0329,0.0378,0.0378
BES OTHER,0.0004,0.0026,0.0077,0.0151,0.0199,0.0221,0.0221,0.0221,0.0221
CEL OTHER,0.0006,0.0019,0.0056,0.0120,0.0174,0.0232,0.0290,0.0350,0.0415
CEM OTHER,0.0002,0.0011,0.0040,0.0085,0.0117,0.0117,0.0117,0.0117,0.0117
CES OTHER,0.0001,0.0009,0.0037,0.0087,0.0087,0.0087,0.0087,0.0087,0.0087
PEL OTHER,0.0005,0.0034,0.0096,0.0176,0.0179,0.0179,0.0179,0.0179,0.0178
PEM OTHER,0.0002,0.0010,0.0023,0.0037,0.0046,0.0046,0.0046,0.0046,0.0046
PES OTHER,0.0000,0.0004,0.0013,0.0022,0.0029,0.0028,0.0027,0.0027,0.0027
